"Daily Weather Observations for Adelaide (Kent Town), South Australia for July 2020"
"Prepared at 13:02 UTC on Friday 21 August 2020   IDCJDW5002.202007"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"This site is now closed. The "official" Adelaide site is at West Terrace / ngayirdapira."
"This site is now closed. The "official" Adelaide weather observations site is at West Terrace / ngayirdapira {site number 023000}. This Kent Town site is about 2 km east of the city centre."
"Observations were drawn from Adelaide (Kent Town) {station 023090}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-07-1,8.2,20.8,0,,,W,48,18:57,13.7,36,,N,15,1012.1,19.4,33,,NNW,19,1006.6
,2020-07-2,9.3,15.3,7.2,,,WNW,41,14:11,11.1,74,,NW,7,1017.7,12.0,76,,W,17,1019.1
,2020-07-3,8.7,13.8,3.8,,,WSW,39,12:03,10.5,96,,N,4,1023.9,12.9,56,,WSW,22,1026.4
,2020-07-4,7.9,14.8,2.6,,,W,30,12:50,10.2,96,, ,Calm,1031.9,14.3,75,,WSW,15,1030.7
,2020-07-5,9.6,15.5,0,,,WSW,26,13:54,11.6,86,,SSW,6,1032.6,14.6,70,,WSW,15,1030.3
,2020-07-6,7.1,14.1,0.4,,,ESE,24,11:04,10.1,77,, ,Calm,1034.5,13.1,57,,SE,7,1033.1
,2020-07-7,8.2,12.6,0,,,E,20,02:57,10.5,62,,ENE,7,1033.5,12.3,56,,ENE,6,1030.3
,2020-07-8,3.9,15.1,0,,,N,24,10:50,9.0,77,,NE,2,1028.8,14.9,47,,NNW,11,1024.8
,2020-07-9,5.8,16.0,0,,,NNE,26,11:34,9.8,59,,NE,6,1025.6,15.0,42,,NNW,11,1022.3
,2020-07-10,8.9,16.2,0,,,N,26,22:42,11.6,60,,E,2,1021.1,14.1,66,,NW,9,1018.9
,2020-07-11,8.1,13.5,0.8,,,N,20,03:30,8.6,92,,NNE,6,1017.7,11.4,72,,S,9,1016.3
,2020-07-12,6.9,15.6,2.4,,,SSE,33,13:18,11.1,87,,SSW,6,1021.1,14.9,58,,SSE,17,1021.6
,2020-07-13,4.7,16.0,0,,,WSW,17,13:30,8.8,88,, ,Calm,1028.7,14.8,72,,WSW,7,1026.8
,2020-07-14,4.3,14.0,0.4,,,WSW,15,13:06,7.0,99,,SSE,2,1029.7,12.5,75,,SW,6,1026.9
,2020-07-15,3.1,17.0,0,,,N,20,13:01,8.8,84,, ,Calm,1024.8,16.5,39,,NW,13,1022.5
,2020-07-16,3.9,18.0,0,,,WSW,20,14:24,8.5,75,, ,Calm,1025.7,15.5,56,,WSW,11,1023.4
,2020-07-17,4.9,20.0,0,,,NNW,26,13:00,12.0,66,,NNE,6,1022.3,19.8,29,,NNW,11,1019.1
,2020-07-18,8.9,16.6,0,,,N,35,10:25,14.0,40,,NNE,15,1014.5,16.4,32,,NNW,15,1012.2
,2020-07-19,9.6,15.3,1.0,,,WSW,46,14:17,10.2,96,,N,7,1016.9,14.4,55,,W,24,1018.4
,2020-07-20,5.8,15.1,0.6,,,WSW,22,16:26,9.5,86,, ,Calm,1028.1,13.9,66,,W,13,1028.0
,2020-07-21,4.3,13.1,0.2,,,WNW,19,13:22,10.9,69,,ESE,4,1033.3,12.6,66,,W,9,1031.3
,2020-07-22,4.8,12.7,0,,,WSW,19,14:14,9.4,72,,E,2,1032.2,11.5,68,,WSW,11,1029.6
,2020-07-23,3.5,15.5,0,,,NNE,20,09:38,9.1,69,,NNE,6,1028.2,15.2,45,,N,13,1024.3
,2020-07-24,6.4,18.7,0,,,N,26,14:25,12.1,50,,NNE,7,1022.1,18.2,29,,N,13,1018.5
,2020-07-25,5.6,19.8,0,,,ESE,17,14:40,10.8,63,, ,Calm,1022.9,19.5,37,,ESE,9,1022.3
,2020-07-26,5.2,17.3,0,,,WNW,19,14:34,10.2,72,, ,Calm,1024.4,14.7,62,,WNW,11,1021.8
,2020-07-27,7.5,16.1,1.8,,,SSE,31,12:16,11.7,96,,WSW,6,1024.4,14.8,48,,SSE,17,1023.5
,2020-07-28,2.6,14.1,0.2,,,WSW,20,14:36,7.9,75,, ,Calm,1023.5,11.3,68,,WSW,9,1022.9
,2020-07-29,2.7,16.8,0,,,NNE,20,13:11,8.6,77,, ,Calm,1023.8,16.1,63,,WNW,7,1022.4
,2020-07-30,6.6,16.2,0,,,WNW,19,11:18,11.3,80,,E,2,1030.3,15.5,63,,WSW,9,1028.2
,2020-07-31,5.1,,0,,,,,,11.6,72,,NE,6,1027.9,19.6,40,,WNW,13,1024.2
