"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for August 2021"
"Prepared at 13:02 UTC on Saturday  4 December 2021   IDCJDW5081.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,8.4,15.1,12.2,,,NNW,26,13:37,9.9,93,,NE,11,1013.9,14.8,59,,NW,17,1013.1
,2021-08-2,9.7,14.9,0.2,,,NNW,52,12:43,13.4,46,,NNE,19,1009.3,12.7,69,,NW,24,1007.3
,2021-08-3,7.8,13.9,8.0,,,WSW,44,12:32,11.1,71,,SW,20,1017.0,13.2,57,,SW,19,1019.2
,2021-08-4,9.7,15.4,1.2,,,WSW,31,13:38,12.7,83,,WSW,11,1024.7,14.1,78,,WSW,17,1025.1
,2021-08-5,10.1,14.8,0.4,,,W,26,11:24,12.1,91,,W,11,1027.6,14.2,79,,WSW,11,1026.5
,2021-08-6,11.1,15.8,1.2,,,W,28,14:18,12.3,95,,NW,9,1028.9,14.8,78,,W,11,1026.9
,2021-08-7,10.4,15.7,0.4,,,WSW,24,13:51,12.2,83,, ,Calm,1030.9,15.0,60,,WSW,11,1029.6
,2021-08-8,8.5,16.7,0.2,,,NNW,33,11:30,12.9,65,,NNE,13,1030.3,16.1,52,,NNW,15,1026.4
,2021-08-9,10.2,18.8,0,,,NW,33,14:19,14.2,51,,NNE,13,1024.3,18.3,40,,NNW,22,1020.3
,2021-08-10,13.0,20.2,0,,,NNE,43,18:09,15.6,41,,N,19,1017.7,19.7,39,,NNE,15,1011.9
,2021-08-11,12.3,15.1,2.4,,,WSW,43,00:44,12.3,91,,W,15,1013.7,14.8,71,,WSW,19,1018.4
,2021-08-12,9.1,16.3,6.0,,,WNW,28,13:00,10.8,92,,N,9,1029.5,12.9,88,,NNW,13,1028.7
,2021-08-13,9.0,16.9,0.4,,,WNW,22,14:52,10.4,99,,N,9,1031.1,16.1,67,,WNW,13,1028.5
,2021-08-14,5.9,17.8,0,,,NNW,24,12:41,11.9,75,,NE,9,1029.3,17.5,46,,WNW,13,1025.7
,2021-08-15,7.6,17.8,0,,,W,30,13:26,12.9,63,,N,7,1027.5,17.7,42,,WNW,17,1026.5
,2021-08-16,10.7,15.8,0,,,SW,33,11:24,12.4,81,,WSW,11,1030.9,14.4,65,,SW,15,1029.9
,2021-08-17,8.4,15.4,0.2,,,W,24,14:16,11.1,93,,W,7,1030.5,14.5,59,,W,11,1027.6
,2021-08-18,5.7,16.7,0,,,NW,26,13:49,10.4,79,,N,2,1025.7,16.2,57,,NW,13,1021.5
,2021-08-19,8.3,21.0,0,,,NNW,37,14:43,14.1,49,,NNE,13,1019.7,20.6,34,,NNW,19,1015.5
,2021-08-20,14.1,18.3,0,,,NNW,35,10:57,14.9,55,,NNW,9,1015.4,18.2,61,,NW,17,1013.3
,2021-08-21,8.9,18.0,0,,,W,30,14:25,13.7,71,,NNE,9,1018.4,17.7,63,,WNW,13,1016.4
,2021-08-22,9.5,23.8,0,,,NNW,50,11:20,16.0,55,,NNE,13,1012.4,22.8,33,,NW,28,1005.7
,2021-08-23,7.7,13.9,4.6,,,SSW,46,13:35,10.5,76,,SSW,15,1016.0,13.2,61,,SSW,24,1018.6
,2021-08-24,4.7,14.1,1.8,,,SSW,35,13:30,10.5,72,,S,7,1028.3,13.7,57,,SW,19,1026.6
,2021-08-25,4.6,14.2,0.2,,,WSW,28,13:24,10.6,77,,NW,6,1027.9,13.1,79,,SW,13,1024.9
,2021-08-26,5.9,14.2,0.8,,,SE,26,09:07,10.7,57,,ESE,13,1024.6,13.0,44,,ESE,13,1020.9
,2021-08-27,1.9,17.2,0,,,NNE,37,23:23,11.6,56,,NE,11,1018.4,16.7,39,,NNW,17,1013.9
,2021-08-28,8.8,16.4,0,,,NNW,46,12:09,11.6,60,,N,13,1012.5,14.8,53,,WNW,19,1009.9
,2021-08-29,7.3,15.9,5.4,,,NNW,31,14:34,11.7,83,,NNE,9,1014.5,15.1,54,,WNW,17,1013.2
,2021-08-30,9.3,19.3,0,,,NW,41,12:54,13.3,70,,N,11,1015.5,18.9,48,,NNW,20,1012.1
,2021-08-31,12.2,22.2,0,,,N,31,00:43,15.6,55,,N,13,1014.6,21.5,35,,NW,15,1014.1
