"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for September 2021"
"Prepared at 13:03 UTC on Friday  3 December 2021   IDCJDW5081.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,8.8,26.5,0,,,NNE,37,21:20,17.9,60,,NE,11,1020.9,26.0,28,,N,17,1016.2
,2021-09-2,17.9,31.2,0,,,N,61,12:47,24.9,19,,NNE,26,1010.2,30.0,17,,NNW,28,1005.6
,2021-09-3,11.6,16.8,0.6,,,WSW,41,16:41,13.1,83,,W,13,1016.2,16.5,49,,W,19,1015.5
,2021-09-4,7.7,14.6,4.2,,,SSW,41,14:10,11.2,81,,NW,4,1022.4,12.9,67,,S,19,1023.2
,2021-09-5,4.9,15.1,3.6,,,SW,37,12:59,10.6,88,,SW,6,1029.8,14.9,66,,SW,15,1029.5
,2021-09-6,9.1,16.6,2.2,,,WSW,24,12:37,12.7,91,,N,4,1035.2,15.9,64,,WSW,13,1033.8
,2021-09-7,11.1,16.3,0,,,W,24,10:48,13.1,74,,SW,7,1036.2,15.2,63,,WSW,13,1033.4
,2021-09-8,6.2,22.7,0,,,NNW,30,12:52,15.0,64,,NNE,13,1032.0,22.1,36,,NW,17,1027.7
,2021-09-9,13.4,26.1,0.2,,,NW,50,13:32,18.3,31,,N,15,1025.4,25.6,17,,NW,26,1021.2
,2021-09-10,8.6,27.9,0,,,NW,48,14:35,19.8,28,,NE,13,1021.2,27.6,13,,NNW,22,1015.6
,2021-09-11,12.8,19.0,0,,,WSW,43,22:47,16.0,65,,NNW,11,1012.1,18.1,66,,WNW,17,1010.2
,2021-09-12,10.4,13.9,1.2,,,SW,59,14:03,11.3,70,,WSW,24,1011.7,11.0,75,,SW,17,1013.4
,2021-09-13,3.7,16.6,4.4,,,SW,35,11:35,12.6,76,,S,11,1025.4,15.1,56,,S,13,1024.1
,2021-09-14,4.5,15.9,0.2,,,WSW,24,14:21,13.1,61,, ,Calm,1028.6,14.0,56,,WSW,13,1025.6
,2021-09-15,6.1,19.2,0,,,E,26,21:57,15.1,49,,ENE,9,1026.5,19.0,45,,WSW,13,1021.8
,2021-09-16,7.6,23.8,0,,,ENE,39,21:00,17.5,40,,NE,15,1019.8,23.5,27,,NNE,17,1014.0
,2021-09-17,17.4,22.4,0,,,NE,50,01:22,21.3,29,,NW,17,1008.0,18.6,54,,WSW,9,1008.9
,2021-09-18,11.3,17.1,0,,,W,43,09:19,13.7,64,,W,24,1020.2,16.0,60,,SW,11,1020.6
,2021-09-19,7.8,20.0,0,,,NW,44,10:18,14.0,67,,NNW,19,1021.2,19.1,46,,WNW,24,1018.3
,2021-09-20,10.6,14.6,3.4,,,SW,56,10:57,13.0,58,,SW,24,1022.7,12.0,58,,SW,26,1023.5
,2021-09-21,5.4,15.5,1.6,,,SW,35,13:47,11.5,62,,S,17,1033.1,13.9,59,,WSW,20,1032.6
,2021-09-22,9.8,15.7,0.8,,,SW,24,00:51,11.8,84,,WSW,13,1031.5,14.4,74,,W,11,1028.1
,2021-09-23,11.4,20.9,0,,,WNW,28,11:12,13.4,76,,N,9,1024.3,20.6,39,,W,15,1018.6
,2021-09-24,7.7,16.5,0,,,SW,43,13:15,15.3,74,,WSW,17,1016.7,15.4,53,,WSW,22,1017.0
,2021-09-25,7.2,17.6,0.2,,,W,28,11:52,13.6,69,,SSE,13,1023.9,15.2,54,,SW,19,1023.0
,2021-09-26,9.1,19.6,0.2,,,ENE,33,07:16,13.9,49,,ENE,19,1025.4,18.9,35,,NNE,9,1020.8
,2021-09-27,13.1,24.6,0,,,NE,33,09:13,19.1,30,,NE,13,1016.8,24.2,21,,NNE,11,1012.5
,2021-09-28,18.5,24.0,0,,,NNE,44,13:40,22.7,23,,NE,13,1008.9,21.6,34,,ENE,15,1006.4
,2021-09-29,11.9,22.0,0,,,WSW,24,11:09,20.0,56,,N,4,1011.3,16.4,82,,SW,7,1009.4
,2021-09-30,10.9,15.5,3.2,,,SW,33,16:05,13.8,93,,WSW,9,1010.3,15.1,83,,SW,15,1008.5
