"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for November 2021"
"Prepared at 13:02 UTC on Tuesday  7 December 2021   IDCJDW5081.202111"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-11-1,12.3,27.6,0,,,E,30,20:33,21.2,30,,NE,13,1021.6,26.3,18,,WSW,17,1018.5
,2021-11-2,19.3,34.1,0,,,NNE,43,09:41,25.6,19,,NNE,17,1014.6,31.7,22,,N,17,1009.9
,2021-11-3,17.8,21.7,0.8,,,SSW,41,13:52,19.1,85,,W,13,1016.6,20.6,59,,SSW,22,1018.4
,2021-11-4,11.1,25.5,1.0,,,W,28,12:39,16.4,59,,N,4,1025.7,23.8,42,,W,15,1022.4
,2021-11-5,12.5,30.6,0,,,ENE,33,22:58,19.9,55,, ,Calm,1018.0,29.9,20,,W,13,1011.8
,2021-11-6,17.6,26.2,1.0,,,WNW,54,03:41,20.7,74,,NNE,7,1006.5,22.2,59,,SW,15,1005.8
,2021-11-7,13.2,19.7,0.8,,,WSW,33,13:56,15.8,59,,SSE,11,1011.4,18.5,43,,SW,15,1010.2
,2021-11-8,10.9,20.1,0,,,SW,35,14:11,15.6,47,,SSW,9,1014.4,18.7,40,,WNW,9,1012.6
,2021-11-9,9.0,21.2,0,,,SW,37,15:20,16.7,53,,SSE,4,1013.2,19.5,43,,SW,20,1010.9
,2021-11-10,12.5,19.3,0,,,S,39,18:42,14.6,60,,SE,13,1013.3,17.9,35,,SE,17,1010.5
,2021-11-11,10.6,14.1,0,,,ESE,46,00:08,11.8,52,,ESE,15,1008.0,11.7,74,,SSE,9,1003.7
,2021-11-12,10.4,15.8,13.0,,,SW,41,13:45,12.5,76,,SSW,15,1007.3,14.9,64,,SW,20,1008.2
,2021-11-13,8.7,17.5,1.6,,,SW,43,09:00,13.8,52,,SSW,19,1013.9,16.3,46,,WSW,22,1013.4
,2021-11-14,9.3,17.0,4.6,,,W,52,05:54,11.8,68,,SSW,19,1013.1,16.4,50,,WSW,24,1013.8
,2021-11-15,11.8,18.0,0,,,WSW,46,12:54,14.2,60,,SSW,13,1016.9,16.0,61,,SSW,19,1017.2
,2021-11-16,11.2,18.8,0.2,,,W,31,14:46,14.1,54,,S,6,1022.0,16.7,43,,SW,15,1020.7
,2021-11-17,10.5,27.2,0,,,NW,30,11:44,17.9,39,,NE,13,1020.1,26.0,23,,WNW,11,1017.0
,2021-11-18,17.9,29.2,0,,,NW,54,08:32,27.2,24,,NNW,19,1008.5,19.8,67,,WSW,13,1010.6
,2021-11-19,14.2,18.6,0,,,ESE,24,05:14,15.5,64,,E,13,1012.9,18.1,56,,ENE,11,1012.4
,2021-11-20,12.4,18.3,2.4,,,ESE,30,09:54,13.5,60,,ESE,11,1015.1,17.3,52,,SE,9,1015.2
,2021-11-21,11.0,22.3,0,,,ESE,35,14:58,15.2,52,,ESE,17,1021.4,20.5,39,,S,15,1020.1
,2021-11-22,10.6,27.1,0,,,WSW,28,14:25,17.9,51,,SSW,4,1020.2,25.4,38,,WSW,19,1015.2
,2021-11-23,17.8,27.2,0.4,,,NNE,43,17:18,18.0,81,,NE,9,1013.4,25.2,42,,ESE,9,1009.2
,2021-11-24,17.7,26.4,7.6,,,ESE,28,16:44,22.9,70,,NE,2,1011.1,25.0,59,,E,6,1009.6
,2021-11-25,16.7,22.1,0.2,,,S,44,13:51,18.2,65,,SSE,19,1012.4,20.1,51,,SSE,22,1012.7
,2021-11-26,13.3,19.6,0,,,S,44,09:16,14.6,60,,SSE,13,1019.8,18.9,45,,S,22,1017.9
,2021-11-27,13.4,24.6,0,,,ESE,43,00:39,16.9,60,,ESE,11,1022.3,23.4,34,,SE,15,1019.4
,2021-11-28,12.7,26.5,0,,,SW,37,16:12,20.3,49,,WSW,6,1021.2,25.8,30,,WSW,19,1018.2
,2021-11-29,10.8,30.2,0,,,WSW,26,11:54,21.4,24,,N,2,1017.4,29.7,19,,WSW,15,1014.1
,2021-11-30,14.2,34.0,0,,,NW,35,11:03,26.6,25,,NNE,11,1012.2,32.8,15,,WSW,13,1008.9
