"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for August 2022"
"Prepared at 13:02 UTC on Sunday  4 December 2022   IDCJDW5081.202208"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-08-1,7.0,16.3,1.2,,,WNW,39,13:48,8.8,92,,NNE,11,1016.9,15.3,67,,WNW,20,1015.4
,2022-08-2,8.8,15.8,0,,,NNE,54,19:58,12.5,51,,NNE,11,1010.4,11.8,74,,NNE,22,1002.5
,2022-08-3,11.4,20.9,2.2,,,NW,52,19:15,14.2,67,,N,17,1003.5,19.7,39,,N,20,998.0
,2022-08-4,11.9,17.8,0.2,,,NW,54,11:32,14.8,62,,N,17,997.2,15.5,60,,NW,26,996.0
,2022-08-5,11.0,14.6,3.6,,,NNW,43,09:55,12.0,82,,NNW,22,1000.9,11.9,83,,WSW,17,1002.9
,2022-08-6,10.6,14.9,6.0,,,W,33,00:11,12.2,81,,W,15,1011.7,13.7,72,,W,17,1012.5
,2022-08-7,8.1,15.2,1.2,,,WSW,22,13:22,10.1,99,,NNE,7,1021.0,13.9,67,,WSW,9,1020.6
,2022-08-8,6.2,16.0,0.2,,,NNE,20,06:19,10.7,79,,NE,7,1025.7,14.6,43,,WNW,11,1023.8
,2022-08-9,4.7,18.4,0,,,N,31,14:29,12.6,57,,NE,11,1025.6,18.1,37,,NNE,13,1021.7
,2022-08-10,11.2,14.9,1.0,,,NE,43,05:07,12.6,55,,NNE,17,1017.5,14.9,54,,NNE,19,1013.2
,2022-08-11,8.8,16.2,10.4,,,NNW,48,12:44,11.1,71,,N,17,1011.6,14.3,56,,NNW,22,1007.7
,2022-08-12,11.0,14.9,5.6,,,NW,41,00:26,12.3,89,,WSW,15,1008.6,13.4,82,,SSW,20,1009.2
,2022-08-13,8.1,14.9,4.8,,,SW,33,00:47,12.6,88,,WSW,15,1013.5,14.5,73,,WSW,17,1013.0
,2022-08-14,8.3,15.6,12.4,,,WSW,26,12:57,11.2,100,, ,Calm,1015.8,14.9,65,,WSW,13,1013.6
,2022-08-15,10.0,15.7,0.6,,,WSW,26,13:02,11.6,92,,N,7,1011.0,14.6,67,,WSW,15,1009.8
,2022-08-16,7.0,16.1,0.8,,,WSW,28,14:20,12.5,86,,SSW,9,1019.9,14.8,66,,W,15,1019.3
,2022-08-17,9.8,17.7,0,,,NNE,43,11:00,14.2,62,,NNE,13,1017.7,15.6,56,,NNE,17,1012.2
,2022-08-18,11.8,17.0,1.8,,,SW,43,15:11,13.6,91,,NNW,9,1010.1,13.1,89,,WSW,9,1009.5
,2022-08-19,7.7,15.9,8.8,,,WNW,44,18:05,12.0,82,,N,6,1020.5,14.3,68,,NW,22,1019.6
,2022-08-20,11.9,15.8,0.2,,,WNW,28,00:45,13.3,82,,SSW,11,1024.8,15.0,70,,WSW,17,1024.7
,2022-08-21,6.8,15.8,0,,,WNW,31,13:31,10.0,93,,NNE,7,1026.8,15.4,61,,WNW,17,1023.0
,2022-08-22,9.5,13.3,0,,,W,46,14:30,11.5,88,,N,7,1014.8,11.6,96,,WSW,9,1011.4
,2022-08-23,4.3,13.5,11.2,,,SW,39,12:57,10.5,73,,SSW,15,1025.9,12.8,67,,WSW,17,1026.4
,2022-08-24,7.2,15.3,3.4,,,WSW,31,09:02,11.8,84,,W,17,1030.4,13.7,66,,WSW,15,1028.8
,2022-08-25,9.8,15.5,1.4,,,W,26,13:00,11.8,97,,SW,9,1030.2,14.0,79,,SW,11,1028.3
,2022-08-26,5.5,17.4,0.2,,,W,20,11:36,12.1,81,, ,Calm,1028.8,15.4,71,, ,Calm,1025.9
,2022-08-27,12.1,18.8,0,,,NNE,31,11:53,14.4,58,,NNE,9,1024.3,18.3,44,,N,13,1020.1
,2022-08-28,13.9,22.3,0,,,NNE,44,10:59,18.2,42,,NNE,17,1017.9,21.9,29,,N,22,1013.1
,2022-08-29,10.8,15.4,0,,,WNW,44,14:18,14.9,77,,NNW,9,1013.2,13.1,65,,NW,24,1012.5
,2022-08-30,10.0,14.2,5.6,,,SW,44,01:03,11.6,67,,WSW,19,1023.5,13.3,60,,WSW,17,1023.4
,2022-08-31,8.1,15.7,0.2,,,N,24,10:52,12.3,71,,NE,9,1026.5,14.2,56,,W,15,1022.9
