"Daily Weather Observations for Brisbane, Queensland for October 2017"
"Prepared at 13:01 UTC on Friday 10 August 2018   IDCJDW4019.201710"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-10-1,17.7,25.9,0,10.8,0.5,ESE,31,13:42,23.0,33,7,SE,4,1020.6,21.4,63,8,ESE,13,1019.8
,2017-10-2,15.8,22.2,6.6,4.6,0.0,ENE,30,10:18,19.9,85,8,ENE,7,1023.3,20.4,80,8,E,9,1020.5
,2017-10-3,16.4,27.1,30.4,2.8,5.1,NNE,22,16:12,18.9,87,8,SSW,4,1022.5,26.1,54,6,SSE,6,1018.2
,2017-10-4,19.0,28.5,3.4,2.0,8.4,ENE,26,14:57,23.1,75,7,S,4,1020.4,26.1,61,1,E,15,1016.5
,2017-10-5,19.0,30.1,0,5.8,11.2,NE,22,16:31,24.4,62,2,SSE,6,1019.7,27.1,60,1,NE,9,1014.9
,2017-10-6,19.5,30.7,0,6.0,8.6,WSW,24,15:30,26.3,60,1,N,6,1016.4,28.8,59,5,NE,9,1011.8
,2017-10-7,20.3,24.1,11.2,7.0,0.0,SE,26,04:22,21.8,62,8,SE,11,1020.8,22.7,61,8,ESE,7,1018.9
,2017-10-8,19.1,27.4,0,4.2,7.5,NE,19,15:50,23.4,64,5,NNW,2,1020.9,24.6,55,8,NNE,9,1016.8
,2017-10-9,20.4,29.1,0,5.6,7.0,NNE,20,14:42,23.0,73,7,W,6,1015.5,27.8,64,1,NE,9,1009.8
,2017-10-10,21.4,33.1,0,5.8,10.2,E,31,16:07,28.9,57,2,SSW,7,1013.7,28.8,57,2,E,15,1012.0
,2017-10-11,22.3,28.8,0,7.4,5.2,N,28,23:15,24.6,78,8,E,4,1018.1,27.3,66,3,NE,13,1015.2
,2017-10-12,22.3,25.4,0,5.0,0.0,N,22,00:18,24.0,75,8, ,Calm,1017.4,24.5,82,8,NNE,6,1013.5
,2017-10-13,21.0,29.9,2.0,1.4,8.4,NE,28,14:16,25.4,76,2,SE,2,1016.6,27.8,61,6,ENE,15,1013.0
,2017-10-14,21.2,27.0,0,6.0,0.7,SE,33,18:11,25.7,70,7,SE,13,1015.4,22.7,75,8,ENE,2,1013.6
,2017-10-15,18.0,22.6,25.8,4.2,1.1,ESE,44,16:12,18.4,90,8,S,2,1017.8,18.5,92,8,SE,11,1016.5
,2017-10-16,17.3,22.6,26.4,4.6,0.0,ESE,35,11:22,21.1,85,8,ESE,11,1020.2,20.7,81,8,ESE,11,1018.7
,2017-10-17,18.9,22.8,4.6,2.8,0.0,ESE,44,10:01,20.2,88,8,E,9,1022.0,20.4,85,8,ESE,15,1020.3
,2017-10-18,18.3,23.9,12.4,1.8,0.4,E,37,11:54,22.2,74,8,E,15,1024.8,22.1,75,8,ESE,15,1023.5
,2017-10-19,17.0,24.6,1.8,4.0,5.9,E,30,09:33,22.9,64,7,ENE,15,1026.1,23.3,61,7,ENE,11,1023.2
,2017-10-20,18.5,26.4,0,5.6,10.1,NNE,22,15:28,23.0,64,7,NE,2,1021.7,24.7,56,3,NE,7,1017.4
,2017-10-21,18.6,20.4,3.8,5.8,0.0,SW,17,13:37,18.7,91,8,S,4,1016.4,16.7,91,8,SW,6,1014.3
,2017-10-22,13.9,,11.4,0.0,12.3,E,22,17:19,20.0,63,1,W,7,1013.8,,,2,ENE,7,1010.4
,2017-10-23,15.6,22.7,2.8,8.2,5.3,SSW,26,09:26,22.0,64,5,SSW,6,1016.3,22.0,55,7,NE,6,1015.5
,2017-10-24,14.2,25.6,0.2,3.6,11.9,ENE,22,13:01,22.5,58,2,NE,6,1021.6,24.2,52,1,ENE,11,1018.3
,2017-10-25,15.2,27.3,0,6.4,12.3,NNE,33,16:07,23.1,57,1,WNW,4,1019.6,26.0,56,3,NE,11,1014.4
,2017-10-26,18.1,30.6,0,7.4,10.2,NE,30,15:55,25.2,52,0,NNW,9,1012.1,29.1,56,3,NNE,13,1005.5
,2017-10-27,19.6,30.3,0.8,9.0,12.2,W,48,09:18,26.1,28,1,W,20,1007.1,29.7,30,1,WNW,17,1005.8
,2017-10-28,17.8,28.9,0,11.0,10.0,NE,22,15:55,26.1,55,1,SSE,2,1013.0,26.5,58,6,NE,13,1010.4
,2017-10-29,21.6,30.5,0,6.8,10.0,NE,26,15:07,27.4,62,2,NE,6,1012.9,28.8,65,1,NNE,11,1008.1
,2017-10-30,21.6,30.6,5.2,6.6,8.7,NE,26,13:56,27.1,67,6,NNW,6,1010.4,28.0,68,6,NE,9,1005.5
,2017-10-31,21.7,29.7,0,7.8,11.2,W,31,04:38,25.0,35,4,WSW,9,1011.1,26.2,52,4,NE,11,1009.0
