"Daily Weather Observations for Brisbane, Queensland for December 2017"
"Prepared at 13:01 UTC on Wednesday  8 August 2018   IDCJDW4019.201712"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-12-1,21.8,28.0,0.2,5.6,12.4,E,26,14:30,26.6,65,3,ENE,13,1017.3,27.1,64,3,NE,13,1015.0
,2017-12-2,22.3,29.4,0,8.0,9.2,NNE,31,16:56,26.9,64,7,NE,13,1013.3,26.8,65,7,NNE,13,1010.0
,2017-12-3,23.0,30.4,0.8,7.0,4.4,NE,22,16:15,27.0,60,7,WNW,4,1009.3,28.6,64,7,NNE,7,1005.9
,2017-12-4,20.8,28.0,0,5.2,3.1,W,26,11:48,27.0,61,7,ENE,7,1006.8,21.2,87,8,SE,11,1005.8
,2017-12-5,,30.5,23.6,3.8,7.0,,,,,,7,WSW,6,1003.9,29.5,43,5,SW,6,1000.6
,2017-12-6,17.8,31.8,,5.0,13.0,WSW,30,12:07,26.8,32,1,WSW,6,1006.9,30.9,23,1,WSW,11,1003.7
,2017-12-7,17.4,33.1,0,10.0,13.1,ENE,24,16:45,27.6,37,3,WSW,6,1010.0,30.7,32,1,ENE,13,1006.9
,2017-12-8,21.8,31.0,0,8.0,6.3,WSW,57,12:36,28.5,55,2,NE,4,1012.1,24.9,61,8,SSW,6,1011.8
,2017-12-9,20.2,30.2,0.2,8.6,10.9,ESE,41,17:38,27.1,46,2,NNW,4,1015.1,28.2,58,2,ENE,13,1013.6
,2017-12-10,18.8,28.9,4.2,6.4,11.9,E,37,14:48,26.2,58,8,SSE,9,1018.9,26.8,52,5,ESE,17,1016.9
,2017-12-11,18.8,29.4,0,9.0,9.6,ENE,31,15:11,26.5,57,7,SE,13,1017.9,27.2,54,5,E,17,1014.8
,2017-12-12,18.4,29.4,0,9.2,12.4,E,31,16:04,26.2,53,4,SE,13,1017.2,27.7,48,1,E,15,1015.1
,2017-12-13,19.3,28.9,0,8.0,12.4,E,26,13:34,27.2,61,3,ESE,7,1016.0,27.8,55,1,ENE,11,1013.4
,2017-12-14,17.8,29.9,0,5.8,13.2,E,22,11:12,26.7,56,3,WNW,4,1013.7,28.5,51,1,ENE,9,1010.9
,2017-12-15,20.5,30.3,0,7.8,11.4,NE,30,14:13,28.0,55,3,NE,4,1013.8,28.4,55,1,ENE,13,1011.5
,2017-12-16,22.4,30.6,0.8,8.4,10.5,NE,30,13:53,26.8,64,3,NE,7,1016.8,28.1,59,2,ENE,13,1013.9
,2017-12-17,19.8,30.3,0.2,8.4,11.8,E,30,13:56,27.8,55,1,ENE,6,1016.5,28.3,59,1,NE,13,1013.9
,2017-12-18,19.9,29.2,0,9.4,12.0,ENE,28,15:59,26.4,59,4,NE,4,1015.3,28.4,51,1,ENE,11,1012.5
,2017-12-19,20.4,31.1,0,8.8,11.0,N,30,18:33,27.3,58,4,W,7,1013.8,29.6,54,2,NNE,11,1010.5
,2017-12-20,22.0,31.7,0,9.2,12.9,NE,30,16:25,29.2,53,2,NNE,7,1012.7,30.0,62,2,NE,13,1010.2
,2017-12-21,22.6,32.9,0,10.4,10.6,ENE,24,14:28,29.9,52,5,NE,4,1014.2,30.2,53,7,NE,13,1011.9
,2017-12-22,22.5,,0.4,9.0,5.2,,,,25.7,73,7,SW,6,1013.9,29.8,48,7,E,9,1011.4
,2017-12-23,22.3,31.7,,6.2,10.5,E,26,13:40,28.5,63,7,SW,6,1013.6,30.2,55,1,NE,11,1010.4
,2017-12-24,20.9,33.0,0,8.0,13.3,ENE,24,14:38,28.7,52,1,SW,6,1013.1,31.7,52,1,NNE,9,1009.9
,2017-12-25,22.5,36.2,0,11.0,10.0,WSW,61,22:49,29.5,53,6,N,7,1012.6,32.3,53,5,NE,13,1006.8
,2017-12-26,19.0,29.7,54.8,12.4,7.5,E,26,14:39,25.2,77,6,ESE,4,1014.7,28.8,56,6,E,15,1011.8
,2017-12-27,20.7,29.6,3.0,5.6,10.0,E,30,15:37,27.3,60,4,E,7,1015.1,28.2,56,4,ENE,9,1012.6
,2017-12-28,20.6,29.4,0.6,7.8,12.5,ESE,24,12:24,27.5,60,3,NNW,4,1016.3,28.8,57,2,NE,7,1014.2
,2017-12-29,22.2,30.4,9.0,7.0,11.3,,,,27.1,65,7,ENE,4,1015.9,29.5,58,7,ENE,13,1012.9
,2017-12-30,23.3,32.2,,8.6,7.8,NE,24,16:40,28.9,55,7,WNW,7,1011.4,30.4,65,7,NE,9,1006.8
,2017-12-31,24.7,33.6,0,8.0,6.6,E,31,13:03,30.0,63,7,NNE,4,1008.1,27.1,76,7,ENE,6,1007.8
