"Daily Weather Observations for Brisbane, Queensland for April 2018"
"Prepared at 13:01 UTC on Saturday 18 August 2018   IDCJDW4019.201804"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-04-1,20.1,28.9,0,6.6,9.3,ENE,26,12:47,25.8,70,4,SSE,11,1017.4,26.8,66,5,ENE,9,1014.5
,2018-04-2,20.7,28.6,0.4,6.0,10.6,ENE,26,11:01,26.8,70,4,ENE,7,1016.6,27.5,60,1,ENE,13,1014.2
,2018-04-3,19.8,28.0,0,6.0,8.9,E,33,14:23,23.9,80,7,SSW,2,1017.5,27.3,52,1,E,15,1015.6
,2018-04-4,20.1,26.3,4.2,6.4,1.0,E,33,16:10,21.4,90,8,SSE,7,1017.1,25.4,64,7,ESE,13,1014.4
,2018-04-5,18.2,28.1,3.2,4.4,9.4,E,37,15:43,24.4,70,2,SE,6,1015.7,25.6,59,3,ESE,15,1013.3
,2018-04-6,18.2,27.8,1.8,6.2,8.5,E,33,10:30,24.3,68,5,SE,7,1016.5,26.9,54,7,E,15,1014.7
,2018-04-7,18.7,28.1,3.2,5.0,10.7,E,28,15:05,25.5,68,5,SE,7,1019.5,26.8,53,1,ESE,9,1017.4
,2018-04-8,18.6,27.8,2.4,5.8,10.0,ENE,26,15:41,21.9,80,5,WSW,4,1021.2,27.0,51,2,E,13,1017.8
,2018-04-9,17.6,29.3,0,5.4,9.7,ENE,15,16:13,23.9,70,1,SW,4,1020.1,27.6,53,1,ENE,6,1015.3
,2018-04-10,17.6,30.1,0,0.4,10.3,SE,39,16:48,22.8,71,0,WSW,7,1019.1,27.9,61,4,ESE,15,1016.5
,2018-04-11,19.9,27.2,0.2,6.2,10.6,ENE,30,11:51,23.8,63,7,SE,9,1022.6,26.3,46,2,ESE,11,1020.1
,2018-04-12,17.6,26.1,0,7.2,3.5,ENE,28,10:51,23.3,62,7,SW,2,1022.6,24.5,63,7,NE,7,1019.3
,2018-04-13,18.1,27.8,0.6,4.2,9.4,N,28,15:37,24.5,64,2,ENE,2,1020.2,27.2,58,2,NNE,9,1015.5
,2018-04-14,18.8,28.0,0,5.0,3.7,NNW,17,21:14,23.4,71,7, ,Calm,1015.6,27.2,61,5,N,6,1011.5
,2018-04-15,18.3,30.4,0.2,3.0,10.6,NE,24,15:51,25.5,64,1, ,Calm,1011.9,29.3,63,2,NNE,9,1009.0
,2018-04-16,15.1,32.0,0,4.0,10.9,ENE,19,15:51,24.8,54,0,SSW,2,1015.8,31.4,30,0,W,7,1012.1
,2018-04-17,16.7,30.8,0,5.2,10.6,SE,33,18:27,24.5,55,0,SSW,2,1018.0,27.8,56,1,E,11,1015.6
,2018-04-18,19.4,24.7,5.2,7.6,0.6,ESE,30,16:09,20.5,91,8,WSW,4,1021.8,24.5,59,6,ESE,15,1019.4
,2018-04-19,18.4,27.2,1.2,5.0,7.1,E,22,11:47,24.2,65,2,SW,4,1021.6,25.4,56,7,ESE,9,1018.6
,2018-04-20,18.9,27.7,0.2,5.8,3.8,ESE,26,12:06,23.5,68,6,SSW,6,1019.7,22.6,84,7,NW,2,1016.1
,2018-04-21,17.5,26.7,10.0,2.8,7.8,SE,30,13:40,22.3,73,1,SW,6,1019.3,24.0,65,7,E,7,1016.5
,2018-04-22,17.2,25.8,0.2,3.8,9.8,SSE,30,12:53,23.3,63,4,SSW,7,1018.6,24.8,58,2,SE,13,1016.1
,2018-04-23,16.9,28.0,0,5.8,8.9,S,22,10:59,22.0,66,1,WSW,7,1017.0,23.1,67,5,ESE,9,1014.5
,2018-04-24,16.4,27.2,1.4,3.2,9.1,SSE,24,16:29,21.7,61,1,WSW,7,1016.0,25.9,40,6,SSE,6,1012.3
,2018-04-25,17.5,27.7,1.2,4.0,9.3,W,17,09:37,22.6,68,1,WSW,4,1013.7,27.4,47,7,S,4,1010.3
,2018-04-26,18.1,29.1,0,5.0,10.5,ENE,22,15:36,22.9,70,1,SW,6,1013.8,26.8,55,1,NE,9,1010.5
,2018-04-27,18.3,27.5,0,4.6,8.8,SSE,28,15:52,23.4,61,1,S,9,1017.3,25.8,46,3,SE,9,1015.5
,2018-04-28,16.6,25.5,0,5.6,7.8,SSE,28,15:14,21.3,60,3,SSW,9,1020.0,23.5,52,5,SSE,7,1016.8
,2018-04-29,15.8,26.1,0.4,2.6,10.1,SSE,24,12:30,20.1,62,1,SW,9,1021.8,24.1,46,4,SSE,9,1018.8
,2018-04-30,14.9,25.5,0,4.0,8.0,ESE,33,15:06,20.2,60,1,SW,6,1021.6,22.0,54,5,SE,15,1020.3
