"Daily Weather Observations for Brisbane, Queensland for September 2018"
"Prepared at 13:01 UTC on Sunday 11 August 2019   IDCJDW4019.201809"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-09-1,17.8,27.1,0,7.8,8.7,W,41,14:39,20.2,39,4,W,9,1013.2,26.4,23,1,WSW,13,1009.6
,2018-09-2,12.2,26.3,0,7.6,10.7,ESE,26,17:37,21.1,36,0,SW,6,1016.4,23.6,34,1,ENE,9,1013.2
,2018-09-3,12.3,20.6,0,7.4,3.0,SSE,35,12:54,19.3,58,6,S,7,1021.9,17.2,78,8,SSW,4,1020.0
,2018-09-4,12.3,21.7,0.4,4.0,2.0,ESE,35,13:48,17.4,67,7,SSW,6,1022.8,19.6,58,7,ESE,13,1020.7
,2018-09-5,12.4,21.6,9.4,1.8,5.6,E,33,14:13,17.6,77,5,S,9,1023.1,18.5,67,5,SE,13,1020.3
,2018-09-6,12.8,23.2,0,3.6,4.9,ENE,19,16:32,17.4,71,7,SW,6,1022.2,20.2,62,6,ENE,7,1018.1
,2018-09-7,13.4,24.7,0.4,2.8,10.0,NNE,31,16:11,21.7,65,3,NNE,6,1020.3,22.0,63,1,NE,11,1016.3
,2018-09-8,17.5,25.0,1.2,5.2,4.8,NE,22,15:51,19.3,86,7,WSW,4,1018.2,22.0,71,7,NE,9,1013.2
,2018-09-9,14.0,26.8,2.0,2.8,10.9,ENE,24,15:52,19.2,64,0,SW,4,1020.0,26.0,22,1,ESE,4,1016.5
,2018-09-10,12.6,25.1,0,4.6,10.8,E,30,15:02,19.3,60,0,WSW,6,1023.7,23.4,39,1,E,13,1021.0
,2018-09-11,12.1,25.0,0,6.6,9.9,E,24,15:09,19.6,59,1,SSW,7,1024.2,23.3,46,1,E,11,1020.1
,2018-09-12,13.2,24.9,0,4.6,10.2,NNE,24,15:53,19.3,65,4,S,4,1021.9,22.8,44,1,ENE,11,1018.1
,2018-09-13,13.5,26.2,0,6.0,10.7,ENE,20,14:23,20.1,60,0,SW,6,1021.4,24.3,46,1,NNE,9,1017.2
,2018-09-14,14.1,26.4,0,4.8,9.9,E,24,13:29,21.3,67,3,SSW,4,1021.8,23.9,51,1,ENE,13,1017.6
,2018-09-15,14.4,26.9,0,5.4,10.8,NE,30,17:34,21.4,62,1,WSW,6,1018.4,24.4,54,1,NE,13,1012.5
,2018-09-16,15.1,28.3,0,4.0,9.9,E,37,15:09,24.0,51,1,W,6,1011.9,22.3,52,1,E,17,1011.9
,2018-09-17,12.9,23.3,0,8.8,10.1,SSE,30,09:18,19.3,46,6,SSE,11,1022.5,22.0,39,4,ESE,13,1019.8
,2018-09-18,12.2,24.3,0,6.8,8.9,ENE,24,14:16,19.4,55,7,WSW,4,1023.9,22.2,46,1,NE,11,1018.7
,2018-09-19,12.5,25.1,0,5.2,10.8,ENE,28,13:04,20.9,54,1,WNW,4,1019.1,22.8,55,1,NNE,15,1013.1
,2018-09-20,15.1,28.7,0,6.6,10.5,ESE,24,12:15,24.2,46,1,S,6,1013.8,24.6,54,3,ENE,11,1012.2
,2018-09-21,13.3,24.5,0,5.8,10.9,SE,33,09:22,20.7,47,1,S,9,1025.5,22.4,41,1,E,15,1023.3
,2018-09-22,12.2,25.1,0,7.8,10.2,E,26,16:01,21.1,52,1,SSW,6,1028.1,23.1,47,1,ENE,11,1023.4
,2018-09-23,13.1,26.1,0,6.4,10.9,ENE,22,15:14,21.0,58,1,WSW,6,1024.7,24.0,47,1,ENE,13,1019.8
,2018-09-24,13.9,25.6,0,5.8,7.8,SE,44,15:37,22.3,55,5,SE,6,1024.1,22.2,52,6,ESE,15,1020.7
,2018-09-25,15.5,21.2,0,6.0,0.5,E,24,10:42,17.5,70,8,S,6,1025.5,20.0,53,7,E,11,1021.8
,2018-09-26,13.8,23.7,,2.6,9.3,,,,20.9,61,5,ENE,2,1022.6,21.5,57,3,NE,9,1018.0
,2018-09-27,14.1,24.2,0,5.6,3.2,E,20,15:35,20.3,67,8,ESE,2,1020.9,23.2,55,1,ENE,9,1017.5
,2018-09-28,15.9,26.8,0,3.2,8.7,NNE,26,15:33,22.7,66,7,N,6,1022.0,25.1,54,1,NNE,11,1017.7
,2018-09-29,16.5,28.9,0,5.4,8.4,NE,28,13:48,23.8,57,3,NNW,6,1021.9,23.8,63,3,NNE,11,1017.3
,2018-09-30,16.9,20.8,2.2,6.6,1.8,ESE,30,17:09,17.0,86,8,SSE,4,1025.6,18.8,74,7,ESE,15,1024.2
