"Daily Weather Observations for Brisbane, Queensland for November 2018"
"Prepared at 13:01 UTC on Friday  9 August 2019   IDCJDW4019.201811"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-11-1,15.8,27.8,0,6.6,12.7,ENE,28,16:53,25.5,56,3,ENE,6,1023.8,25.9,54,1,ENE,11,1021.6
,2018-11-2,18.2,27.1,0,8.8,11.3,ENE,30,13:19,24.6,52,3,NNE,7,1025.9,25.8,51,1,NE,11,1021.6
,2018-11-3,17.7,30.8,0,8.8,12.1,NE,28,15:21,25.3,49,3,N,7,1020.9,28.1,52,2,NNE,11,1014.6
,2018-11-4,18.5,30.7,0,8.0,11.1,NE,26,15:23,28.3,48,1,ENE,6,1013.4,28.5,62,4,NNE,13,1009.0
,2018-11-5,21.2,31.3,0,7.4,12.1,ENE,30,13:35,27.8,64,2,ENE,4,1012.1,29.2,61,2,NE,13,1008.2
,2018-11-6,23.5,32.0,0,7.4,8.8,NE,24,15:28,27.6,74,7,WNW,2,1013.3,30.2,61,7,NNE,11,1008.9
,2018-11-7,22.4,31.4,0,8.6,11.9,NNE,33,16:21,29.1,57,4,NNE,7,1010.8,29.1,62,6,NNE,13,1005.8
,2018-11-8,22.4,25.7,0.6,8.4,3.4,W,37,09:13,23.3,66,8,W,7,1011.5,24.4,39,6,WSW,11,1013.1
,2018-11-9,16.3,25.1,0,5.2,10.4,SE,31,07:58,23.2,42,5,ESE,13,1020.7,24.0,41,6,ESE,11,1017.6
,2018-11-10,14.1,27.1,0,9.8,12.9,ENE,24,12:47,23.7,50,3,E,4,1018.2,25.0,51,2,ENE,11,1015.2
,2018-11-11,16.9,27.7,0,9.0,12.6,ESE,28,12:39,25.3,50,3,ESE,7,1019.7,26.6,46,1,E,13,1016.8
,2018-11-12,16.8,27.8,0,8.0,13.0,E,33,13:39,24.0,47,3,SE,11,1021.0,25.8,44,2,E,17,1017.8
,2018-11-13,16.8,27.1,0,10.2,12.2,ENE,33,14:58,23.7,58,4,SE,7,1019.7,25.8,46,5,E,15,1016.7
,2018-11-14,17.2,28.3,0,9.4,10.2,ENE,22,13:03,25.0,54,5,NE,4,1018.6,26.5,55,4,ENE,13,1016.1
,2018-11-15,20.9,29.6,0,7.4,10.6,ENE,26,12:59,27.0,60,3,NE,6,1018.7,27.1,55,3,NE,7,1015.1
,2018-11-16,18.9,29.6,0,8.0,11.5,ENE,26,14:46,25.8,57,5,NNE,2,1017.7,27.7,51,1,ENE,11,1013.4
,2018-11-17,19.2,29.6,0,8.0,8.8,SE,37,19:07,25.8,58,4,NNE,4,1016.1,26.6,56,5,ENE,11,1011.8
,2018-11-18,18.0,26.2,2.8,7.2,7.0,SE,37,12:19,23.4,66,7,ESE,13,1018.9,24.4,55,6,ESE,11,1017.4
,2018-11-19,18.2,27.0,0.2,8.0,11.6,ESE,28,10:44,23.7,50,3,E,13,1019.9,24.8,43,2,ESE,11,1016.3
,2018-11-20,16.8,28.3,0,9.0,11.9,NE,28,16:46,25.3,48,6,WNW,2,1017.2,26.6,45,1,NNE,11,1011.9
,2018-11-21,19.4,31.7,0,9.4,9.5,NNE,33,14:03,26.7,49,1,N,9,1010.8,29.3,56,7,NNE,11,1004.6
,2018-11-22,23.2,31.1,2.8,8.6,6.1,W,48,11:34,27.9,62,7,NW,9,1005.4,28.5,50,7,WNW,15,1003.3
,2018-11-23,19.1,30.2,6.2,10.0,12.2,W,52,11:15,24.1,22,4,W,15,1008.6,29.1,14,0,W,20,1003.6
,2018-11-24,16.5,30.6,0,16.8,13.2,WNW,56,14:10,24.5,23,0,W,13,1007.4,29.9,12,0,W,17,1003.1
,2018-11-25,19.9,33.5,0,16.0,10.9,NW,37,13:07,28.4,18,6,NNW,4,1004.9,31.3,29,6,NNE,7,998.7
,2018-11-26,18.2,34.8,0.2,8.0,13.1,W,39,12:24,28.1,27,0,W,6,1002.9,30.5,38,1,E,9,1001.2
,2018-11-27,18.1,29.9,0,10.0,3.4,NE,26,19:11,24.1,62,8,NNE,4,1009.1,26.3,64,6,ENE,11,1005.8
,2018-11-28,22.7,37.9,0.6,5.4,11.2,W,63,14:46,29.6,63,5,NNW,9,1001.2,35.8,21,1,W,26,995.5
,2018-11-29,21.1,34.5,0,16.4,13.1,WSW,35,00:57,26.7,38,0,WSW,9,1005.4,34.3,21,6,SW,9,1002.9
,2018-11-30,19.4,29.8,0,8.6,12.7,ENE,31,13:59,26.6,52,5,E,7,1011.6,28.1,55,2,NE,11,1008.0
