"Daily Weather Observations for Brisbane, Queensland for January 2019"
"Prepared at 16:01 UTC on Wednesday  7 August 2019   IDCJDW4019.201901"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-01-1,22.9,31.6,0,10.6,12.5,ENE,24,16:34,28.8,50,3,ENE,9,1015.2,29.8,40,2,NE,13,1011.4
,2019-01-2,21.0,31.1,0,9.6,12.8,NE,26,13:22,27.5,52,3,ENE,7,1013.8,30.0,48,1,ENE,11,1011.2
,2019-01-3,20.8,29.4,8.4,9.2,5.8,ENE,26,16:10,27.2,66,7,WSW,6,1014.2,27.6,65,7,NE,9,1012.1
,2019-01-4,22.5,30.1,7.0,7.4,12.0,E,28,15:22,27.6,54,5,ENE,13,1016.5,28.3,53,4,ENE,15,1014.3
,2019-01-5,20.9,30.9,0.2,9.4,9.0,NE,26,13:04,28.2,61,7,ENE,9,1015.9,28.8,55,7,ENE,9,1013.1
,2019-01-6,24.0,31.3,0,8.4,8.8,ENE,30,13:06,29.3,51,7,E,9,1014.6,28.8,55,7,ENE,13,1012.4
,2019-01-7,23.9,30.1,7.6,7.8,3.7,ENE,30,11:16,26.6,72,7,ENE,9,1015.9,27.2,62,7,E,11,1014.5
,2019-01-8,22.5,29.9,2.0,6.4,3.9,NE,31,06:30,26.7,71,8,E,9,1015.1,29.0,50,7,ENE,11,1012.7
,2019-01-9,22.9,29.8,0,10.8,2.1,NE,20,12:07,27.7,59,7,NE,6,1012.9,29.0,59,7,NE,6,1011.8
,2019-01-10,24.4,31.0,0.6,7.6,5.1,NE,26,14:23,27.1,70,5,W,4,1015.6,29.1,57,6,ENE,11,1014.4
,2019-01-11,21.9,31.0,0,7.8,12.2,ENE,31,10:56,28.8,53,3,ENE,13,1018.3,29.9,40,2,ESE,11,1016.4
,2019-01-12,20.2,31.7,0,9.8,12.3,ENE,31,13:50,28.4,46,2,ESE,11,1018.1,29.9,39,1,ENE,13,1015.8
,2019-01-13,20.8,32.1,0,9.6,12.8,E,31,13:34,28.7,49,3,E,11,1017.2,30.6,45,1,E,15,1015.0
,2019-01-14,21.1,32.0,0,11.0,12.5,ENE,33,16:09,27.3,53,3,SE,11,1017.7,30.4,48,1,E,15,1014.9
,2019-01-15,21.7,31.6,0,11.2,10.3,E,26,17:37,27.2,62,4,NNE,4,1016.9,29.8,50,1,NE,11,1013.2
,2019-01-16,23.9,33.3,0,9.6,12.7,ENE,30,15:43,28.9,44,2,NE,6,1014.5,30.0,50,1,ENE,17,1011.2
,2019-01-17,24.1,32.6,0,11.2,12.6,E,30,15:42,28.9,51,3,ENE,9,1015.7,30.4,40,1,NE,9,1013.0
,2019-01-18,21.3,32.4,0,10.4,11.7,ENE,24,13:14,27.4,58,3,N,4,1017.1,30.7,44,1,NNE,9,1014.3
,2019-01-19,21.7,32.9,0,10.0,9.1,NNE,24,15:29,26.8,59,7,NW,4,1017.9,30.9,50,5,NNE,9,1014.0
,2019-01-20,22.0,33.0,0,8.0,12.0,ENE,28,15:15,29.0,53,3,E,7,1019.2,31.0,49,3,ENE,13,1016.1
,2019-01-21,23.3,32.3,0,9.8,11.2,NE,33,15:12,28.7,57,4,E,7,1017.6,31.0,52,2,ENE,15,1015.3
,2019-01-22,22.4,32.2,0,8.8,11.2,ENE,26,11:28,28.6,59,3,ENE,9,1017.4,30.9,52,1,ENE,11,1014.8
,2019-01-23,23.4,33.6,0,8.6,11.0,,,,28.4,58,2,NNW,7,1014.5,31.8,49,1,NNE,13,1010.8
,2019-01-24,24.7,33.2,,10.8,10.8,NE,26,13:11,29.9,49,1,NNE,7,1014.0,31.3,50,1,NE,9,1012.6
,2019-01-25,25.2,33.2,0.6,9.8,9.8,ENE,31,13:26,27.6,67,7,WNW,2,1015.8,31.1,49,1,NE,13,1013.0
,2019-01-26,24.2,33.0,0.2,8.6,10.2,NNE,30,13:51,28.2,67,7,ENE,6,1014.7,30.7,48,1,NE,11,1011.8
,2019-01-27,23.5,32.5,0,10.8,12.5,NE,33,17:34,28.2,52,2,NNE,9,1014.3,31.3,49,1,NE,11,1011.7
,2019-01-28,22.9,33.2,0,10.6,11.7,ENE,28,14:57,29.4,58,3,NE,9,1015.6,31.4,46,1,ENE,13,1013.7
,2019-01-29,23.5,32.0,1.0,8.0,10.6,ENE,28,11:24,28.0,61,7,NNE,6,1016.5,31.1,44,2,NNE,9,1014.0
,2019-01-30,22.6,32.3,0,7.4,9.5,ENE,30,12:25,26.4,71,7,E,11,1016.9,30.6,50,7,ENE,13,1013.7
,2019-01-31,23.4,33.0,0,7.2,9.9,ENE,30,15:08,27.8,64,6,ENE,11,1014.6,31.0,51,7,NE,13,1010.9
