"Daily Weather Observations for Brisbane, Queensland for July 2019"
"Prepared at 13:01 UTC on Wednesday 21 August 2019   IDCJDW4019.201907"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-07-1,13.8,23.5,0,2.0,7.3,S,28,12:40,17.4,78,1,SW,6,1022.6,21.5,61,5,SSE,7,1019.0
,2019-07-2,14.0,23.0,0.2,2.8,7.0,WSW,13,09:58,17.9,72,7,SW,4,1021.5,21.8,62,6,NE,6,1018.3
,2019-07-3,12.8,23.3,0,1.8,8.2,SE,33,13:29,17.3,75,1,SW,6,1023.2,22.3,52,2,SE,13,1021.9
,2019-07-4,14.5,23.7,0,3.8,6.8,SE,35,14:11,18.7,68,3,S,4,1027.2,21.1,54,3,SE,13,1025.5
,2019-07-5,15.4,22.0,4.2,5.2,3.4,ESE,35,13:59,18.7,74,7,S,6,1029.1,20.5,57,7,ESE,13,1026.5
,2019-07-6,14.6,21.1,4.4,3.6,2.1,SE,33,11:37,16.6,92,7,ESE,9,1030.1,17.9,86,8,ESE,6,1028.7
,2019-07-7,14.2,20.9,4.6,1.2,5.9,SE,26,13:02,17.5,81,2,SSW,4,1030.8,18.2,82,6, ,Calm,1027.6
,2019-07-8,14.3,20.3,0.2,2.2,1.9,SSW,13,03:32,16.5,82,7,WSW,4,1027.5,19.0,67,7, ,Calm,1022.7
,2019-07-9,12.4,24.0,0.8,2.0,9.9,S,20,14:46,16.5,80,1,S,4,1021.5,23.7,44,1,SW,4,1017.1
,2019-07-10,11.0,23.7,0,3.0,10.0,W,22,15:30,15.9,69,3,S,2,1020.9,23.0,32,1,W,13,1016.7
,2019-07-11,9.1,24.5,0,2.0,10.2,WNW,30,13:09,15.5,61,1,SSE,4,1021.3,24.2,26,0,WNW,15,1015.9
,2019-07-12,7.4,26.0,0,5.2,10.0,W,26,11:40,17.6,43,1,SW,4,1021.0,25.5,27,1,WNW,9,1016.5
,2019-07-13,8.5,23.8,0,4.4,9.8,W,41,11:39,20.0,39,5,WNW,9,1017.5,23.0,26,6,W,15,1014.4
,2019-07-14,9.3,20.1,0,9.8,10.0,SW,26,02:26,13.4,34,1,WSW,7,1024.1,19.7,18,1,WSW,6,1019.7
,2019-07-15,9.6,20.1,0,5.8,9.7,W,46,11:02,14.1,37,1,W,11,1018.7,19.5,27,1,W,13,1015.7
,2019-07-16,8.4,23.2,0,2.6,10.1,S,17,12:00,14.0,47,1,SW,7,1021.2,22.4,24,0,SW,6,1017.1
,2019-07-17,9.5,23.6,0,3.6,10.6,W,17,23:53,15.3,48,1,SSW,6,1019.5,22.4,40,1,NNE,6,1016.3
,2019-07-18,8.6,24.7,0,3.4,10.0,W,28,11:51,16.4,44,0,W,9,1017.3,23.7,12,0,SSW,4,1013.7
,2019-07-19,8.8,22.9,0,4.0,10.0,SW,15,08:34,13.9,49,2,SSW,6,1021.6,21.8,38,1,N,6,1018.6
,2019-07-20,7.9,23.1,0,6.0,9.8,E,17,16:11,13.9,58,1,SW,6,1025.0,22.0,44,3,NNE,6,1021.9
,2019-07-21,9.4,22.1,0,0.6,9.3,ENE,22,14:25,14.8,68,6,SSW,2,1023.3,20.6,47,1,ENE,11,1018.2
,2019-07-22,10.7,24.3,0,2.4,8.7,NE,19,15:38,14.2,72,7,SW,4,1021.0,22.1,53,1,NE,9,1016.6
,2019-07-23,12.0,27.1,0,4.8,10.0,W,19,14:09,16.8,76,1,SW,2,1022.1,24.7,47,1,N,6,1018.2
,2019-07-24,10.0,26.9,0,4.0,10.2,WSW,31,13:26,14.9,63,0,SW,4,1022.4,26.6,13,0,WSW,15,1018.3
,2019-07-25,11.9,23.9,0,3.6,9.7,ENE,22,15:57,17.8,44,3,SW,4,1024.1,21.2,58,3,E,9,1021.9
,2019-07-26,12.1,23.3,0,2.6,7.2,NNE,15,15:53,15.9,76,7,SW,4,1023.7,21.7,56,6,NE,6,1020.7
,2019-07-27,12.1,25.9,0,2.2,10.0,S,20,12:56,17.9,71,1,SW,2,1022.8,25.0,37,1,SE,2,1018.0
,2019-07-28,13.0,24.1,0,2.6,9.6,NE,24,15:30,18.3,60,1,SW,4,1023.5,22.5,50,3,ENE,9,1019.8
,2019-07-29,12.8,24.0,0,4.0,9.4,NE,15,16:39,18.1,69,2,SSW,4,1022.8,22.5,50,2,NE,6,1017.6
,2019-07-30,11.3,25.9,0,3.2,9.0,E,22,16:41,17.5,67,0,WSW,2,1021.4,25.1,31,1,SW,4,1017.9
,2019-07-31,12.5,22.4,0,4.2,9.2,SE,28,16:06,17.1,58,1,SSW,7,1026.1,20.4,50,3,SE,7,1023.3
