"Daily Weather Observations for Brisbane, Queensland for August 2019"
"Prepared at 13:01 UTC on Wednesday 12 August 2020   IDCJDW4019.201908"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-08-1,12.6,21.8,0,4.2,5.6,S,19,14:08,17.6,63,5,SSW,7,1027.1,21.1,50,7,SW,6,1024.9
,2019-08-2,11.2,22.1,0,1.6,8.8,E,24,13:16,16.8,65,1,SSW,7,1028.4,19.1,57,2,E,6,1025.9
,2019-08-3,10.4,23.6,0,4.0,9.9,E,19,14:22,16.2,70,1,SSW,6,1029.2,20.8,52,1,NE,9,1025.4
,2019-08-4,10.4,24.0,0,3.6,10.3,E,19,16:17,15.1,73,0,SSW,6,1027.5,22.1,45,1,NE,9,1024.4
,2019-08-5,10.9,23.4,0,3.2,10.3,E,20,14:04,16.2,72,3,SW,6,1026.6,21.5,43,1,ENE,9,1022.9
,2019-08-6,10.0,24.0,0,3.0,10.1,ENE,22,15:54,15.8,67,1,SW,6,1023.4,21.8,44,1,ENE,9,1018.9
,2019-08-7,12.1,23.1,0,3.2,1.5,NE,19,13:43,15.6,77,7,WSW,4,1019.0,20.0,67,7,N,4,1014.2
,2019-08-8,12.8,28.7,2.8,2.0,9.6,WNW,39,16:03,18.3,75,2,NE,4,1012.5,28.2,12,1,WNW,15,1005.7
,2019-08-9,15.9,25.3,0.2,7.2,10.3,WNW,46,10:53,19.7,24,0,W,11,1012.0,25.2,14,0,W,11,1007.8
,2019-08-10,16.0,22.9,0,13.8,10.1,WSW,54,13:05,18.6,34,1,W,17,1010.5,22.4,25,1,W,15,1005.7
,2019-08-11,10.6,20.6,0,12.0,10.3,W,57,12:08,13.9,31,0,WSW,13,1015.2,20.2,15,0,WNW,20,1009.6
,2019-08-12,9.4,22.0,0,8.6,10.4,WSW,31,02:27,13.3,40,0,WSW,13,1019.2,20.9,21,0,N,2,1017.5
,2019-08-13,8.9,23.3,0,6.4,10.4,ENE,19,13:48,15.5,47,1,WSW,6,1026.1,21.6,43,1,NE,9,1022.7
,2019-08-14,10.5,22.7,0,3.0,9.1,ENE,22,14:15,16.9,65,1,SSW,4,1028.4,20.2,37,2,ENE,9,1025.6
,2019-08-15,9.9,23.8,0,4.2,10.4,NNE,22,13:39,16.4,65,1,SW,4,1028.4,22.3,46,1,NE,9,1023.9
,2019-08-16,12.1,24.7,0,8.0,8.5,NNE,20,15:06,16.8,61,4,SSW,4,1024.9,22.1,52,1,NNE,9,1019.5
,2019-08-17,10.2,27.7,0,7.0,10.2,NW,19,13:20,18.3,57,0,W,2,1020.6,25.8,32,1,NE,7,1015.8
,2019-08-18,12.7,24.4,0,6.6,10.4,E,20,15:34,19.7,58,1,SW,4,1022.0,22.9,52,1,ENE,7,1017.6
,2019-08-19,12.9,28.6,0,5.8,9.8,W,44,14:49,18.6,79,1,ENE,2,1017.5,26.6,19,0,W,17,1013.8
,2019-08-20,11.0,23.1,0,10.2,10.9,WSW,20,03:43,14.9,24,0,SW,9,1025.5,22.6,10,0,SSW,4,1021.2
,2019-08-21,7.7,26.2,0,5.0,11.0,W,37,15:46,18.0,24,0,WSW,7,1020.4,25.5,17,0,WNW,11,1014.6
,2019-08-22,13.7,25.4,0,10.4,10.8,W,54,13:30,19.6,34,0,WSW,11,1015.8,24.8,23,0,W,20,1010.1
,2019-08-23,12.4,23.7,0,11.2,10.1,ESE,24,12:21,18.0,41,1,SSW,6,1024.6,21.8,37,1,E,7,1022.2
,2019-08-24,10.2,23.0,0,9.2,10.3,NNE,24,15:09,16.9,56,2,SSW,6,1025.9,21.9,39,1,NE,7,1021.0
,2019-08-25,10.7,24.9,0,6.0,10.2,NNE,20,14:27,17.3,59,0,S,4,1021.7,22.9,44,1,NE,9,1016.7
,2019-08-26,12.0,27.2,0,5.0,9.9,NE,19,13:07,19.1,52,1,SW,6,1020.2,23.3,39,4,ENE,9,1016.3
,2019-08-27,13.1,25.4,0,4.0,5.7,NE,22,15:01,17.6,80,7,WSW,2,1021.6,23.8,51,3,ENE,11,1018.1
,2019-08-28,16.0,23.3,0.2,3.4,3.0,W,20,11:21,21.0,60,7,WSW,7,1021.6,21.3,54,7,SSW,6,1018.7
,2019-08-29,13.6,19.7,0,2.8,0.1,WSW,20,12:02,18.5,61,7,WSW,7,1020.5,18.8,65,8,W,2,1017.7
,2019-08-30,11.9,23.7,0,2.4,9.2,E,24,14:28,17.7,61,1,WSW,7,1021.4,21.2,59,1,E,9,1017.4
,2019-08-31,11.6,24.5,0,4.8,10.7,E,24,14:37,18.1,55,1,SSW,6,1021.5,21.6,43,1,ENE,11,1017.7
