"Daily Weather Observations for Brisbane, Queensland for February 2020"
"Prepared at 13:01 UTC on Thursday 20 August 2020   IDCJDW4019.202002"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-02-1,22.5,32.2,0,,11.3,NNE,26,17:33,27.1,68,4,W,2,1018.3,30.1,58,1,ENE,13,1014.4
,2020-02-2,21.6,33.1,0,,12.7,NNE,30,17:36,29.4,53,1,NE,2,1014.0,31.8,51,1,NNE,11,1009.4
,2020-02-3,23.4,34.5,0,,12.6,NE,33,17:14,30.2,53,1,NNE,6,1009.2,34.0,49,1,NNE,9,1005.0
,2020-02-4,23.8,26.7,13.6,,0.3,SE,43,13:34,26.0,70,8,SE,17,1014.0,24.6,69,7,SE,9,1015.1
,2020-02-5,20.7,25.0,0.6,,0.0,SE,35,15:32,23.3,71,8,ESE,9,1017.4,24.7,64,8,ESE,13,1015.1
,2020-02-6,19.9,25.2,77.6,,0.0,SSE,26,16:09,20.5,95,8,SSW,2,1016.1,22.9,92,8,ESE,6,1013.0
,2020-02-7,20.4,29.1,96.4,,5.5,ENE,28,18:19,25.2,78,8,ENE,7,1014.7,28.2,62,7,NE,11,1011.6
,2020-02-8,23.1,29.9,0.2,,4.6,E,33,14:49,25.2,84,7,ESE,6,1012.0,26.1,78,7,E,19,1008.1
,2020-02-9,22.6,27.2,21.6,,3.3,ENE,19,01:15,26.0,83,7,S,4,1007.1,26.1,78,8,NE,6,1005.4
,2020-02-10,21.2,29.3,26.4,,4.5,ENE,24,15:31,26.8,77,7,E,2,1009.8,28.7,70,6,NE,9,1007.0
,2020-02-11,21.9,30.0,30.8,,3.5,ENE,17,15:25,25.0,82,6,SW,6,1009.6,28.9,69,7,NE,7,1005.7
,2020-02-12,22.5,25.9,3.6,,0.2,E,26,18:10,25.3,90,7,ENE,6,1007.2,25.3,87,7,ESE,2,1005.2
,2020-02-13,21.9,26.6,46.8,,0.0,SSW,19,15:38,23.8,88,8,SSW,6,1005.7,24.3,88,7,S,6,1003.7
,2020-02-14,21.7,30.5,36.6,,9.5,ENE,22,14:45,26.4,74,1,SW,4,1006.2,28.5,61,2,ENE,13,1003.3
,2020-02-15,22.7,31.6,0,,10.1,NNE,19,13:25,28.1,67,3, ,Calm,1007.8,31.2,60,3,NNE,7,1005.1
,2020-02-16,23.9,32.2,1.8,,12.2,E,28,16:49,28.7,70,3,WSW,2,1011.2,31.2,57,2,ENE,13,1009.7
,2020-02-17,22.9,31.9,0,,12.3,E,24,16:25,28.6,61,3,E,7,1013.6,30.5,53,2,ENE,9,1011.1
,2020-02-18,22.9,32.4,0,,12.7,NE,20,14:33,28.4,68,3,NE,2,1012.3,31.5,53,2,ENE,9,1008.4
,2020-02-19,24.7,33.8,0,,10.3,WNW,33,23:05,29.2,58,7,NW,6,1007.7,31.9,62,7,NNE,9,1003.9
,2020-02-20,21.9,32.8,1.4,,11.4,ENE,22,14:13,28.1,52,1,SSW,4,1008.3,30.8,53,1,E,9,1006.6
,2020-02-21,23.0,30.1,0,,10.6,E,28,16:37,27.5,62,3,SSE,9,1014.5,29.9,52,1,ENE,11,1012.6
,2020-02-22,23.3,29.4,0,,7.3,E,41,11:42,26.9,61,6,ESE,9,1019.6,26.4,54,6,ESE,13,1018.2
,2020-02-23,21.3,26.6,1.0,,0.3,ESE,28,11:09,24.4,72,7,SSE,9,1021.0,23.7,70,7,ESE,9,1018.3
,2020-02-24,20.8,28.2,1.2,,1.7,SE,24,18:17,22.8,84,7,SW,6,1018.4,27.1,65,7,ESE,7,1015.3
,2020-02-25,20.7,29.2,1.2,,4.5,ESE,28,12:58,27.0,66,4,SSE,7,1015.6,26.1,69,7,E,11,1013.2
,2020-02-26,22.0,31.2,0,,7.5,ENE,19,15:39,27.6,67,6,S,4,1011.8,29.9,60,6,ENE,11,1007.3
,2020-02-27,24.4,29.7,0,,4.6,ENE,30,14:10,27.8,72,7,ENE,4,1008.0,23.8,84,8,ENE,9,1007.5
,2020-02-28,21.6,32.0,4.8,,9.8,ENE,20,15:56,27.0,68,3,WSW,4,1008.6,30.9,55,4,ENE,13,1006.2
,2020-02-29,22.7,30.0,0.2,,10.8,SE,30,14:47,27.6,65,6,SE,7,1014.4,28.4,56,3,ESE,11,1011.8
