"Daily Weather Observations for Brisbane, Queensland for April 2020"
"Prepared at 13:01 UTC on Tuesday 18 August 2020   IDCJDW4019.202004"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-04-1,20.2,29.6,0,,10.7,E,28,13:27,26.0,61,2,SSW,6,1018.0,28.4,44,1,ESE,11,1015.0
,2020-04-2,20.0,29.0,0,,9.3,E,20,12:11,25.6,65,2,S,4,1016.6,28.1,57,6,NE,7,1013.2
,2020-04-3,20.6,29.8,0,,10.2,NE,22,14:47,25.2,68,1,WSW,4,1012.9,28.8,56,3,NE,9,1009.5
,2020-04-4,22.6,30.4,0,,5.2,W,24,10:37,26.9,65,3,WNW,6,1010.8,28.7,56,7,WNW,7,1006.8
,2020-04-5,19.6,29.9,2.2,,10.5,ENE,22,16:00,24.1,57,1,SW,4,1015.4,27.4,41,1,ENE,9,1012.3
,2020-04-6,17.2,29.1,,,10.1,E,24,15:48,22.6,55,1,SSW,4,1017.5,26.3,48,1,ENE,11,1014.1
,2020-04-7,18.7,28.9,0,,10.8,SSE,28,20:12,23.9,55,4,SSW,6,1018.4,27.0,42,2,SSE,4,1014.6
,2020-04-8,20.0,26.9,0,,3.2,SE,28,16:43,23.9,62,7,SSW,4,1019.1,24.8,58,7,ESE,13,1017.2
,2020-04-9,20.1,26.7,0,,5.5,SE,31,13:01,23.6,61,6,S,6,1023.5,25.3,53,5,SE,11,1021.2
,2020-04-10,18.9,25.8,0,,5.7,NNE,19,15:59,22.9,74,7,WSW,4,1021.4,25.3,64,6,NE,6,1016.8
,2020-04-11,18.6,31.4,0,,10.3,W,37,14:20,25.1,66,2,NNE,4,1013.3,30.9,28,1,W,15,1007.2
,2020-04-12,15.3,28.1,0,,10.7,E,31,14:10,23.9,36,1,WSW,4,1013.4,24.4,45,1,E,15,1013.8
,2020-04-13,14.8,27.0,0,,9.9,ENE,19,11:42,21.0,55,1,SSW,6,1021.5,25.6,45,2,NE,9,1018.6
,2020-04-14,16.1,27.6,0,,10.5,ENE,24,13:58,21.9,63,1,SW,4,1024.9,26.1,47,1,ENE,11,1021.7
,2020-04-15,16.7,27.4,0,,10.0,E,24,15:41,21.9,68,3,SSW,4,1024.7,26.6,52,1,ENE,13,1020.4
,2020-04-16,16.5,28.5,0,,10.7,NNW,22,19:55,22.7,65,1,SW,6,1020.4,27.3,55,1,NE,7,1015.7
,2020-04-17,16.2,33.6,0,,10.1,W,20,12:40,24.1,63,1,W,4,1015.6,33.1,31,4,NNW,4,1009.7
,2020-04-18,21.0,28.3,0,,0.9,W,33,12:45,25.3,57,7,WNW,4,1012.3,21.8,66,7, ,Calm,1010.6
,2020-04-19,17.0,25.3,0.8,,4.3,SSW,19,06:15,19.9,71,7,SW,2,1013.2,24.9,52,7,NNW,4,1010.5
,2020-04-20,14.1,28.9,0.2,,10.6,NW,24,14:23,20.6,55,1,SW,6,1016.9,28.8,25,7,NNW,6,1013.7
,2020-04-21,15.4,28.8,0,,10.2,ENE,19,14:19,22.6,47,1,SW,4,1019.5,27.4,48,2,NNE,6,1016.3
,2020-04-22,18.4,32.3,0,,10.8,ENE,24,15:35,23.7,63,1,SW,4,1018.9,29.9,37,1,NE,7,1014.7
,2020-04-23,17.2,28.7,0,,10.5,SSE,20,10:35,22.4,65,1,WSW,6,1021.9,26.3,53,2,ENE,7,1017.7
,2020-04-24,16.9,29.4,0,,10.3,NE,20,14:55,23.3,64,3,SW,4,1019.6,27.6,51,5,NE,9,1016.5
,2020-04-25,17.2,28.7,0,,10.6,NE,26,14:05,22.8,68,1,S,4,1022.3,26.7,42,1,E,13,1019.7
,2020-04-26,16.0,28.3,0,,10.5,ENE,19,13:16,22.1,70,1,SSW,6,1020.9,26.9,47,1,NE,7,1016.6
,2020-04-27,16.7,28.5,0,,9.9,ENE,19,15:11,22.8,66,5,SSW,4,1020.6,26.3,49,6,NE,7,1018.4
,2020-04-28,19.1,26.0,0,,5.4,ESE,28,16:27,22.0,75,7,ESE,6,1022.6,24.6,60,7,E,13,1019.6
,2020-04-29,18.0,27.7,1.8,,10.5,NE,22,14:54,22.8,70,2,WSW,2,1020.1,25.7,51,2,ENE,11,1016.6
,2020-04-30,16.8,29.5,0.2,,8.0,W,39,23:56,20.2,77,7,SSW,6,1016.1,26.9,68,1,NE,9,1009.6
