"Daily Weather Observations for Brisbane, Queensland for May 2020"
"Prepared at 13:01 UTC on Monday 17 August 2020   IDCJDW4019.202005"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-05-1,15.1,23.2,0,,10.4,W,39,15:48,17.9,44,1,SW,7,1015.2,21.9,26,1,W,22,1011.5
,2020-05-2,10.4,23.3,0,,10.4,W,44,12:42,16.4,43,1,WSW,17,1015.2,22.9,28,0,W,17,1011.1
,2020-05-3,13.1,25.7,0,,10.2,WSW,37,08:22,18.8,48,1,WSW,17,1015.9,25.6,19,1,SSW,6,1014.2
,2020-05-4,11.6,25.8,0,,9.8,E,22,16:12,18.8,41,4,SSW,9,1023.1,25.4,32,1,S,6,1019.8
,2020-05-5,13.4,24.7,0,,10.3,SE,31,14:32,18.6,55,1,SSW,7,1025.8,23.7,44,2,ESE,9,1023.2
,2020-05-6,15.3,25.1,0,,7.7,ESE,31,13:24,19.9,69,6,SW,6,1027.7,24.0,49,1,ESE,11,1024.3
,2020-05-7,15.3,24.2,0,,4.1,ESE,17,14:06,18.1,76,5, ,Calm,1024.8,23.0,61,7,ENE,7,1021.8
,2020-05-8,14.4,26.3,1.4,,10.0,E,17,14:20,20.4,73,2,SW,4,1023.1,24.7,48,1,NE,7,1019.5
,2020-05-9,14.7,27.1,0,,9.2,ENE,20,14:19,20.5,72,7,SW,4,1020.8,25.4,53,3,NE,7,1016.8
,2020-05-10,16.4,26.0,0,,2.7,W,17,11:33,19.9,75,5,SSW,6,1018.4,25.6,47,7,SW,2,1015.9
,2020-05-11,14.5,24.5,0,,9.8,S,24,13:59,19.3,44,1,SSW,6,1022.8,24.1,31,1,SSW,6,1020.8
,2020-05-12,12.3,23.0,0,,5.3,SSW,19,09:18,17.6,54,7,SSW,7,1025.3,21.9,53,7,E,9,1022.4
,2020-05-13,15.6,24.3,0,,6.8,ENE,17,13:30,19.8,61,4,SSW,4,1024.5,23.0,49,7,ENE,6,1020.6
,2020-05-14,14.9,25.9,0,,6.6,ESE,28,14:39,20.1,65,2,SW,4,1023.2,19.3,68,6,E,11,1020.8
,2020-05-15,13.4,24.4,0.2,,10.0,SSE,24,12:42,18.0,60,1,SSW,7,1025.2,23.9,36,1,S,7,1021.3
,2020-05-16,14.5,24.9,0,,9.1,SE,37,16:54,19.4,62,1,WSW,6,1025.4,23.7,49,3,SSE,9,1022.6
,2020-05-17,15.0,25.1,0,,9.2,E,26,12:33,19.6,65,1,SW,6,1026.3,23.3,53,1,ESE,11,1023.6
,2020-05-18,15.6,24.6,0.4,,8.5,E,31,12:44,21.0,70,3,S,6,1028.2,21.9,54,5,ESE,15,1025.9
,2020-05-19,14.1,24.4,0.2,,8.6,E,28,12:55,20.4,65,3,SSW,4,1027.1,23.7,51,2,ESE,9,1023.4
,2020-05-20,16.0,23.2,0,,0.3,SE,13,15:51,18.1,80,7,SSW,4,1023.1,21.7,70,7,ESE,4,1018.6
,2020-05-21,16.6,21.9,0,,1.2,WNW,19,21:16,19.9,78,7,SW,2,1016.4,19.7,87,8,NNW,2,1012.0
,2020-05-22,13.8,17.9,6.6,,6.3,WSW,31,18:49,14.9,44,5,WNW,17,1014.5,16.5,44,6,W,9,1010.6
,2020-05-23,11.4,15.1,0,,0.1,W,33,18:32,12.9,61,7,W,13,1013.1,14.7,52,7,W,13,1009.7
,2020-05-24,10.4,20.7,0,,10.0,W,31,15:28,14.7,51,1,WSW,9,1011.3,20.0,42,1,W,11,1009.1
,2020-05-25,12.3,24.7,0,,9.9,NW,17,19:19,17.6,56,1,SW,6,1016.2,23.8,34,1,W,7,1013.3
,2020-05-26,10.2,25.1,0,,9.9,WSW,19,09:19,18.5,48,1,SSW,6,1018.7,24.4,27,2,W,6,1015.8
,2020-05-27,11.1,25.0,0,,6.8,NNE,11,16:25,18.2,58,7,SW,4,1020.8,24.4,44,4, ,Calm,1017.4
,2020-05-28,14.4,25.4,0,,4.8,WSW,13,11:37,16.6,76,7,SW,4,1021.1,25.1,47,3, ,Calm,1017.5
,2020-05-29,15.1,24.9,0,,9.0,SE,28,14:03,20.2,71,1,SSW,4,1022.7,23.8,48,2,ESE,9,1020.5
,2020-05-30,13.6,24.8,0,,9.4,ESE,24,10:52,18.7,66,1,SSW,9,1025.4,23.8,45,3,E,11,1022.2
,2020-05-31,14.7,23.9,3.4,,3.8,E,20,01:58,17.9,77,7,SW,4,1023.4,23.4,51,7,NNE,2,1019.4
