"Daily Weather Observations for Brisbane, Queensland for May 2021"
"Prepared at 16:01 UTC on Tuesday  7 December 2021   IDCJDW4019.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,16.7,22.3,6.2,,0.0,ENE,28,13:40,18.2,87,7,WSW,4,1026.8,20.7,83,7,ENE,7,1024.9
,2021-05-2,17.1,23.1,12.0,,3.1,ESE,28,10:50,21.7,78,5,SSW,4,1025.5,22.6,64,7,ESE,7,1022.2
,2021-05-3,16.6,25.5,2.4,,9.6,E,19,16:15,21.0,70,2,SW,6,1021.7,24.3,58,3,E,11,1017.6
,2021-05-4,15.7,26.3,0.2,,9.2,SW,15,09:49,18.4,86,1,SW,6,1017.8,26.1,44,7,WSW,4,1013.2
,2021-05-5,15.7,18.2,17.6,,2.3,WSW,30,08:41,16.5,84,7,SW,11,1013.3,17.3,88,6,WSW,6,1010.2
,2021-05-6,12.5,23.7,18.8,,10.0,WNW,30,16:15,17.8,65,1,W,9,1009.8,23.5,53,3,W,11,1006.8
,2021-05-7,12.9,25.6,0,,8.4,W,26,13:31,21.2,61,5,WSW,6,1011.5,24.2,52,7,WNW,7,1009.2
,2021-05-8,15.9,27.0,0,,8.2,WSW,15,10:33,21.8,66,1,WSW,6,1015.3,24.4,60,7,ENE,6,1013.6
,2021-05-9,16.7,26.6,0,,7.2,NNE,13,16:43,20.1,80,7,S,2,1019.0,26.1,57,3,NE,4,1014.9
,2021-05-10,16.3,28.1,0,,8.5,SSW,11,09:18,19.2,83,7,SW,4,1018.1,27.1,56,2,NNE,6,1014.0
,2021-05-11,15.6,27.8,0,,9.6,W,37,01:28,20.4,75,3,WSW,7,1018.6,26.9,47,1,ENE,4,1015.3
,2021-05-12,17.9,26.1,7.8,,5.4,WSW,44,16:46,21.7,77,4,SSE,2,1018.1,23.3,77,7,E,6,1014.6
,2021-05-13,16.4,24.1,24.8,,10.1,W,33,11:33,20.1,71,1,SW,9,1014.0,23.9,40,1,W,11,1010.8
,2021-05-14,13.8,24.8,0,,10.2,W,20,12:13,18.6,52,0,WSW,9,1014.7,24.4,34,0,SSW,6,1011.8
,2021-05-15,11.2,24.2,0,,10.1,W,30,20:11,17.9,55,1,SW,4,1015.9,23.7,36,1,NW,7,1012.5
,2021-05-16,11.7,22.0,0,,10.1,WSW,19,02:29,15.9,43,0,SSW,6,1019.8,21.1,31,1,E,6,1018.1
,2021-05-17,8.7,22.6,0,,10.2,WNW,26,10:50,15.4,58,0,WSW,4,1022.4,22.3,26,3,SW,9,1019.6
,2021-05-18,11.4,23.3,0,,9.9,ESE,24,12:29,16.5,58,1,SW,9,1026.8,22.1,50,3,ESE,11,1024.5
,2021-05-19,14.5,22.1,0,,3.2,ENE,28,12:03,17.6,69,7,SW,4,1027.7,20.5,66,7,ENE,4,1025.5
,2021-05-20,13.0,24.0,0,,9.9,E,20,15:17,17.8,68,1,SW,7,1027.2,22.4,52,1,ESE,7,1023.9
,2021-05-21,12.2,23.4,0,,9.8,E,30,13:04,17.3,68,1,SSW,7,1026.2,22.3,44,1,SE,11,1022.9
,2021-05-22,14.0,24.0,0,,9.7,SSE,26,14:14,18.6,68,1,SSW,6,1023.4,22.3,52,1,ESE,11,1020.3
,2021-05-23,14.0,24.4,0,,9.3,S,22,10:41,18.5,71,1,SW,6,1024.0,23.3,49,1,SE,7,1021.7
,2021-05-24,13.7,24.0,0,,8.2,SSE,24,15:35,19.0,69,1,SW,6,1027.1,23.2,41,2,SSE,9,1024.2
,2021-05-25,14.1,23.9,0,,8.9,SSE,17,11:58,18.0,70,1,WSW,7,1025.9,22.1,58,3,E,6,1022.1
,2021-05-26,12.5,25.6,0,,9.8,WSW,19,14:08,17.5,77,0,SSW,4,1022.4,25.0,42,1,WNW,6,1017.5
,2021-05-27,13.7,24.3,0,,7.7,ENE,20,16:31,20.7,57,4,S,9,1021.1,24.0,43,2,WNW,6,1018.3
,2021-05-28,11.2,21.7,0,0.0,9.9,SSW,17,13:17,16.2,54,0,WSW,6,1021.9,21.3,39,1,WNW,7,1018.3
,2021-05-29,11.0,21.0,0,,6.7,SSW,26,13:27,14.8,52,7,WSW,9,1024.6,20.0,41,7,S,7,1021.9
,2021-05-30,11.6,21.2,0,,7.4,W,22,10:21,16.9,55,6,SW,7,1023.8,20.5,47,7,SSW,6,1021.7
,2021-05-31,12.1,21.5,0,,7.9,SSW,20,09:49,17.5,61,5,SW,6,1024.4,20.6,55,5,S,6,1021.2
