"Daily Weather Observations for Brisbane, Queensland for July 2021"
"Prepared at 13:01 UTC on Sunday  5 December 2021   IDCJDW4019.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,11.9,20.5,7.0,,2.8,NNE,20,14:25,15.5,84,5,WSW,6,1025.0,18.6,83,7,NNE,2,1021.4
,2021-07-2,15.0,20.9,7.0,,2.7,WNW,33,13:00,17.1,95,7, ,Calm,1020.9,18.6,85,7, ,Calm,1018.0
,2021-07-3,16.4,17.8,17.8,,0.0,E,17,11:43,16.6,98,8,ENE,6,1018.2,17.6,93,8,SW,4,1016.1
,2021-07-4,13.9,23.5,2.8,,8.2,WSW,17,01:10,17.4,75,1,SW,7,1019.5,22.6,49,5,W,7,1017.2
,2021-07-5,10.4,19.8,0,,7.6,W,26,14:35,13.7,56,7,SW,7,1021.0,18.5,33,6,W,9,1017.0
,2021-07-6,10.2,20.9,0,,6.6,SW,17,10:37,12.4,60,7,SW,6,1020.8,20.1,47,5,SSW,2,1018.4
,2021-07-7,8.0,22.0,0,,9.8,SW,17,09:16,12.9,75,1,SW,6,1024.0,21.3,38,1,W,4,1021.4
,2021-07-8,10.7,19.8,0,,3.6,WSW,15,10:20,14.6,65,7,WSW,6,1024.3,19.3,63,7,NE,4,1020.0
,2021-07-9,12.8,22.7,10.0,,3.0,W,26,20:15,15.4,97,8, ,Calm,1015.8,22.3,62,3,WSW,7,1010.4
,2021-07-10,12.4,20.2,1.4,,9.8,W,44,11:47,14.4,58,1,W,17,1016.1,19.6,34,1,W,20,1014.2
,2021-07-11,10.6,22.4,0.2,,9.3,S,28,12:27,16.2,58,1,SW,9,1022.0,21.7,44,1,SSW,7,1019.7
,2021-07-12,10.7,20.7,0,,7.5,E,19,15:44,14.8,67,5,SW,7,1023.6,18.3,60,7,E,7,1020.4
,2021-07-13,10.5,22.9,0,,7.8,N,13,15:41,15.4,72,1,SW,6,1022.6,19.8,60,3,ENE,6,1018.7
,2021-07-14,12.5,22.6,0,,4.9,NNE,31,15:08,15.2,82,7,WSW,2,1021.3,21.0,57,6,NNE,11,1016.1
,2021-07-15,14.4,24.6,0,,4.8,NNE,20,02:56,16.7,82,7, ,Calm,1015.1,23.6,62,4,NE,2,1009.7
,2021-07-16,16.7,26.1,0.2,,4.7,W,46,14:51,23.6,63,6,NW,11,1005.9,20.0,60,7,WSW,24,1004.9
,2021-07-17,14.4,21.1,0.6,,9.9,W,54,13:37,16.8,36,1,W,17,1009.6,20.8,33,1,W,19,1005.9
,2021-07-18,10.1,20.2,0,,9.6,W,30,08:54,14.9,40,1,W,17,1015.8,20.0,32,2,W,9,1014.2
,2021-07-19,8.8,22.3,0,,9.3,WNW,22,13:33,12.8,67,4,WSW,2,1019.7,21.5,38,1,NNW,6,1015.2
,2021-07-20,6.0,19.7,0,,10.2,W,41,12:41,15.8,48,1,W,9,1015.6,19.5,30,1,W,13,1010.5
,2021-07-21,12.5,17.4,0,,9.5,W,48,12:03,13.5,53,1,W,15,1013.6,17.1,36,3,WSW,13,1011.6
,2021-07-22,7.3,20.4,0,,9.8,WSW,20,10:11,12.6,54,1,SW,9,1019.6,19.6,41,1,NE,6,1015.8
,2021-07-23,9.0,20.7,0,,1.7,WSW,17,06:37,14.1,72,7,SSW,4,1016.7,16.6,78,8,N,4,1010.6
,2021-07-24,13.1,22.1,4.2,,9.8,W,44,11:46,19.1,68,1,W,6,1010.0,21.5,38,1,WNW,17,1007.9
,2021-07-25,14.0,21.1,0,,10.1,WNW,59,10:40,17.4,38,1,W,19,1013.1,20.8,28,1,W,20,1011.9
,2021-07-26,7.0,22.1,0,,8.9,W,22,12:42,14.4,44,7,WSW,7,1021.8,21.3,27,7,SW,6,1018.9
,2021-07-27,6.2,23.1,0,,9.6,NNE,20,16:44,13.8,58,1,W,4,1022.9,21.7,52,1,NNE,6,1019.1
,2021-07-28,10.2,24.7,0,,9.4,NNW,30,12:11,15.4,73,1,SSW,2,1019.6,24.1,48,1,NNE,6,1013.5
,2021-07-29,14.9,25.7,0,,8.4,WSW,37,14:56,20.7,67,4,ENE,2,1013.0,24.8,30,1,W,19,1011.3
,2021-07-30,9.1,21.9,0,,10.2,NE,19,15:22,14.7,52,1,SW,6,1022.2,20.8,41,2,NE,9,1019.6
,2021-07-31,9.0,22.4,0,,9.9,ENE,20,13:23,14.9,69,1,SW,2,1022.1,21.2,53,1,NNE,7,1017.1
