"Daily Weather Observations for Brisbane, Queensland for October 2021"
"Prepared at 16:01 UTC on Thursday  2 December 2021   IDCJDW4019.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,15.6,27.7,15.0,,4.1,W,30,18:30,19.0,80,7,W,9,1012.2,25.7,52,2,NE,9,1005.0
,2021-10-2,12.6,28.9,8.8,,11.2,WNW,35,12:08,19.2,70,0,WSW,4,1008.5,28.5,26,3,W,17,1003.0
,2021-10-3,14.0,30.9,0,,11.6,WSW,26,12:05,24.5,44,3,N,2,1008.5,28.0,31,1,NE,13,1003.6
,2021-10-4,15.3,36.6,0,,10.8,W,30,15:01,24.1,64,1,NE,2,1005.4,36.0,15,1,W,15,1000.5
,2021-10-5,15.8,31.0,0,,,WNW,33,15:23,25.3,21,0,WSW,6,1012.0,30.3,12,0,WSW,15,1008.1
,2021-10-6,14.6,27.1,0,,,ENE,22,13:27,23.0,29,0,S,6,1016.8,24.6,36,0,ENE,11,1013.5
,2021-10-7,14.2,26.4,0,,8.6,E,26,11:39,23.2,55,1,N,4,1016.9,24.2,55,7,NNE,9,1013.0
,2021-10-8,16.8,29.1,0.6,,11.3,ENE,30,13:10,25.0,44,1,SSW,7,1017.3,26.2,52,1,E,11,1015.4
,2021-10-9,17.9,27.7,0,,,ENE,26,14:16,24.2,64,3,NNE,4,1019.9,26.0,50,1,NNE,11,1016.0
,2021-10-10,19.8,28.1,0,,,NE,31,17:31,25.2,52,1,N,2,1017.6,25.8,54,1,NNE,15,1011.5
,2021-10-11,18.9,28.3,0,,7.1,ENE,24,12:52,24.1,56,7,NNE,6,1012.3,25.6,57,7,NE,9,1008.1
,2021-10-12,16.1,22.4,35.2,,0.7,S,28,15:37,18.2,86,8,SW,2,1011.3,21.6,72,7,S,9,1008.5
,2021-10-13,16.8,24.9,0.6,,7.8,SE,31,11:49,20.0,84,7,ESE,9,1013.4,22.8,67,3,ENE,13,1011.0
,2021-10-14,17.1,26.2,51.4,,,N,26,23:36,18.3,94,8,NE,7,1013.8,23.9,57,7,ENE,11,1010.1
,2021-10-15,18.1,30.1,0.8,,,WSW,31,09:57,26.2,71,5,NNE,4,1008.2,26.8,55,1,NNE,13,1004.3
,2021-10-16,12.1,27.7,0.2,,12.8,WSW,48,09:31,23.0,34,1,WSW,13,1010.4,27.4,19,1,W,17,1007.0
,2021-10-17,12.5,27.6,0,,12.1,E,24,13:00,22.4,32,0,WNW,6,1016.3,26.1,30,1,ENE,9,1011.9
,2021-10-18,17.0,26.1,0,,,ENE,31,13:19,24.1,62,7,NE,4,1017.8,23.1,74,8,NNE,9,1014.3
,2021-10-19,14.9,28.4,18.0,,,W,19,08:44,19.9,73,2,SW,7,1017.2,26.7,42,2,NE,7,1012.4
,2021-10-20,16.0,27.3,0,,11.5,ENE,33,13:22,24.5,60,1,SE,6,1015.4,23.8,67,7,NE,11,1011.9
,2021-10-21,16.6,26.7,2.4,,8.5,ENE,33,13:30,23.7,68,7,N,2,1014.8,22.4,61,7,ENE,13,1012.0
,2021-10-22,18.4,26.9,9.2,,6.4,NE,30,15:27,21.6,88,7,NNE,6,1016.2,25.9,64,2,NNE,7,1013.8
,2021-10-23,20.8,29.8,0.2,,7.3,NNE,30,15:47,25.6,68,7,NW,2,1017.4,27.3,67,1,NE,11,1012.6
,2021-10-24,20.5,33.3,2.6,,11.2,W,35,10:15,29.7,35,3,W,13,1013.4,33.1,25,7,W,13,1011.2
,2021-10-25,20.1,27.5,0.2,,7.0,NE,31,13:49,25.9,62,5,NE,6,1016.6,25.6,64,7,NNE,7,1013.2
,2021-10-26,20.4,27.1,1.4,,6.3,E,31,16:34,24.9,59,7,ENE,2,1018.2,25.0,59,5,E,13,1015.1
,2021-10-27,20.2,28.3,0,,10.5,NNE,28,19:39,25.7,64,5,NE,4,1018.9,27.0,55,1,NNE,9,1015.0
,2021-10-28,22.9,30.1,0,,10.5,NE,30,14:21,26.5,63,3,NNW,4,1015.6,28.2,62,1,NNE,15,1010.0
,2021-10-29,22.1,29.5,0.4,,,WSW,33,14:00,25.6,66,7,SSW,4,1013.2,25.1,55,8,WSW,15,1013.2
,2021-10-30,20.1,33.0,0.4,,,ENE,26,15:12,27.3,55,6,W,9,1014.4,31.0,47,7,NE,9,1010.8
,2021-10-31,19.4,23.6,12.0,,8.4,SE,39,09:18,23.5,60,7,SE,15,1020.7,22.7,52,7,ESE,15,1021.4
