"Daily Weather Observations for Brisbane, Queensland for November 2021"
"Prepared at 13:01 UTC on Tuesday  7 December 2021   IDCJDW4019.202111"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-11-1,16.0,24.1,0,,4.7,E,28,13:48,21.4,55,7,E,7,1026.2,22.7,47,7,E,9,1023.7
,2021-11-2,17.6,25.4,0,,2.4,ENE,28,13:17,22.5,58,7,E,9,1025.6,23.0,54,7,ENE,11,1023.3
,2021-11-3,17.2,24.3,0.2,,9.0,E,35,11:36,23.8,55,3,ESE,7,1025.6,23.3,54,7,ENE,15,1022.3
,2021-11-4,14.6,25.3,0,,7.9,NE,26,12:26,23.7,48,5,ENE,9,1022.1,24.1,55,6,ENE,9,1018.9
,2021-11-5,17.4,25.3,0,,2.4,E,24,14:46,22.6,57,7,E,6,1020.3,23.0,63,7,ENE,13,1016.8
,2021-11-6,17.7,25.3,1.2,,9.5,E,24,14:07,21.6,70,7,ESE,6,1016.9,24.2,61,7,ENE,11,1013.1
,2021-11-7,20.3,27.2,0,,6.5,NE,31,16:11,25.2,60,7,NNW,7,1013.5,25.8,62,7,NNE,13,1009.2
,2021-11-8,20.8,28.4,12.6,,5.3,NNE,26,08:25,22.1,79,8,N,6,1009.4,25.6,81,8,WNW,4,1006.3
,2021-11-9,21.9,29.1,2.4,,6.5,E,26,15:59,25.5,63,8,E,6,1012.2,27.5,61,5,ENE,15,1009.6
,2021-11-10,22.9,29.5,0,,7.5,NE,30,16:25,25.6,79,7,ENE,9,1011.9,26.8,76,6,NNE,9,1007.4
,2021-11-11,23.4,31.4,2.4,,3.6,WSW,30,15:03,28.9,63,7,N,7,1007.1,25.7,85,8,W,7,1005.1
,2021-11-12,22.9,29.5,26.6,,1.7,W,33,23:16,24.6,88,8,NNW,2,1003.2,28.8,64,7,NNE,9,999.3
,2021-11-13,17.2,27.4,0.2,,13.0,W,46,11:05,21.7,38,1,WSW,20,1008.3,26.8,26,2,WNW,19,1005.7
,2021-11-14,12.1,28.3,0,,13.0,,,,23.7,29,1,WSW,7,1013.2,27.8,22,1,WNW,15,1008.9
,2021-11-15,12.8,30.5,0,,13.2,,,,25.7,30,0,,,1013.2,30.3,19,0,W,13,1009.1
,2021-11-16,16.3,29.4,0,,11.3,E,22,17:37,25.4,30,5,SSW,2,1015.7,28.4,24,6,ENE,11,1013.0
,2021-11-17,19.7,26.2,0,,,E,35,17:20,24.7,59,5,E,15,1021.3,24.4,54,6,E,15,1018.9
,2021-11-18,19.4,25.9,0.6,,,ENE,26,13:33,22.4,63,7,ENE,4,1022.4,24.1,55,6,ENE,13,1018.0
,2021-11-19,16.5,27.8,0,,12.6,ENE,22,12:21,24.1,54,2,NNW,6,1018.7,27.2,52,6,N,7,1015.1
,2021-11-20,18.4,30.1,0,,11.0,NNE,26,16:27,26.5,54,1,ENE,4,1015.5,28.3,55,4,NNE,9,1012.0
,2021-11-21,22.0,27.5,0,,,NNE,17,18:36,26.0,56,7,NE,6,1013.3,26.9,56,7,NE,7,1011.5
,2021-11-22,19.3,25.9,23.6,,4.6,E,26,16:10,21.8,94,7,NNW,2,1014.3,24.8,65,7,E,11,1012.4
,2021-11-23,19.4,26.8,13.2,,,ESE,30,14:05,24.3,72,7,ESE,11,1016.2,23.1,85,7,E,11,1014.2
,2021-11-24,20.2,27.5,121.0,,5.0,ENE,33,10:40,22.9,93,7,ESE,4,1015.9,26.1,71,7,ENE,9,1013.0
,2021-11-25,21.4,26.1,13.2,,0.0,NNE,19,12:27,24.2,87,8,ENE,4,1013.3,23.6,90,8,NNW,6,1010.7
,2021-11-26,22.8,28.6,9.8,,5.3,NE,31,14:19,25.1,87,7,NNW,4,1008.7,26.7,74,7,NNE,11,1005.2
,2021-11-27,21.9,27.7,0.2,,,SE,24,20:03,26.0,72,7,SE,4,1010.9,25.0,69,8,E,9,1010.5
,2021-11-28,20.8,28.1,0,,5.8,SE,30,09:55,25.0,62,7,SE,11,1016.7,26.2,59,6,SE,9,1015.1
,2021-11-29,21.0,27.0,0,,1.3,ESE,31,16:51,25.0,63,8,SE,11,1017.9,25.6,62,8,E,11,1015.6
,2021-11-30,20.5,23.0,30.2,,0.0,ESE,22,11:15,21.4,94,8,ESE,2,1015.6,22.9,91,8,SE,6,1012.0
