"Daily Weather Observations for Brisbane, Queensland for February 2022"
"Prepared at 13:01 UTC on Saturday 10 December 2022   IDCJDW4019.202202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-02-1,24.8,34.7,0,,10.9,ESE,30,15:56,29.4,62,5,WNW,4,1005.3,32.5,60,7,NNE,7,1001.2
,2022-02-2,25.3,35.5,0,,3.6,WNW,35,15:05,31.6,65,7,SSW,2,1003.4,28.4,81,8,NNW,4,1001.9
,2022-02-3,24.1,30.7,27.2,,2.3,S,24,15:53,28.8,70,8,SSW,6,1000.3,24.7,89,8,SE,7,998.6
,2022-02-4,19.7,28.4,20.6,,10.7,SE,43,16:01,25.7,60,2,SSW,9,1005.9,26.3,53,5,SE,15,1006.6
,2022-02-5,18.3,27.4,0,,9.3,SE,35,11:24,24.7,53,2,S,11,1011.3,26.2,45,7,SE,15,1009.7
,2022-02-6,19.2,26.9,0,,7.5,SE,44,10:08,24.6,53,7,SSE,15,1014.7,24.4,52,5,SE,20,1014.7
,2022-02-7,19.1,29.2,0.8,,8.9,E,33,16:03,24.6,55,6,S,9,1016.6,27.7,45,1,SE,13,1013.1
,2022-02-8,18.0,28.3,0,,12.5,ENE,24,15:17,24.3,56,1,WSW,9,1014.8,27.5,46,2,SE,11,1011.3
,2022-02-9,18.6,30.0,0,,12.3,ENE,26,15:31,25.3,56,1,WSW,6,1013.7,28.4,47,1,ENE,13,1010.3
,2022-02-10,19.4,31.2,0,,12.6,ENE,30,16:36,25.8,57,1,SE,7,1013.2,30.0,36,1,NW,6,1009.5
,2022-02-11,19.1,31.3,0,,12.2,SE,33,11:00,27.2,53,3,SSE,11,1011.3,28.8,55,2,E,15,1008.2
,2022-02-12,20.4,28.9,0,,7.0,S,35,13:33,26.9,53,2,SSE,11,1011.9,25.0,57,6,SE,11,1012.3
,2022-02-13,18.6,29.3,7.2,,10.4,SE,33,12:35,24.9,57,1,SE,11,1018.3,27.5,47,2,ESE,17,1017.1
,2022-02-14,19.2,27.9,0.6,,4.4,E,31,13:52,25.5,65,6,SSE,9,1022.1,22.0,88,7,S,6,1021.5
,2022-02-15,19.3,27.1,5.6,,2.1,E,30,13:30,25.0,72,8,S,7,1022.0,25.3,61,7,E,11,1019.8
,2022-02-16,20.4,28.7,0.2,,9.8,E,26,10:05,24.9,66,2,SE,9,1018.4,28.0,47,1,SE,13,1014.8
,2022-02-17,19.1,29.8,0,,12.2,ENE,22,15:08,25.3,63,4,W,6,1014.2,28.8,49,1,ENE,11,1010.6
,2022-02-18,20.3,31.9,0,,11.0,WNW,30,17:34,26.4,64,1,NW,6,1011.8,31.1,51,2,NNE,7,1008.5
,2022-02-19,20.2,31.0,19.2,,9.7,SSE,35,18:19,26.6,71,2,SSW,6,1014.8,27.6,63,7,E,13,1012.8
,2022-02-20,21.1,27.6,10.4,,5.2,ESE,20,12:10,26.8,68,7,SE,6,1013.3,27.1,62,7,ENE,7,1010.4
,2022-02-21,20.6,30.1,0.2,,10.4,ENE,26,14:43,26.4,65,5,N,2,1010.9,27.4,66,6,NE,9,1008.8
,2022-02-22,21.2,30.3,2.2,,5.5,E,33,13:49,27.2,68,4,E,9,1013.3,26.3,73,8,E,9,1011.6
,2022-02-23,21.1,28.7,38.6,,4.7,ENE,33,02:59,23.0,92,7,ESE,6,1014.4,28.0,66,6,SE,9,1012.0
,2022-02-24,22.7,28.1,13.4,,2.8,ENE,41,11:59,24.9,85,7,ENE,11,1012.1,26.7,69,8,E,19,1009.7
,2022-02-25,22.6,24.2,64.0,,0.0,E,35,01:34,23.2,93,8,E,15,1009.3,23.3,94,8,ESE,4,1006.4
,2022-02-26,21.4,23.9,225.6,,0.0,E,31,14:46,22.3,94,8,SE,6,1008.5,22.6,93,8,E,15,1006.3
,2022-02-27,20.1,23.6,228.4,,0.0,S,46,21:48,20.5,96,8,S,7,1007.0,21.1,96,8,SSW,9,1004.5
,2022-02-28,19.7,29.9,222.8,,2.9,SSW,26,00:59,23.4,77,7,W,9,1005.4,27.6,68,7,E,6,1002.6
