"Daily Weather Observations for Brisbane, Queensland for March 2022"
"Prepared at 13:01 UTC on Friday  9 December 2022   IDCJDW4019.202203"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-03-1,21.0,30.4,5.6,,10.2,ESE,31,14:31,26.0,70,4,SW,7,1005.9,28.5,61,3,ESE,13,1003.5
,2022-03-2,21.4,31.4,0.2,,10.4,ENE,22,18:31,26.8,67,3,W,6,1006.3,29.2,63,1,ENE,11,1002.7
,2022-03-3,19.5,27.7,56.0,,3.8,W,39,07:03,20.0,93,8,SE,7,1007.4,26.8,64,3,NNE,7,1003.8
,2022-03-4,19.9,27.5,0.6,,3.3,SSE,22,14:34,24.9,79,7,WSW,4,1007.0,26.7,67,7,SE,9,1005.5
,2022-03-5,20.4,31.6,0,,11.1,NE,17,17:41,26.3,65,1,WSW,6,1007.5,28.8,58,5,NE,7,1003.9
,2022-03-6,22.3,32.2,0,,6.7,S,39,17:28,28.6,68,2,ENE,4,1005.5,27.3,87,8,N,7,1002.5
,2022-03-7,19.6,30.6,23.4,,9.6,ENE,20,13:17,23.6,67,7,SW,7,1005.6,28.0,60,3,NE,7,1002.5
,2022-03-8,21.9,34.4,0.2,,10.6,W,20,12:01,27.7,66,1,S,6,1005.8,34.0,46,2,WNW,7,1003.1
,2022-03-9,23.3,34.7,0.6,,7.6,ESE,30,21:17,25.4,80,7, ,Calm,1009.6,34.3,40,4,NW,6,1007.2
,2022-03-10,23.3,27.2,0.2,,0.9,E,24,13:25,24.9,68,8,SE,6,1015.1,24.9,76,7,E,11,1013.0
,2022-03-11,21.6,26.6,0,,1.6,ESE,26,13:14,24.5,70,7,SSE,11,1017.0,24.9,66,7,ESE,13,1015.5
,2022-03-12,19.4,27.5,0,,4.9,E,33,15:14,25.6,60,6,S,7,1020.3,26.4,51,6,ESE,9,1018.3
,2022-03-13,18.4,28.7,0,,10.2,E,28,15:19,25.1,60,2,S,6,1021.2,26.8,53,3,E,15,1018.4
,2022-03-14,18.6,28.7,0,,10.9,SSE,24,16:36,25.3,59,2,S,7,1019.4,26.7,53,6,E,9,1015.3
,2022-03-15,19.3,27.6,0,,6.5,ESE,35,13:17,24.0,65,6,SW,7,1017.9,26.2,59,7,SE,9,1015.3
,2022-03-16,19.3,29.3,0,,8.3,E,28,15:33,24.2,67,7,SSW,6,1017.6,28.3,54,7,ESE,7,1013.7
,2022-03-17,19.5,30.5,0,,11.2,E,30,16:03,25.3,65,2,WSW,6,1016.7,29.1,52,2,ESE,9,1012.2
,2022-03-18,20.3,29.1,0.2,,9.7,ENE,31,14:05,25.7,64,4,SSE,7,1014.8,27.7,53,3,E,15,1012.1
,2022-03-19,19.4,29.2,0,,10.2,ESE,31,14:14,25.4,57,2,S,7,1014.7,28.1,46,2,ESE,13,1012.4
,2022-03-20,19.8,28.7,0,,10.4,E,20,16:49,25.3,58,1,S,6,1015.5,27.2,52,2,ENE,9,1012.7
,2022-03-21,18.2,29.8,0,,11.0,ENE,22,16:39,23.9,63,1,SW,7,1015.3,28.4,44,2,NE,7,1011.9
,2022-03-22,18.5,29.8,0,,10.9,ENE,19,15:07,24.6,61,1,SW,7,1014.4,27.8,49,1,ENE,11,1010.7
,2022-03-23,18.8,30.9,0,,10.9,NE,22,17:00,24.5,66,1,W,4,1012.4,29.6,54,1,NNE,9,1008.6
,2022-03-24,20.6,30.6,0,,9.6,ENE,20,12:55,26.7,69,1,SSE,4,1014.6,29.9,44,1,NE,7,1011.2
,2022-03-25,20.8,30.4,0,,9.1,S,37,17:32,26.1,64,5,WSW,6,1016.0,29.6,48,1,NE,6,1012.3
,2022-03-26,19.5,27.6,56.2,,3.8,NE,17,14:21,24.3,71,7,SW,7,1016.6,24.9,72,7,NE,6,1013.3
,2022-03-27,19.6,28.5,6.2,,5.2,E,26,14:27,23.9,74,3,SW,6,1015.5,26.2,60,7,ENE,11,1012.0
,2022-03-28,20.6,21.9,44.6,,0.0,S,57,21:56,21.3,95,8,E,4,1012.1,20.4,90,8,E,7,1009.3
,2022-03-29,19.1,25.4,63.8,,1.7,S,22,00:08,20.1,94,8,SW,6,1004.6,24.4,77,7,SW,6,1001.2
,2022-03-30,20.1,27.5,13.8,,2.4,WNW,43,12:32,22.4,78,7,W,11,1000.0,26.8,60,7,WSW,15,997.8
,2022-03-31,20.9,28.9,0,,4.6,SSE,31,15:41,26.5,58,1,SW,7,1005.6,27.4,53,7,S,13,1005.4
