"Daily Weather Observations for Brisbane, Queensland for June 2022"
"Prepared at 13:01 UTC on Tuesday  6 December 2022   IDCJDW4019.202206"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-06-1,14.6,20.0,0,,9.1,WNW,43,13:11,16.9,49,1,W,13,1012.7,19.8,36,2,W,15,1011.2
,2022-06-2,10.4,20.3,0,,9.8,W,26,01:16,14.3,49,7,WSW,6,1020.9,19.7,30,1,NNW,2,1018.5
,2022-06-3,9.6,22.3,0,,6.3,NNW,19,13:43,15.2,64,1,SW,4,1020.7,20.8,60,7,NNE,6,1015.5
,2022-06-4,15.2,21.0,6.8,,9.3,W,39,11:26,18.9,66,3,W,15,1014.9,20.3,51,1,W,15,1013.2
,2022-06-5,9.6,20.8,0.2,,9.1,NNE,19,16:14,14.3,64,1,SW,6,1018.5,19.9,49,1,NE,7,1014.9
,2022-06-6,14.3,21.7,2.2,,2.5,W,33,14:28,17.1,59,7,WNW,11,1013.4,20.3,44,7,W,9,1011.8
,2022-06-7,9.2,16.9,0.2,,1.4,W,22,20:25,14.4,56,7,WSW,7,1017.2,15.9,49,7,W,11,1014.4
,2022-06-8,8.2,20.1,0,,9.9,W,24,18:23,14.7,50,1,WSW,6,1017.4,19.2,36,1,W,9,1014.5
,2022-06-9,7.9,17.6,0,,10.0,W,33,13:23,12.6,51,0,WSW,7,1018.4,17.3,36,0,W,13,1014.8
,2022-06-10,7.8,17.3,0,,9.9,WSW,30,12:36,11.4,54,0,W,15,1019.2,17.2,41,0,W,11,1014.7
,2022-06-11,7.5,18.8,0,,9.9,W,30,15:15,13.3,55,1,SW,7,1018.5,18.3,40,1,WNW,13,1014.3
,2022-06-12,10.6,19.4,0,,7.6,W,28,14:02,12.8,50,7,W,15,1016.9,19.3,33,5,W,9,1013.2
,2022-06-13,9.8,21.7,0,,6.9,WSW,20,01:12,13.5,57,6,SW,7,1020.5,21.2,49,1,NNE,2,1019.0
,2022-06-14,11.7,22.8,0,,8.4,ESE,13,12:43,16.3,70,5,SW,6,1024.3,20.0,65,1,SE,7,1021.7
,2022-06-15,12.2,23.5,0,,8.3,SW,13,09:15,16.9,85,1,WSW,7,1024.1,21.3,62,3,E,2,1020.0
,2022-06-16,12.0,23.7,0,,9.5,SW,19,12:56,13.3,93,1,SW,6,1021.1,23.5,46,1,SW,6,1016.7
,2022-06-17,9.8,23.4,0,,9.9,SW,20,10:08,15.3,63,1,SW,4,1019.9,22.7,27,1,W,4,1016.9
,2022-06-18,9.6,21.9,0,,7.5,S,20,12:47,15.0,66,2,SW,6,1022.1,20.8,46,7,ESE,7,1020.1
,2022-06-19,10.3,23.3,0,,7.7,SW,20,09:59,15.4,70,1,SW,6,1022.5,22.4,50,4,SE,7,1020.6
,2022-06-20,13.5,23.2,0,,6.8,SSW,20,09:54,16.2,73,7,SW,7,1021.4,22.2,50,6,SW,6,1018.8
,2022-06-21,10.3,22.8,0,,9.4,S,17,10:11,14.9,76,1,SW,7,1023.4,21.7,43,6,WSW,6,1020.3
,2022-06-22,9.9,23.8,0.2,,9.7,WSW,15,12:21,14.2,76,1,WSW,6,1024.4,23.1,39,1,SW,6,1021.5
,2022-06-23,10.6,23.3,0,,9.7,SW,17,05:54,15.2,75,1,SW,6,1026.0,22.4,38,1, ,Calm,1021.7
,2022-06-24,9.8,22.8,0,,9.7,W,22,13:19,12.1,91,0,SW,2,1023.1,22.0,30,1,W,11,1019.6
,2022-06-25,7.7,22.7,0,,10.0,WSW,15,09:58,12.4,70,0,SW,6,1023.2,22.2,29,1,NW,4,1021.2
,2022-06-26,8.2,22.7,0,,10.0,SW,13,05:06,12.4,72,7,SW,6,1026.3,21.3,39,2,ESE,2,1022.8
,2022-06-27,9.2,22.3,0,,8.9,WSW,26,12:45,15.4,68,5,S,2,1023.8,21.6,36,2,SW,9,1020.1
,2022-06-28,10.5,20.1,0,,9.1,SSE,22,12:29,15.1,55,1,SW,7,1025.8,18.7,49,2,SSE,9,1023.8
,2022-06-29,12.1,18.9,0,,1.8,ESE,19,14:03,14.1,75,7,SW,7,1025.6,16.5,82,7,W,6,1023.4
,2022-06-30,13.2,21.3,0.8,,2.8,WSW,15,10:33,15.9,74,7,SW,4,1024.1,20.1,65,7,E,6,1021.1
