"Daily Weather Observations for Brisbane, Queensland for July 2022"
"Prepared at 13:01 UTC on Monday  5 December 2022   IDCJDW4019.202207"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-07-1,14.4,15.7,2.6,,0.0,SSW,13,11:18,14.5,91,8,SW,6,1023.7,15.2,93,8,SSW,6,1020.3
,2022-07-2,14.3,17.1,23.2,,0.0,WSW,15,15:02,15.6,98,8,SSW,2,1019.2,16.5,91,8,WSW,7,1016.3
,2022-07-3,12.3,18.4,2.0,,5.2,SSW,24,12:18,14.2,73,6,WSW,7,1016.3,16.2,64,5,WSW,6,1013.1
,2022-07-4,11.5,14.2,0.2,,0.0,W,20,14:06,12.8,65,8,SW,6,1015.7,13.4,65,8,W,11,1014.9
,2022-07-5,10.3,14.0,12.8,,0.0,SW,19,06:10,11.2,94,8,WSW,4,1015.7,11.9,93,8,W,6,1013.1
,2022-07-6,11.1,19.2,8.2,,3.2,W,30,16:24,13.9,96,8,SW,6,1012.3,17.7,74,7,W,9,1009.7
,2022-07-7,12.1,21.1,0,,9.9,WNW,35,10:37,18.2,69,1,W,15,1009.8,20.4,59,1,W,15,1008.6
,2022-07-8,11.6,18.7,0,,10.0,W,41,14:28,14.8,48,0,W,7,1014.2,18.1,40,0,W,15,1011.8
,2022-07-9,8.3,19.6,0,,10.0,SSW,19,11:32,12.7,55,1,SW,7,1018.2,19.2,38,1,W,4,1015.4
,2022-07-10,7.3,20.0,0,,7.6,W,19,09:26,12.1,67,1,SW,7,1019.8,18.8,50,7,E,7,1017.3
,2022-07-11,7.0,20.1,0,,7.1,WSW,19,11:42,13.0,66,1,SW,9,1021.4,19.0,57,7,SSW,6,1018.3
,2022-07-12,8.9,19.1,0,,4.7,,,,12.6,83,7,SSW,7,1018.8,15.9,78,8,WNW,6,1014.6
,2022-07-13,8.4,18.8,,,9.4,W,43,13:43,13.8,69,0,WSW,6,1013.3,18.4,35,1,W,15,1009.7
,2022-07-14,8.7,20.0,0,,10.0,WSW,30,11:30,13.1,56,1,WSW,7,1015.5,19.4,35,1,S,11,1015.9
,2022-07-15,9.5,21.6,0,,9.7,WSW,19,10:11,15.2,57,0,SW,6,1025.5,21.0,38,3,W,7,1024.1
,2022-07-16,7.9,21.6,0,,9.8,SSW,17,09:40,12.5,78,1,SW,6,1028.7,20.6,45,1,NE,4,1024.9
,2022-07-17,9.5,23.1,0,,8.1,NW,19,13:03,13.9,71,1,S,4,1026.5,22.3,43,4,NNW,7,1021.3
,2022-07-18,10.9,24.3,0,,9.7,W,24,12:58,18.5,67,1,ESE,2,1019.7,22.6,41,3,W,6,1016.2
,2022-07-19,9.7,21.5,0,,7.9,SE,31,14:45,15.2,53,4,SW,6,1022.1,18.9,59,7,SE,15,1020.8
,2022-07-20,12.1,19.2,0,,2.5,SE,33,10:23,15.7,71,7,SW,6,1025.0,16.0,78,8,SE,9,1025.0
,2022-07-21,12.0,18.1,1.8,,0.0,ESE,33,10:47,14.2,91,8, ,Calm,1025.0,18.0,71,8,ESE,9,1020.4
,2022-07-22,13.9,18.6,15.4,,0.0,SSE,33,14:56,15.7,90,8,SE,11,1019.3,17.1,79,8,SE,13,1016.1
,2022-07-23,14.3,21.6,4.4,,7.7,S,28,11:59,18.4,69,7,SSW,7,1018.5,20.9,56,7,S,9,1016.5
,2022-07-24,11.5,23.0,0,,9.5,SW,20,10:24,16.2,70,1,SSW,7,1020.7,21.6,51,3,WSW,4,1017.5
,2022-07-25,10.1,22.3,0,,9.5,WSW,15,10:22,15.6,72,1,SW,6,1021.3,22.0,46,1,NNW,4,1017.4
,2022-07-26,10.3,23.5,0,,9.5,W,43,22:04,13.3,85,2,SSW,4,1017.9,23.1,58,1,ENE,7,1012.1
,2022-07-27,9.4,19.6,0,,10.0,W,35,12:31,14.0,43,0,W,13,1018.9,19.4,28,0,W,15,1015.7
,2022-07-28,8.4,21.5,0,,10.3,WSW,17,09:44,14.0,55,5,SW,6,1023.9,21.4,34,1,WSW,4,1020.8
,2022-07-29,8.1,21.8,0,3.6,10.2,NW,20,13:36,13.5,66,1,SW,6,1023.3,21.6,34,1,WNW,9,1019.5
,2022-07-30,10.2,20.6,0,2.8,9.9,E,24,13:15,15.0,59,1,SSW,6,1026.8,19.2,47,1,ESE,11,1024.7
,2022-07-31,10.9,20.1,0,4.4,2.0,ENE,31,13:51,13.8,81,6,SW,6,1026.8,19.1,51,7,ENE,9,1022.8
