"Daily Weather Observations for Brisbane, Queensland for September 2022"
"Prepared at 13:01 UTC on Saturday  3 December 2022   IDCJDW4019.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,13.3,22.8,0,3.2,7.2,ENE,19,12:50,18.2,74,7,SW,4,1023.6,21.7,64,7,ENE,9,1020.7
,2022-09-2,14.1,20.3,0,3.6,0.7,SE,26,23:16,17.6,83,8,WSW,4,1022.9,20.2,80,8,SSW,4,1018.0
,2022-09-3,14.6,19.4,9.4,1.2,1.0,S,31,14:36,15.3,94,8,SW,6,1014.0,18.2,67,7,S,11,1011.0
,2022-09-4,14.4,21.9,3.2,5.4,6.2,SW,33,09:51,18.9,54,6,SSW,13,1015.4,20.7,49,6,SSW,9,1014.9
,2022-09-5,11.3,21.2,0,5.2,6.5,,,,17.4,56,6,S,6,1021.3,18.8,55,7,ESE,7,1019.1
,2022-09-6,11.7,21.7,,4.0,5.2,E,24,14:55,17.5,64,7,SSW,6,1023.3,19.3,57,7,E,13,1020.7
,2022-09-7,11.0,21.0,0,4.0,7.0,,,,18.2,64,2,SSE,4,1024.6,19.0,58,7,ENE,9,1021.2
,2022-09-8,10.0,21.5,0.2,4.0,6.7,NE,20,14:23,16.8,77,7,SSW,4,1024.3,20.6,57,7,NE,9,1018.7
,2022-09-9,14.4,23.7,9.0,3.6,4.0,NW,26,14:19,15.6,95,8,SW,6,1018.9,22.3,60,3,NNW,7,1013.3
,2022-09-10,11.4,25.5,3.8,2.8,9.9,WNW,33,14:34,21.6,57,2,WSW,2,1015.1,25.3,36,5,W,11,1011.1
,2022-09-11,12.9,25.4,0,7.8,9.3,WSW,19,13:01,19.5,47,6,W,7,1016.9,25.0,32,1,WNW,7,1013.6
,2022-09-12,16.4,23.2,0,4.4,2.9,W,22,20:54,19.0,49,8,WNW,4,1018.9,22.3,36,7,W,4,1015.5
,2022-09-13,13.9,25.0,0,4.2,10.8,E,24,17:28,19.3,47,0,SW,9,1023.1,22.8,48,1,E,11,1020.7
,2022-09-14,13.8,23.5,0,5.8,10.7,E,22,13:03,19.5,55,3,SSW,6,1026.4,21.4,48,2,E,11,1022.6
,2022-09-15,14.3,22.2,0,,3.3,N,28,15:06,20.8,58,6,NE,6,1021.5,20.4,63,8,NNE,11,1016.5
,2022-09-16,16.3,22.7,4.2,5.8,2.9,NNE,20,04:18,18.1,83,7,WNW,2,1014.1,22.0,67,7,E,6,1010.1
,2022-09-17,15.2,29.6,0,2.4,7.7,WNW,31,14:54,20.3,79,7,ENE,2,1012.8,29.0,26,7,W,15,1007.7
,2022-09-18,11.0,27.3,0,5.4,11.0,WNW,30,12:39,22.1,40,7,W,2,1017.3,26.9,25,2,WNW,9,1013.1
,2022-09-19,11.9,28.8,0,6.2,10.3,ENE,20,14:27,21.9,45,0,WSW,2,1018.8,26.9,28,1,ENE,9,1014.0
,2022-09-20,13.0,27.7,0,5.8,11.0,E,31,16:41,21.3,49,0,SW,6,1020.7,25.8,37,1,ENE,9,1017.0
,2022-09-21,16.2,23.4,0,7.4,1.3,E,26,12:48,21.4,71,7,ESE,6,1021.1,19.9,79,8,ENE,9,1018.6
,2022-09-22,17.4,20.9,22.4,4.6,0.4,SW,24,23:17,17.8,94,8, ,Calm,1015.6,20.1,81,8,ENE,7,1012.2
,2022-09-23,15.8,25.8,31.6,2.6,6.8,WSW,22,12:43,19.0,81,6,SW,9,1012.6,24.4,55,7,WNW,9,1008.8
,2022-09-24,15.6,27.9,0,3.2,11.0,WSW,30,13:36,22.2,61,1,W,7,1012.6,27.7,36,2,WNW,13,1008.4
,2022-09-25,15.1,26.9,0,6.6,11.2,E,20,15:10,22.4,48,1,SW,6,1016.1,23.7,48,1,ENE,11,1013.1
,2022-09-26,14.3,26.8,0,6.8,10.1,NNE,22,15:10,21.2,66,1,W,4,1017.7,24.4,48,4,ENE,13,1013.0
,2022-09-27,17.3,25.6,0,6.4,3.1,NE,22,14:46,21.5,60,8,N,6,1015.9,24.6,62,6,NE,9,1011.7
,2022-09-28,16.9,25.8,4.8,4.4,3.7,W,20,12:37,22.6,67,7,NW,4,1014.2,25.5,55,7,N,2,1010.8
,2022-09-29,16.4,22.6,0.2,4.8,2.8,W,28,12:33,18.3,48,7,W,6,1016.0,21.6,42,5,SW,9,1014.0
,2022-09-30,12.1,27.9,0,4.2,11.1,S,26,10:56,21.2,50,0,SW,7,1017.6,24.4,44,2,E,11,1014.6
