"Daily Weather Observations for Brisbane, Queensland for October 2022"
"Prepared at 16:01 UTC on Friday  2 December 2022   IDCJDW4019.202210"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-10-1,15.1,22.7,0,5.4,2.7,SE,31,15:06,21.2,58,7,S,7,1017.8,18.8,75,8,SE,11,1015.2
,2022-10-2,12.7,18.5,4.6,3.4,3.0,E,17,18:09,14.8,89,8,SSW,4,1017.7,17.7,74,7,S,2,1014.7
,2022-10-3,11.9,22.9,1.4,2.8,11.2,E,31,15:17,18.3,67,1,SW,7,1021.0,20.1,55,1,E,13,1018.2
,2022-10-4,12.8,22.3,0,6.2,3.2,ENE,24,12:29,20.9,60,7,S,6,1023.7,21.2,55,7,ENE,9,1020.5
,2022-10-5,13.2,24.1,0,3.6,6.7,ENE,24,11:46,21.9,54,7,SSE,6,1024.0,21.9,48,8,ENE,13,1021.0
,2022-10-6,16.4,23.2,0.8,4.6,1.4,E,20,14:33,21.5,62,7,E,4,1022.9,19.1,79,8,ESE,11,1020.3
,2022-10-7,14.8,24.5,0,4.6,8.4,ENE,26,14:22,22.9,57,3,NE,4,1021.4,22.9,54,3,NNE,9,1018.1
,2022-10-8,16.9,24.9,0,4.4,6.9,NNE,28,17:52,22.0,76,7,N,6,1020.3,24.6,60,6,NNE,11,1016.5
,2022-10-9,19.4,27.2,5.6,5.2,2.3,SSE,30,20:19,21.6,82,7,N,4,1017.3,26.5,54,7,W,9,1015.5
,2022-10-10,18.7,21.9,3.0,3.6,0.0,ESE,39,14:19,20.3,66,8,SE,9,1022.5,20.4,61,8,ESE,13,1021.0
,2022-10-11,14.7,23.6,0,4.6,7.8,ESE,31,09:26,21.1,52,7,E,19,1022.1,22.0,45,7,SE,15,1019.2
,2022-10-12,15.2,24.2,0,5.6,8.6,SSE,37,10:01,22.0,45,7,ESE,13,1021.0,22.5,53,6,ESE,13,1018.4
,2022-10-13,15.3,25.9,0,8.2,10.0,E,28,10:55,22.1,62,3,ESE,11,1020.1,24.7,54,5,ENE,11,1017.0
,2022-10-14,16.9,26.1,3.4,7.8,6.1,NE,26,14:44,22.1,73,6,W,7,1017.1,23.6,67,7,NNE,13,1012.2
,2022-10-15,16.1,26.2,0.2,6.0,11.1,ENE,30,13:53,23.4,46,1,S,11,1017.9,23.8,53,3,E,13,1015.7
,2022-10-16,15.7,25.1,0,7.2,,NE,22,16:49,22.0,60,6,ENE,6,1019.4,23.0,60,7,NE,9,1015.7
,2022-10-17,17.6,24.6,0.8,4.4,7.6,ENE,20,15:27,21.6,69,7, ,Calm,1018.9,23.6,60,3,NE,7,1016.3
,2022-10-18,15.9,25.8,0.2,5.8,7.5,NE,26,15:00,22.4,60,6,NE,7,1020.7,23.6,59,8,NNE,11,1018.5
,2022-10-19,20.1,23.2,0,6.4,0.0,NE,22,08:40,21.8,70,8,NE,9,1019.3,21.8,73,8,NNE,7,1016.8
,2022-10-20,18.3,24.4,19.4,3.4,0.8,NNE,26,11:14,21.6,81,8,NE,7,1019.0,23.6,68,8,NNE,7,1015.6
,2022-10-21,21.2,24.3,2.8,3.8,1.9,ENE,31,08:06,23.3,72,7,ENE,17,1016.8,20.2,89,8,NE,6,1014.7
,2022-10-22,19.6,22.1,16.4,3.4,0.0,ENE,28,10:27,21.4,80,8,E,11,1015.6,20.6,87,8,E,7,1012.0
,2022-10-23,17.6,25.1,45.2,4.0,0.0,SSE,26,11:33,18.2,97,8,SW,7,1008.5,21.8,85,8,SSW,7,1005.6
,2022-10-24,16.7,31.3,2.8,1.2,12.0,W,26,14:05,24.9,58,2,SW,9,1008.1,29.6,39,7,WNW,13,1005.1
,2022-10-25,18.6,29.4,7.4,5.4,8.2,SW,35,03:13,21.7,74,6,W,7,1010.0,25.3,64,5,NE,7,1005.5
,2022-10-26,20.1,32.4,3.4,4.8,12.1,WSW,30,15:54,27.8,41,7,W,7,1006.7,31.8,27,1,W,13,1002.4
,2022-10-27,19.3,34.3,0,8.0,8.6,NNE,26,15:40,24.7,60,7,W,2,1006.5,30.4,45,4,NE,11,1001.3
,2022-10-28,18.6,31.6,1.6,8.0,12.7,WNW,37,14:03,28.3,36,1,WSW,13,1007.2,31.2,27,1,W,17,1003.4
,2022-10-29,16.7,30.7,0,11.6,12.6,WNW,31,14:23,25.9,31,0,WSW,4,1009.3,30.4,25,3,W,11,1005.6
,2022-10-30,14.8,30.1,0,9.4,12.7,ENE,26,13:33,26.3,32,1,WSW,6,1012.3,27.1,31,1,NE,11,1009.2
,2022-10-31,17.6,28.1,0,8.4,7.7,NE,26,15:55,25.6,56,1,NNW,9,1011.0,26.7,69,8,NNE,11,1005.6
