"Daily Weather Observations for Brisbane, Queensland for December 2022"
"Prepared at 13:01 UTC on Tuesday  6 June 2023   IDCJDW4019.202212"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-12-1,15.8,22.3,26.2,3.4,0.0,S,30,11:35,16.6,92,8,SSW,9,1008.8,16.9,91,8,SSW,6,1006.8
,2022-12-2,16.1,25.2,15.2,0.0,9.3,SE,44,13:00,21.8,58,7,S,15,1008.8,23.8,50,7,SE,11,1009.1
,2022-12-3,16.2,26.2,0,9.0,12.1,ESE,41,12:21,23.7,52,7,S,11,1013.9,23.7,52,1,ESE,15,1012.3
,2022-12-4,16.6,26.6,0.2,8.2,9.1,ESE,26,16:39,23.9,56,7,SSE,11,1014.0,24.6,58,7,ESE,9,1011.0
,2022-12-5,17.8,29.2,0,7.0,12.9,NE,20,13:45,25.4,55,2,S,6,1011.0,28.0,53,1,NNE,7,1006.8
,2022-12-6,19.4,35.4,0,6.4,12.7,WNW,30,11:53,27.4,59,0,W,4,1007.3,31.9,43,2,NNE,11,1002.9
,2022-12-7,18.9,30.0,0,8.4,12.9,NE,26,19:13,27.1,55,2,E,6,1008.3,27.8,59,1,ENE,13,1005.0
,2022-12-8,20.3,29.8,29.8,10.2,11.4,WNW,39,03:36,26.7,61,3,NNE,9,1006.7,28.6,69,1,NNE,13,1001.2
,2022-12-9,21.0,26.5,0,8.0,10.4,ENE,31,11:02,24.8,60,7,ESE,11,1011.1,24.7,54,5,E,13,1009.7
,2022-12-10,20.9,26.1,0,8.8,6.6,ENE,30,14:19,23.2,67,7,ENE,6,1015.9,24.6,55,3,ENE,15,1014.3
,2022-12-11,16.9,27.6,0,7.0,12.6,ENE,28,14:24,25.3,56,3,NNE,6,1016.3,26.9,53,1,NE,9,1012.8
,2022-12-12,20.5,29.6,0,7.4,9.4,NE,31,15:59,27.3,58,2,NNW,11,1011.3,27.4,68,6,NNE,15,1006.9
,2022-12-13,21.7,30.9,4.2,7.4,5.5,E,30,13:07,27.6,67,7,WNW,6,1009.2,25.6,61,7,E,11,1007.9
,2022-12-14,20.6,32.8,0,6.0,10.1,W,35,14:05,26.2,63,6,WSW,6,1007.7,32.4,19,1,WSW,13,1002.5
,2022-12-15,18.6,29.2,0,10.4,8.7,E,24,17:36,23.6,60,7,WSW,6,1008.3,27.1,45,1,E,9,1005.0
,2022-12-16,19.2,27.3,1.8,6.0,10.2,SE,30,21:47,24.5,60,6,SE,9,1011.3,25.8,53,2,NE,11,1009.0
,2022-12-17,18.1,26.5,0.4,7.8,11.7,ENE,30,16:55,23.3,55,4,SE,11,1016.1,24.6,50,5,E,11,1014.1
,2022-12-18,17.5,27.1,0,10.4,11.5,E,30,15:51,22.8,51,6,SSE,9,1018.4,25.2,47,6,E,13,1015.4
,2022-12-19,17.2,26.4,0,9.0,10.6,E,31,17:25,22.5,53,7,SE,7,1018.5,24.8,47,5,ESE,13,1016.0
,2022-12-20,16.2,27.1,0,8.8,12.6,E,35,15:01,23.4,46,1,SSE,9,1018.1,24.4,49,2,E,15,1014.6
,2022-12-21,16.7,27.4,0,10.8,11.5,ENE,31,15:10,23.8,53,3,SE,9,1016.5,23.9,56,4,E,15,1013.8
,2022-12-22,19.1,26.8,0,7.8,12.1,E,26,13:06,24.3,50,6,NNE,6,1017.1,26.4,50,1,NNE,9,1014.1
,2022-12-23,19.2,29.1,0,9.2,8.6,NNE,26,17:35,26.6,45,5,N,4,1015.0,27.9,54,7,N,7,1011.9
,2022-12-24,21.3,27.7,0,7.0,0.0,WNW,11,15:19,24.4,69,8,NW,4,1013.2,27.0,61,8,WSW,4,1011.3
,2022-12-25,21.2,27.9,0,2.0,3.0,ENE,30,11:28,25.7,68,7,ESE,4,1014.4,26.4,67,7,NNE,9,1014.5
,2022-12-26,19.1,28.7,30.2,5.2,12.3,ENE,35,13:09,26.2,55,3,ESE,13,1020.2,26.8,53,2,E,19,1018.7
,2022-12-27,19.9,28.2,0.2,10.4,8.5,SE,33,13:59,21.8,81,7,NE,7,1020.7,27.5,50,1,ESE,11,1017.9
,2022-12-28,19.7,28.0,0.2,6.0,12.3,ESE,31,12:31,24.7,60,5,SE,9,1015.4,27.1,48,1,E,13,1013.2
,2022-12-29,18.6,28.1,0,8.2,3.3,ESE,33,14:19,25.8,58,7,SSE,6,1013.3,27.4,56,7,ESE,13,1011.6
,2022-12-30,21.4,27.9,0.4,6.0,2.2,ESE,35,14:08,23.9,82,8,SE,7,1013.8,23.8,82,8,ESE,13,1011.8
,2022-12-31,20.8,28.7,2.2,4.2,10.4,ENE,31,14:13,23.6,73,7,SSE,7,1013.9,27.3,53,1,ESE,11,1011.2
