"Daily Weather Observations for Brisbane, Queensland for January 2013"
"Prepared at 16:04 UTC on Wednesday  7 August 2013   IDCJDW4019.201301"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-01-1,20.1,30.1,0,7.2,8.9,ENE,22,12:20,27.8,63,6,ENE,6,1016.2,28.2,51,7,ENE,11,1013.0
,2013-01-2,21.4,34.8,0,8.0,13.1,SE,30,23:37,28.6,56,1,SW,4,1011.4,32.9,47,1,ENE,13,1007.7
,2013-01-3,23.5,30.7,0,11.8,11.7,ESE,37,15:37,28.1,54,3,SE,15,1015.3,28.3,53,1,E,19,1013.0
,2013-01-4,21.6,29.8,0,10.8,12.1,ENE,33,14:32,27.0,51,5,ESE,11,1016.0,28.8,44,2,ESE,15,1013.9
,2013-01-5,21.7,28.5,0,9.8,6.1,ENE,33,13:01,26.3,58,6,ESE,6,1017.0,27.4,60,5,ENE,13,1015.5
,2013-01-6,21.1,29.2,2.0,7.4,6.5,E,31,13:38,25.5,79,6,SSE,7,1018.4,27.8,54,6,E,19,1017.4
,2013-01-7,19.8,30.5,0.2,8.8,8.9,ESE,35,11:26,26.7,54,7,E,17,1019.3,28.5,49,7,ESE,11,1016.9
,2013-01-8,20.4,30.3,0,10.4,11.2,NNE,28,18:52,25.8,66,6,W,2,1014.0,29.8,54,1,NE,13,1008.1
,2013-01-9,21.6,33.3,0,8.8,12.6,NE,35,18:08,28.6,54,1,N,6,1004.7,30.8,59,2,NNE,15,999.3
,2013-01-10,23.5,31.7,0,10.0,11.1,E,30,14:26,30.6,54,5,ENE,6,1006.0,30.3,57,7,ENE,17,1005.9
,2013-01-11,25.8,33.4,0,9.8,11.4,NE,30,17:37,29.7,66,5,NE,9,1012.1,31.9,48,3,NNE,13,1009.9
,2013-01-12,26.1,34.2,0,9.4,9.8,NE,30,15:32,31.9,56,1,NNW,6,1012.7,31.7,60,1,NNE,11,1009.3
,2013-01-13,24.6,33.9,0,9.8,12.9,NE,28,18:09,29.9,60,1,NW,4,1011.1,31.4,57,1,NE,11,1007.9
,2013-01-14,24.2,32.1,0,10.8,3.1,SE,46,15:32,30.9,51,7,SSE,7,1008.7,26.3,69,7,SE,17,1009.5
,2013-01-15,21.9,29.4,0,6.6,6.3,SSE,33,00:59,23.7,63,7,SE,15,1016.7,28.1,51,6,E,15,1014.4
,2013-01-16,19.9,29.9,0,6.8,12.3,E,28,11:44,26.5,53,3,ESE,4,1015.5,29.1,52,2,ENE,11,1013.0
,2013-01-17,19.9,30.0,0,7.8,11.5,ENE,28,17:31,26.9,56,4,ENE,4,1013.5,28.8,47,1,ENE,13,1010.3
,2013-01-18,21.4,32.6,0,7.6,12.3,NE,31,17:13,27.9,57,1,NNW,7,1011.6,30.3,52,1,NNE,11,1006.8
,2013-01-19,23.1,35.4,0,10.2,11.2,ENE,30,14:37,30.1,56,5,W,4,1008.7,31.9,57,1,NE,13,1006.0
,2013-01-20,23.5,32.2,1.2,8.4,10.8,ENE,31,13:57,27.8,65,3,NNE,4,1012.6,30.5,56,2,E,13,1010.0
,2013-01-21,22.1,29.7,1.2,9.4,6.1,SE,26,16:45,26.3,73,6,S,4,1012.5,26.6,72,7,SE,7,1009.9
,2013-01-22,21.3,29.5,3.4,6.4,8.8,E,24,10:23,25.8,73,6, ,Calm,1011.9,24.3,87,6,SE,6,1010.3
,2013-01-23,21.1,31.3,0.4,6.4,6.6,E,26,13:04,27.8,65,6,ESE,4,1012.7,28.7,63,6,ENE,13,1010.3
,2013-01-24,23.0,26.7,0,6.2,0.0,NE,24,15:53,25.5,79,7,SE,7,1012.7,25.7,81,8,ESE,4,1010.6
,2013-01-25,22.6,27.4,21.6,4.8,0.0,ENE,44,11:12,24.7,90,8,ENE,9,1010.2,24.2,92,8,E,13,1008.1
,2013-01-26,23.1,26.1,39.2,1.6,0.0,NE,44,21:39,24.9,92,8,ENE,17,1008.1,25.1,91,8,E,15,1006.0
,2013-01-27,23.2,25.3,54.6,2.0,0.0,E,70,18:52,24.2,92,8,E,22,1003.3,23.7,97,8,E,24,999.0
,2013-01-28,23.1,28.8,145.0,2.1,3.2,E,67,01:46,25.2,90,8,ENE,37,998.4,27.4,76,7,NE,13,998.1
,2013-01-29,22.4,34.1,2.2,1.6,13.2,WNW,24,13:04,28.0,71,6,WSW,4,1004.5,,,2,W,9,1003.3
,2013-01-30,,,0,6.8,10.2,,,,28.9,73,5,SSW,6,1010.4,28.7,66,4,SE,24,1010.3
,2013-01-31,,28.3,,7.4,4.6,E,19,16:37,25.6,81,7,ENE,6,1013.6,27.8,56,7,ENE,6,1010.9
