"Daily Weather Observations for Darwin, Northern Territory for March 2012"
"Prepared at 13:10 UTC on Sunday 19 August 2012   IDCJDW8014.201203"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-03-1,25.2,30.0,9.2,3.8,1.4,WSW,44,13:42,27.8,78,7,S,2,1006.5,24.8,95,7,NNE,9,1004.2
,2012-03-2,23.7,31.0,72.2,,3.4,WSW,48,03:49,24.8,94,8,NW,17,1005.1,30.1,71,7,NW,31,1001.9
,2012-03-3,23.8,31.3,22.6,5.4,3.1,NW,35,12:43,27.2,91,6,NNW,13,1005.4,29.6,72,7,WNW,26,1003.3
,2012-03-4,25.5,31.8,0,2.4,3.2,NNW,30,18:29,28.9,81,7,NNW,7,1007.1,30.6,69,7,NW,17,1004.4
,2012-03-5,25.1,30.8,0.2,3.8,2.3,ESE,30,14:29,29.5,80,6,ENE,11,1008.0,24.7,96,8,NE,7,1004.9
,2012-03-6,23.7,32.7,91.0,10.6,6.3,N,33,16:26,25.8,90,7,SE,13,1008.1,31.4,65,7,NW,15,1004.6
,2012-03-7,23.8,32.2,28.8,5.8,9.3,SE,72,21:27,28.2,79,6,SSE,7,1006.6,31.0,66,7,WNW,19,1003.1
,2012-03-8,22.5,33.1,4.6,5.4,9.3,ENE,39,16:33,26.7,77,6,SE,17,1006.0,31.3,66,5,NNW,17,1002.5
,2012-03-9,25.5,32.6,0,6.8,6.6,ESE,31,23:06,26.3,89,8,ENE,15,1007.2,32.3,60,6,NW,17,1003.4
,2012-03-10,24.5,33.2,0,3.2,6.6,ESE,61,19:45,26.3,88,7,SE,17,1007.3,32.2,58,7,WNW,11,1003.2
,2012-03-11,24.0,32.4,24.0,8.0,4.7,SSE,48,12:49,27.6,82,7,S,19,1006.2,26.9,94,8,ENE,9,1003.2
,2012-03-12,24.7,30.1,16.0,2.8,0.9,NE,43,12:59,27.1,89,8,E,24,1005.3,26.8,91,8,ENE,24,1003.2
,2012-03-13,25.4,30.0,21.4,3.0,0.3,N,54,15:14,27.1,91,8,ENE,13,1005.5,28.2,84,8,NNE,20,1002.3
,2012-03-14,24.1,29.8,142.2,,0.5,WNW,78,15:57,24.5,98,8,WNW,33,1005.9,28.3,84,8,NW,28,1002.5
,2012-03-15,23.3,29.2,96.8,6.6,0.0,NW,85,08:15,24.2,98,8,WNW,22,1005.8,27.5,85,8,WNW,24,1003.6
,2012-03-16,23.0,31.0,17.6,3.8,0.0,WNW,48,03:20,29.0,76,8,WNW,22,1006.2,30.2,72,8,WNW,30,1004.4
,2012-03-17,24.5,30.6,7.0,2.6,2.1,WSW,61,10:08,29.8,76,7,WNW,24,1006.6,28.7,73,8,WNW,19,1004.1
,2012-03-18,24.0,31.3,6.2,3.2,3.2,W,46,02:42,28.5,82,7,W,17,1007.5,30.9,70,7,W,30,1003.8
,2012-03-19,26.7,32.5,0,4.2,6.3,WNW,43,14:13,29.2,81,6,W,22,1006.2,31.8,67,7,W,31,1002.8
,2012-03-20,27.5,32.6,0,6.2,7.0,WNW,43,13:37,29.2,78,6,W,24,1005.1,31.4,69,6,WNW,31,1002.4
,2012-03-21,27.5,32.7,0,6.0,7.8,WNW,46,15:35,30.1,71,7,W,24,1006.4,31.3,64,5,WNW,33,1004.3
,2012-03-22,27.0,32.0,0,6.2,5.3,WNW,41,12:42,29.2,79,6,W,15,1008.2,30.9,66,7,WNW,28,1005.4
,2012-03-23,25.8,31.3,3.2,4.8,2.6,NW,30,15:51,28.3,79,7,SW,15,1010.5,31.0,60,7,WNW,15,1006.8
,2012-03-24,25.9,32.7,0,4.4,7.6,WNW,35,16:03,28.7,80,6,SSW,15,1009.8,29.9,77,5,NNW,20,1006.6
,2012-03-25,24.1,32.2,2.8,5.4,11.2,ESE,35,10:10,26.8,67,4,SE,17,1010.8,31.8,39,2,ESE,13,1007.4
,2012-03-26,22.8,32.1,0,5.6,11.3,NW,26,13:29,27.6,66,2,SSE,13,1011.0,30.9,53,5,NW,17,1007.7
,2012-03-27,23.9,33.3,0,6.4,10.4,WSW,37,13:57,28.9,68,5,SSW,13,1011.6,31.7,54,6,NW,26,1008.4
,2012-03-28,27.0,33.1,0,6.8,6.0,NW,30,15:56,27.8,80,8,SW,11,1011.3,32.3,60,7,NW,17,1007.7
,2012-03-29,24.2,32.8,6.6,4.2,5.1,NE,33,05:23,26.4,89,7,E,4,1012.2,31.2,68,7,WNW,13,1008.0
,2012-03-30,26.1,34.0,0,7.2,11.0,NNE,33,18:20,29.1,80,2,SSW,15,1011.6,32.5,57,2,NNW,19,1007.7
,2012-03-31,25.4,32.5,0,3.8,10.2,WNW,28,15:40,29.4,70,2,NNE,9,1013.7,31.3,61,1,NW,17,1009.5
