"Daily Weather Observations for Darwin, Northern Territory for April 2012"
"Prepared at 13:09 UTC on Saturday 18 August 2012   IDCJDW8014.201204"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-04-1,23.6,33.8,0,6.2,11.2,NE,65,00:51,28.8,65,3,ENE,6,1013.9,31.6,58,3,NW,20,1009.6
,2012-04-2,22.7,32.0,2.8,7.0,8.4,SSW,39,18:34,28.9,73,6,SSE,9,1014.8,31.3,61,3,N,17,1011.4
,2012-04-3,23.3,33.3,1.4,5.6,11.2,NW,33,15:20,29.3,69,1,ESE,11,1015.7,31.6,55,2,NW,22,1012.0
,2012-04-4,25.0,32.5,0,7.0,10.2,NW,30,14:39,29.4,69,3,ENE,11,1014.9,31.6,53,6,WNW,20,1010.6
,2012-04-5,24.2,33.8,0,5.0,10.8,NNW,37,14:59,29.4,73,3,NNE,7,1013.7,31.6,60,5,NNW,20,1010.1
,2012-04-6,24.0,33.2,0,7.6,11.0,NNW,31,15:36,29.6,69,5,E,7,1013.6,31.9,56,4,N,22,1010.1
,2012-04-7,24.7,32.5,0,6.6,11.0,NW,30,14:25,29.7,65,1,NNW,9,1013.1,30.2,67,2,NNW,20,1009.6
,2012-04-8,23.9,33.9,0.8,5.6,10.8,NE,31,11:23,28.7,69,3,E,11,1013.7,33.0,41,3,E,15,1009.4
,2012-04-9,24.6,34.5,0,7.6,11.2,ESE,37,11:41,29.4,68,1,E,15,1013.5,33.5,37,2,ESE,17,1009.5
,2012-04-10,24.2,34.2,0,7.0,9.7,ESE,39,15:27,29.3,69,1,E,11,1013.6,32.9,44,4,E,17,1009.9
,2012-04-11,24.1,33.1,1.8,7.4,10.7,E,41,10:31,27.0,62,3,SE,24,1012.6,32.4,42,4,ESE,19,1009.0
,2012-04-12,23.9,32.9,0,8.6,9.4,ESE,44,10:20,27.8,60,7,ESE,24,1012.0,32.2,43,7,E,26,1009.1
,2012-04-13,23.7,33.1,2.6,9.4,9.8,ESE,46,12:24,26.3,71,4,SE,24,1013.1,31.2,47,5,ESE,26,1009.5
,2012-04-14,23.7,33.4,8.2,6.0,9.8,ENE,39,10:44,27.8,72,7,ESE,22,1013.0,33.2,51,5,ENE,19,1009.4
,2012-04-15,24.5,33.9,2.6,6.8,10.0,E,41,15:31,28.1,71,6,ESE,15,1012.7,33.6,43,2,E,26,1008.7
,2012-04-16,24.5,34.3,0,6.2,11.0,SE,37,12:23,28.4,62,3,ESE,13,1011.1,33.7,35,3,ESE,20,1007.1
,2012-04-17,24.7,34.6,0,7.6,11.2,ESE,48,09:57,28.6,59,7,SE,17,1009.3,33.7,43,7,E,24,1005.3
,2012-04-18,25.2,34.5,0,7.0,5.2,ESE,37,10:27,28.6,70,7,SE,17,1008.5,33.7,40,7,ESE,17,1005.1
,2012-04-19,25.4,35.0,0,5.4,10.7,SSE,43,13:47,28.7,65,4,SE,17,1008.6,33.6,42,5,NNW,26,1005.7
,2012-04-20,25.8,31.9,1.0,7.8,2.9,E,46,15:21,27.2,86,7,ESE,15,1008.9,29.8,70,8,E,26,1006.4
,2012-04-21,24.5,32.6,6.2,4.8,5.7,NNE,50,14:03,26.4,89,7,ENE,19,1009.3,28.7,73,7,N,28,1008.1
,2012-04-22,24.5,32.8,0.2,2.8,7.3,ENE,31,14:00,27.8,81,7,NNE,11,1010.4,32.7,56,7,NNE,13,1007.0
,2012-04-23,24.5,32.4,0,4.2,7.6,NE,37,13:57,28.1,75,7,E,11,1010.7,26.8,94,7,ESE,15,1007.8
,2012-04-24,23.4,32.6,40.0,7.4,8.8,SE,33,02:21,26.0,82,8,SE,15,1011.2,31.7,56,7,ENE,9,1008.5
,2012-04-25,24.2,30.2,2.6,4.4,2.1,SE,41,08:45,24.9,83,8,SE,28,1012.6,29.3,55,8,E,19,1009.8
,2012-04-26,21.1,30.2,0,5.8,10.3,SE,44,10:45,23.1,65,4,SE,28,1014.1,29.7,41,1,SE,22,1010.1
,2012-04-27,20.7,29.9,0,6.2,8.7,SE,37,08:04,23.5,51,6,SE,26,1014.1,29.5,40,6,SSE,20,1011.6
,2012-04-28,20.4,31.3,0,5.4,10.8,SE,35,08:14,23.8,48,2,SE,24,1013.6,30.3,35,1,SSW,13,1010.7
,2012-04-29,18.8,31.0,0,6.6,11.3,SE,35,09:06,22.7,49,1,SE,24,1012.9,30.5,32,1,ENE,13,1009.6
,2012-04-30,19.4,30.9,0,5.2,9.9,NNW,31,14:32,23.8,60,2,SE,17,1012.7,29.1,58,5,NW,22,1009.3
