"Daily Weather Observations for Darwin, Northern Territory for July 2012"
"Prepared at 13:10 UTC on Tuesday 21 August 2012   IDCJDW8014.201207"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-07-1,18.6,31.1,0,4.6,10.7,ESE,48,11:21,23.8,72,1,E,19,1014.8,30.0,21,1,ESE,24,1011.2
,2012-07-2,16.3,29.4,0,7.8,10.5,SE,41,10:15,19.0,39,3,SE,26,1015.9,28.6,21,3,E,15,1011.2
,2012-07-3,15.7,28.7,0,8.0,10.8,SE,44,09:51,18.6,32,1,SE,26,1015.1,27.8,20,0,SSE,24,1010.7
,2012-07-4,16.6,29.4,0,7.8,10.7,SE,48,10:01,19.0,22,1,SE,31,1014.3,28.7,18,1,SSE,22,1011.0
,2012-07-5,16.3,28.9,0,7.0,10.8,ESE,48,09:45,19.4,24,1,SE,31,1014.9,28.2,17,1,SE,13,1011.4
,2012-07-6,18.6,28.4,0,9.8,10.9,ESE,48,09:59,20.3,33,1,ESE,28,1014.7,27.9,16,0,E,17,1010.7
,2012-07-7,15.8,30.6,0,5.6,10.8,E,39,10:19,21.6,44,0,ESE,28,1012.8,30.1,38,1,NW,13,1008.7
,2012-07-8,19.3,31.4,0,6.2,10.1,ENE,30,11:04,23.4,56,2,E,17,1012.0,31.0,45,2,WSW,15,1008.8
,2012-07-9,19.5,32.1,0,5.4,10.3,NNW,33,13:25,25.5,75,3,ENE,6,1012.6,29.7,49,4,NW,17,1008.7
,2012-07-10,20.8,31.3,0,5.0,10.1,NNW,31,13:43,24.5,76,6,SSW,9,1012.9,29.9,59,4,N,20,1009.1
,2012-07-11,22.4,30.9,0,6.0,7.1,N,30,12:26,25.7,78,6,NE,9,1013.2,29.7,59,4,NNW,19,1009.8
,2012-07-12,22.0,31.2,0,2.6,6.7,NNW,31,15:42,24.4,87,4,S,11,1013.1,30.7,53,3,WNW,13,1009.6
,2012-07-13,22.6,30.8,0,4.4,10.4,NW,30,14:50,25.3,77,2,S,11,1013.3,28.8,59,4,WNW,22,1009.7
,2012-07-14,19.8,32.0,0,4.0,10.7,NW,31,15:38,24.8,79,7,SSW,9,1012.8,30.1,54,7,WNW,24,1009.1
,2012-07-15,21.4,33.8,0,6.0,10.8,E,44,12:06,25.9,79,2,SE,9,1013.2,33.1,40,3,N,9,1009.7
,2012-07-16,22.5,33.3,0,8.8,11.0,ESE,48,10:37,25.8,44,4,SE,30,1014.7,31.7,31,1,E,26,1010.5
,2012-07-17,20.0,32.9,0,6.6,10.3,ESE,44,11:05,25.5,52,4,SE,17,1014.7,32.2,37,5,NNE,13,1011.1
,2012-07-18,20.2,33.0,0,6.8,11.0,SE,44,11:04,23.6,38,3,SE,20,1015.1,32.4,16,6,SSE,20,1010.3
,2012-07-19,19.3,32.0,0,8.6,11.1,ESE,41,10:43,22.0,29,3,SE,19,1015.4,30.8,16,1,S,15,1011.6
,2012-07-20,17.6,30.6,0,9.0,11.2,ESE,41,10:46,20.9,32,2,SE,24,1017.1,29.7,14,1,SE,20,1013.0
,2012-07-21,17.8,29.7,0,7.6,11.5,SE,50,09:58,20.1,22,0,SE,30,1017.4,28.3,10,0,SSE,19,1012.7
,2012-07-22,15.9,28.8,0,6.6,11.1,SE,41,10:19,19.6,26,2,SE,24,1015.7,28.4,16,2,WNW,17,1011.3
,2012-07-23,16.1,30.0,0,6.6,11.1,ESE,37,11:09,20.3,42,1,SE,13,1014.6,29.5,19,0,NW,20,1010.0
,2012-07-24,16.7,30.5,0,5.4,11.0,N,37,14:42,23.0,52,1,SE,13,1014.6,29.4,40,1,N,26,1010.4
,2012-07-25,17.3,29.0,0,5.8,9.7,NW,30,13:30,24.3,67,2,SSE,9,1015.9,28.3,54,2,NNW,17,1012.3
,2012-07-26,18.2,30.4,0,3.8,9.8,NNW,28,13:49,24.4,69,1,SE,7,1014.5,29.4,53,1,NNW,17,1011.1
,2012-07-27,20.3,29.5,0,5.8,8.0,N,28,15:54,25.3,68,7,S,7,1015.2,28.5,58,6,N,19,1011.1
,2012-07-28,20.6,30.2,0,4.8,11.0,SE,43,09:58,22.9,37,2,SE,22,1016.9,29.4,27,0,SE,13,1011.9
,2012-07-29,16.7,30.0,0,7.8,11.1,ESE,39,09:56,19.7,36,6,SE,24,1017.1,29.3,22,5,WNW,20,1012.8
,2012-07-30,17.0,30.3,0,6.2,11.1,SE,41,11:48,20.4,28,2,SSE,24,1016.4,29.2,20,5,E,15,1012.4
,2012-07-31,17.6,29.9,0,6.8,11.2,ESE,48,10:33,21.3,35,1,SE,24,1016.8,28.9,21,0,SSE,19,1012.4
