"Daily Weather Observations for Darwin, Northern Territory for September 2012"
"Prepared at 13:09 UTC on Sunday 11 August 2013   IDCJDW8014.201209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-09-1,20.8,34.2,0,6.2,11.1,ESE,37,13:36,26.8,74,1,SW,9,1014.6,30.9,43,1,NNW,22,1010.4
,2012-09-2,20.4,35.5,0,6.4,10.9,E,30,11:44,25.9,73,4,SSW,13,1014.4,32.2,30,6,NW,24,1010.3
,2012-09-3,19.5,35.5,0,7.4,10.6,NW,30,11:44,26.6,66,7,WSW,6,1014.2,30.8,34,7,NNW,20,1010.6
,2012-09-4,20.0,31.2,0,6.8,9.5,N,37,15:39,25.9,75,5,SE,7,1015.3,30.4,50,6,NNW,20,1011.5
,2012-09-5,20.8,32.3,0,6.0,10.0,N,31,15:49,26.9,69,7,NE,9,1015.4,30.4,51,6,NNW,20,1010.5
,2012-09-6,21.4,32.4,0,6.4,9.6,NNW,33,15:58,26.5,68,1,E,7,1014.3,30.9,44,3,NNW,19,1010.6
,2012-09-7,21.6,32.3,0,7.2,9.4,NW,31,15:03,26.6,74,6,SW,9,1015.0,31.0,45,7,NW,24,1011.1
,2012-09-8,21.5,35.4,0,6.6,10.6,E,44,12:16,27.6,63,0,SSE,7,1014.4,31.4,44,2,NW,26,1009.7
,2012-09-9,22.1,36.2,0,7.2,10.5,SE,48,13:44,26.4,61,5,SSE,24,1015.2,35.1,9,5,SE,28,1009.7
,2012-09-10,19.4,35.7,0,9.0,10.5,ESE,39,13:45,26.0,35,4,ESE,17,1014.3,33.9,27,6,N,26,1009.5
,2012-09-11,21.4,35.1,0,6.0,10.1,E,43,12:05,27.6,66,6,ENE,11,1014.6,31.4,44,7,NNW,22,1010.4
,2012-09-12,23.8,35.0,0,7.8,10.6,WNW,35,12:21,26.4,82,5,S,15,1015.1,32.2,41,5,NNW,20,1010.3
,2012-09-13,21.2,33.0,0,6.8,10.6,WNW,35,14:43,28.2,67,3,SSW,6,1013.9,30.6,57,2,NW,28,1009.5
,2012-09-14,22.4,32.4,0,6.4,10.3,N,39,15:42,27.8,67,2,E,9,1012.9,31.1,49,2,N,24,1009.5
,2012-09-15,21.8,33.8,0,6.4,10.7,N,37,14:27,28.2,60,2,ENE,9,1014.7,31.7,41,1,N,22,1010.5
,2012-09-16,20.8,32.7,0,7.8,10.7,NW,37,13:36,27.2,73,2,SW,7,1015.8,31.7,39,2,N,24,1011.3
,2012-09-17,21.2,32.2,0,5.8,9.4,WNW,31,12:20,28.0,68,4,ENE,11,1015.7,31.2,46,1,N,24,1010.8
,2012-09-18,20.9,32.9,0,6.8,10.9,ENE,31,09:43,26.9,74,1,SE,9,1015.2,31.6,50,1,NNW,20,1010.8
,2012-09-19,22.6,33.1,0,5.6,10.7,NNE,35,15:32,27.1,76,3,S,7,1014.2,32.1,44,4,N,22,1009.1
,2012-09-20,20.2,33.9,0,7.0,10.9,N,37,12:09,28.5,45,2,NE,9,1014.5,32.4,31,4,NNW,26,1009.9
,2012-09-21,20.7,33.1,0,7.2,10.4,NE,41,17:10,28.2,62,2,NNE,13,1015.1,31.2,54,3,NNW,26,1010.4
,2012-09-22,22.9,34.7,0,7.4,10.9,NNW,35,15:30,28.1,68,5,S,17,1014.5,33.6,31,3,NNW,17,1009.5
,2012-09-23,22.5,33.8,0,7.8,10.7,N,33,13:28,27.9,71,2,NNE,7,1012.0,32.4,52,2,NNW,20,1007.3
,2012-09-24,24.3,33.2,0,7.4,10.8,N,33,11:54,28.3,73,2,SW,7,1010.9,32.0,53,1,NNW,19,1007.0
,2012-09-25,23.3,35.5,0,6.8,10.8,NNE,44,15:54,28.4,66,1,NNE,20,1012.5,33.9,29,1,NE,31,1008.6
,2012-09-26,24.0,34.1,0,8.8,10.8,NNE,31,17:32,28.2,72,4,S,13,1013.6,33.1,44,1,NNW,20,1009.2
,2012-09-27,23.9,33.7,0,7.8,11.0,N,35,17:48,28.6,67,2,NE,11,1013.7,32.5,54,2,NW,17,1008.7
,2012-09-28,23.8,34.3,0,7.8,10.6,N,35,12:06,27.7,71,4,NNE,11,1013.9,33.9,35,1,N,26,1010.0
,2012-09-29,24.1,33.6,0,6.8,10.9,NW,33,17:38,28.9,64,3,NNE,19,1014.1,32.4,38,1,WNW,17,1010.1
,2012-09-30,22.4,30.3,21.2,11.0,2.4,SSE,57,07:55,22.6,96,8,NE,17,1017.1,28.9,57,6,NW,11,1012.1
