"Daily Weather Observations for Darwin, Northern Territory for March 2013"
"Prepared at 13:09 UTC on Monday 19 August 2013   IDCJDW8014.201303"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-03-1,26.6,32.6,1.0,5.2,8.7,W,56,13:46,30.0,69,7,WNW,20,1009.0,28.3,78,7,W,19,1006.8
,2013-03-2,26.2,31.1,0.8,6.6,1.0,WSW,50,10:46,29.1,82,7,W,13,1009.0,28.6,82,7,W,17,1005.3
,2013-03-3,24.7,28.9,18.8,3.2,0.0,WSW,54,11:34,26.0,90,8,WNW,33,1006.1,28.1,59,8,WSW,22,1003.4
,2013-03-4,24.6,29.5,7.4,3.4,0.0,WSW,54,06:37,27.3,90,8,W,24,1006.0,25.4,89,8,SSW,19,1003.8
,2013-03-5,24.7,32.9,13.4,1.4,9.1,NW,41,20:05,28.9,80,7,W,22,1007.5,32.0,62,5,WNW,28,1005.3
,2013-03-6,27.6,31.9,0.4,5.2,8.3,WNW,41,10:57,30.1,73,3,W,17,1008.0,31.6,63,6,WNW,28,1006.0
,2013-03-7,27.3,32.8,0.8,6.6,9.2,WNW,48,22:48,29.3,76,6,W,17,1008.9,31.9,65,6,WNW,26,1005.4
,2013-03-8,26.2,32.2,4.8,7.8,4.0,WNW,39,15:27,27.8,87,7,NNW,17,1008.6,31.5,70,6,WNW,30,1005.5
,2013-03-9,26.7,32.3,1.6,5.4,6.0,WNW,37,15:10,28.8,83,4,W,17,1008.3,30.4,75,7,W,28,1005.0
,2013-03-10,26.6,32.6,13.0,6.0,4.8,,,,29.4,81,6,SW,13,1007.0,,,,,,
,2013-03-11,24.2,32.7,15.2,1.6,6.8,SSW,50,15:24,27.9,83,6,SW,15,1006.8,32.1,71,7,WNW,28,1003.4
,2013-03-12,24.6,31.6,6.0,6.0,1.0,SSE,50,17:00,28.0,85,7,S,15,1007.8,30.8,79,8,WNW,28,1004.6
,2013-03-13,24.1,33.2,31.8,4.2,9.6,ESE,57,17:10,30.2,77,1,WSW,19,1007.9,32.9,60,2,W,26,1005.2
,2013-03-14,22.9,32.5,12.0,7.4,8.4,SE,52,01:33,27.4,81,6,NNW,6,1008.5,31.5,68,4,WNW,28,1006.5
,2013-03-15,27.4,33.4,0,7.6,10.6,E,52,19:23,30.4,72,3,W,17,1011.7,32.6,64,3,WNW,26,1008.4
,2013-03-16,24.2,33.8,8.0,6.6,8.7,SE,54,21:21,27.6,85,7,SSW,13,1012.2,32.8,59,3,W,15,1008.5
,2013-03-17,24.5,34.7,1.0,6.2,10.5,NE,35,20:02,29.6,82,6,WSW,17,1011.1,32.0,74,7,WNW,28,1007.5
,2013-03-18,24.8,33.6,0.2,7.4,9.9,NE,31,20:10,29.5,76,1,WNW,13,1009.9,32.8,54,4,NW,15,1007.7
,2013-03-19,24.9,33.6,0,3.6,10.9,SW,52,20:36,29.7,71,1,NE,13,1011.3,33.3,57,5,N,19,1007.8
,2013-03-20,23.9,32.6,20.6,6.8,10.5,WNW,26,12:24,29.1,80,1,NE,13,1012.0,31.7,62,2,WNW,17,1008.5
,2013-03-21,25.6,33.1,0,5.4,9.7,WNW,37,16:26,30.8,74,3,W,7,1010.5,32.4,62,2,WNW,20,1006.9
,2013-03-22,25.1,33.3,0,5.2,7.5,S,33,19:17,30.3,77,4, ,Calm,1010.4,31.9,61,5,NW,24,1007.9
,2013-03-23,25.2,32.0,1.4,5.4,3.7,NNE,41,15:04,29.7,77,5,NNW,9,1011.1,27.7,80,7,NNW,19,1008.3
,2013-03-24,23.3,30.9,26.2,5.4,1.3,ENE,56,06:08,25.9,86,8,NNE,11,1010.3,30.6,67,7,NNW,11,1007.2
,2013-03-25,23.7,32.2,26.2,4.8,5.8,SSW,33,18:46,26.8,79,7,E,20,1009.2,31.6,61,6,NE,15,1005.3
,2013-03-26,23.9,30.3,13.8,6.2,4.0,NE,33,13:28,26.2,84,7,E,20,1007.1,28.2,79,7,NNE,9,1004.0
,2013-03-27,25.0,30.9,1.8,0.8,4.0,SE,39,21:13,26.2,89,7,ESE,11,1006.5,26.5,89,7,N,13,1003.1
,2013-03-28,24.2,29.1,61.8,3.4,1.3,N,28,14:08,26.6,89,7,E,13,1005.9,27.0,92,7,NNW,9,1002.8
,2013-03-29,24.9,29.7,9.2,2.8,0.2,WNW,43,21:16,26.8,94,7,SE,7,1005.8,26.7,91,8,WNW,9,1003.1
,2013-03-30,25.2,31.5,80.6,3.2,1.4,NW,43,12:58,26.6,94,7,WNW,13,1005.9,29.0,81,8,W,28,1003.3
,2013-03-31,25.6,31.6,3.2,2.8,7.0,W,39,18:24,29.3,80,6,WNW,19,1007.0,30.4,72,6,WNW,24,1004.5
