"Daily Weather Observations for Darwin, Northern Territory for May 2013"
"Prepared at 13:10 UTC on Saturday 17 August 2013   IDCJDW8014.201305"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-05-1,22.6,33.9,0,6.2,11.2,ENE,35,12:52,28.6,66,2,E,13,1011.9,32.8,35,2,ENE,22,1008.3
,2013-05-2,24.3,35.2,0,6.8,11.1,ENE,39,12:36,30.0,62,1,SE,9,1010.5,33.6,40,3,NE,19,1007.5
,2013-05-3,25.7,35.1,0,7.2,9.9,ESE,46,11:31,29.4,63,6,ESE,17,1011.7,34.3,38,4,E,28,1008.1
,2013-05-4,25.1,34.4,0,7.2,7.0,ENE,46,12:31,28.7,67,7,E,22,1013.2,32.6,48,7,ENE,26,1010.1
,2013-05-5,24.9,34.2,0,8.0,10.6,E,39,10:21,28.5,62,5,ESE,20,1012.9,33.3,41,4,ESE,15,1008.9
,2013-05-6,25.4,34.7,0,7.2,10.9,E,41,08:54,29.0,66,2,ENE,28,1011.2,34.3,42,3,ENE,17,1007.3
,2013-05-7,23.8,33.7,0,5.6,10.2,E,35,10:36,28.9,64,1,ENE,17,1010.8,33.3,37,5,E,22,1007.8
,2013-05-8,22.7,33.1,0,8.0,11.2,E,41,10:53,26.8,58,0,E,20,1011.6,32.2,35,1,NE,26,1008.2
,2013-05-9,24.1,34.1,0,7.4,9.9,,,,27.9,65,2,SE,19,1012.8,33.4,35,7,ESE,17,1008.5
,2013-05-10,23.9,33.5,0,7.0,6.8,ENE,31,15:32,26.1,84,7,ENE,11,1012.4,31.8,52,7,NE,19,1008.9
,2013-05-11,24.5,34.3,0,5.4,11.0,E,39,10:18,28.1,66,2,E,26,1012.3,33.6,44,3,NE,20,1008.0
,2013-05-12,24.7,34.1,0,5.8,11.0,ENE,33,12:07,28.4,72,2,E,22,1012.1,33.3,39,3,E,13,1009.9
,2013-05-13,24.4,33.7,0,6.6,9.4,ENE,28,11:52,28.1,74,3,E,15,1012.8,31.8,57,7,N,15,1008.9
,2013-05-14,23.7,33.3,0,5.0,9.2,E,41,12:21,26.5,56,5,ESE,24,1010.5,31.4,48,4,ENE,22,1007.5
,2013-05-15,23.9,33.0,0.6,5.0,10.5,NNE,33,12:15,27.2,70,7,E,22,1010.8,31.6,52,7,NE,15,1007.7
,2013-05-16,25.5,33.1,0,6.8,6.0,ENE,41,09:29,28.1,80,7,ENE,19,1011.6,32.2,56,7,NE,20,1009.2
,2013-05-17,25.3,31.6,0,6.8,5.8,E,41,12:12,27.6,71,6,SE,17,1012.7,30.9,60,8,ENE,20,1009.8
,2013-05-18,24.6,33.4,8.2,5.2,7.0,E,44,15:32,28.2,70,7,ESE,19,1012.9,32.1,57,7,ENE,17,1009.2
,2013-05-19,25.6,32.2,1.6,4.8,7.0,NE,44,14:18,28.1,74,7,ENE,26,1012.4,30.1,70,7,NE,17,1009.7
,2013-05-20,25.4,32.3,0,4.2,10.4,ENE,48,12:14,27.1,78,7,ENE,22,1011.8,31.7,51,3,ENE,33,1009.8
,2013-05-21,24.0,33.7,0,7.2,9.8,E,37,14:06,28.1,77,6,ENE,17,1012.7,32.9,46,5,NE,17,1009.1
,2013-05-22,25.5,34.0,0,5.6,8.1,NNE,35,14:28,29.0,76,5,ENE,20,1012.0,32.0,57,6,NNE,20,1009.1
,2013-05-23,24.9,32.4,0,5.2,8.4,SSE,39,20:50,27.6,75,7,SE,13,1012.9,31.3,64,6,NNW,17,1009.0
,2013-05-24,23.0,29.6,21.2,6.4,10.8,ESE,50,09:42,25.7,74,3,ESE,24,1013.0,29.2,37,1,ESE,22,1010.2
,2013-05-25,17.9,27.4,0,10.6,9.2,ESE,48,09:12,20.9,42,2,ESE,28,1015.3,26.9,31,2,E,17,1011.9
,2013-05-26,18.5,29.6,0,5.6,9.6,ESE,44,09:57,21.1,67,7,ESE,22,1014.3,28.6,38,2,ENE,20,1011.2
,2013-05-27,21.0,29.6,0,5.0,3.0,ESE,35,06:37,22.9,73,7,E,26,1013.0,28.8,53,7,ENE,17,1010.8
,2013-05-28,22.6,31.1,0,3.0,8.9,E,39,09:54,25.4,66,7,E,24,1013.5,30.8,48,7,ESE,15,1010.6
,2013-05-29,23.0,29.5,0,5.8,3.8,E,43,09:35,26.9,77,7,E,28,1013.3,28.6,64,7,NE,17,1010.4
,2013-05-30,21.5,31.4,0,3.6,11.0,E,39,11:33,25.3,67,6,E,24,1014.0,30.8,33,6,E,19,1009.7
,2013-05-31,23.6,32.4,0,7.8,9.7,ESE,43,09:10,26.3,65,4,ESE,30,1012.8,32.2,44,5,ENE,17,1009.2
