"Daily Weather Observations for Darwin, Northern Territory for October 2013"
"Prepared at 13:09 UTC on Sunday 10 August 2014   IDCJDW8014.201310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-10-1,23.5,35.2,0,8.0,10.8,ESE,46,10:50,28.8,62,1,ENE,13,1014.3,32.7,41,1,N,26,1009.8
,2013-10-2,23.2,33.4,0,8.8,11.0,WNW,33,13:38,28.7,68,1,NW,7,1013.9,32.0,52,2,NW,22,1010.5
,2013-10-3,24.8,32.5,0,8.0,6.9,SSE,57,18:41,29.1,71,4,SW,11,1014.3,31.8,53,5,NW,24,1009.3
,2013-10-4,21.5,34.2,18.2,7.2,11.3,NW,41,16:03,28.8,65,3,SSE,17,1013.1,32.2,55,2,NW,26,1008.2
,2013-10-5,24.8,34.5,0,7.8,10.4,WNW,39,14:43,29.8,64,1,W,11,1012.1,33.3,45,2,WNW,33,1007.4
,2013-10-6,24.5,33.6,0,7.6,11.3,WNW,33,14:08,28.9,64,1,N,15,1012.2,31.9,46,2,NW,24,1008.1
,2013-10-7,24.0,32.8,0,10.2,9.9,WNW,39,15:20,29.2,68,3,NNW,9,1011.8,31.8,51,5,WNW,31,1007.8
,2013-10-8,25.9,34.1,0,6.6,8.4,WNW,41,14:07,29.9,65,2,NW,15,1012.2,31.9,58,7,WNW,35,1008.2
,2013-10-9,25.0,34.5,2.0,8.0,9.8,WNW,37,15:53,29.9,74,4,WNW,13,1012.8,33.3,47,4,NW,28,1008.5
,2013-10-10,25.6,36.6,0,7.6,9.4,N,39,15:19,30.7,69,7,W,9,1012.3,35.6,24,6,NNE,26,1008.8
,2013-10-11,24.1,34.4,0,10.2,10.8,N,39,13:40,28.9,66,7,NNE,15,1012.2,33.2,44,7,NNW,20,1007.8
,2013-10-12,24.1,33.8,0,9.6,10.3,NW,35,15:40,29.5,64,6,WSW,9,1011.8,32.7,50,3,NW,24,1006.9
,2013-10-13,25.2,34.7,0,7.2,10.7,NNE,35,11:49,30.0,66,1,NW,11,1011.0,34.1,42,3,N,22,1007.7
,2013-10-14,28.0,35.0,0,8.4,5.0,SSW,52,16:40,29.3,71,7,N,9,1013.2,31.4,62,7,NNW,22,1008.9
,2013-10-15,22.7,33.9,14.4,7.8,6.9,E,43,15:56,29.3,70,7,ENE,11,1014.6,32.5,51,7,NNE,17,1010.8
,2013-10-16,24.0,36.1,2.8,5.0,7.2,SSE,35,12:57,28.4,70,7,SSE,17,1014.2,33.2,53,4,NW,24,1009.6
,2013-10-17,27.2,32.6,0,7.8,4.4,NW,33,16:48,29.6,74,7,W,13,1013.6,31.6,62,7,NW,17,1010.2
,2013-10-18,24.6,33.9,0,6.4,9.5,SSE,48,18:25,29.1,71,4,N,9,1013.1,32.2,57,1,N,22,1009.0
,2013-10-19,25.2,34.7,0,7.2,10.7,SSE,44,19:58,30.0,67,4,SE,7,1012.7,32.4,61,3,WNW,19,1008.5
,2013-10-20,25.2,34.0,0,7.6,10.4,N,44,15:50,29.6,71,6,NE,9,1012.3,33.1,48,3,N,28,1007.8
,2013-10-21,25.8,33.6,0,7.8,9.7,WNW,35,14:34,29.6,63,6,NNE,4,1011.9,32.3,54,4,NW,24,1007.5
,2013-10-22,26.8,33.8,0,6.8,10.8,NW,33,18:40,30.7,62,1,NNW,11,1011.1,32.0,67,5,NW,19,1008.1
,2013-10-23,25.8,33.0,7.8,7.8,8.5,NW,31,13:27,30.0,66,6,W,13,1011.3,31.3,65,6,NW,20,1007.2
,2013-10-24,23.2,32.6,26.8,8.6,8.6,NW,39,21:41,29.5,72,4,ENE,13,1011.4,29.1,76,4,NNW,26,1008.0
,2013-10-25,25.1,34.3,2.8,4.6,10.4,S,39,19:30,30.0,65,4,ENE,15,1013.3,32.3,61,5,NW,20,1008.8
,2013-10-26,20.5,34.4,17.6,9.2,9.3,ENE,72,03:09,29.9,61,6,ESE,15,1013.9,32.0,64,4,WNW,33,1009.4
,2013-10-27,25.2,33.4,5.6,7.0,8.5,NNW,33,15:07,30.3,68,6,N,13,1014.1,31.2,64,5,N,19,1009.2
,2013-10-28,23.9,34.1,0.4,5.2,9.6,NNE,50,01:29,27.7,75,6,S,11,1013.6,32.8,46,4,N,22,1009.5
,2013-10-29,24.7,34.2,0,8.0,9.2,N,39,16:13,29.8,64,3,NE,15,1013.3,30.3,64,7,NNW,26,1009.3
,2013-10-30,25.3,33.4,0.2,7.6,9.2,NW,33,13:22,28.0,76,6,SSW,17,1013.8,32.4,55,5,NW,28,1008.5
,2013-10-31,25.6,35.7,0,7.8,11.8,NNW,44,14:51,29.8,69,2,NNE,15,1013.2,35.0,31,1,N,24,1008.5
