"Daily Weather Observations for Darwin, Northern Territory for November 2013"
"Prepared at 13:09 UTC on Saturday  9 August 2014   IDCJDW8014.201311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-11-1,25.7,33.9,0,9.6,8.4,SW,41,16:09,31.1,59,1,N,9,1011.9,33.1,60,3,NW,28,1008.4
,2013-11-2,25.1,33.3,0.8,5.6,11.9,NW,30,13:29,30.5,64,5,N,9,1012.5,31.6,60,2,NNW,22,1008.4
,2013-11-3,25.3,34.4,0,7.6,10.4,N,35,14:04,30.2,64,3,N,11,1012.4,29.2,73,6,N,20,1009.0
,2013-11-4,24.9,35.0,0.4,7.0,11.0,NNW,43,14:20,30.7,64,3,ENE,11,1012.2,34.1,46,6,NNW,26,1008.5
,2013-11-5,21.3,33.2,105.0,,7.7,E,31,14:10,25.2,85,7,S,15,1011.4,32.4,49,5,E,20,1008.6
,2013-11-6,24.6,33.3,0,5.0,11.0,NW,37,21:24,29.3,68,4,NE,13,1012.1,32.2,57,2,N,22,1007.9
,2013-11-7,24.7,33.5,0,7.2,11.5,NW,33,21:54,30.3,62,5,E,13,1010.9,32.7,51,2,NNW,17,1007.1
,2013-11-8,25.5,33.3,1.2,9.4,11.5,NNW,41,21:33,30.6,64,2,E,9,1010.7,32.0,58,3,NNW,20,1006.3
,2013-11-9,25.1,33.9,0,7.4,10.7,NW,33,16:02,29.9,64,3,NNW,9,1010.8,32.4,55,3,NW,20,1007.2
,2013-11-10,23.4,33.5,9.4,7.8,10.4,S,35,17:22,30.4,64,7,NE,15,1010.3,32.9,49,7,WNW,24,1005.6
,2013-11-11,26.0,33.8,0,6.4,5.8,E,72,15:42,30.0,67,6,WSW,13,1008.5,32.5,62,3,WNW,28,1005.0
,2013-11-12,22.3,34.3,14.4,6.6,10.4,NE,89,15:57,28.9,74,1,E,9,1008.2,33.1,59,2,WNW,17,1004.2
,2013-11-13,24.1,34.6,2.8,6.0,9.5,NE,50,16:20,29.1,66,3,SSE,4,1009.1,33.8,48,4,W,17,1005.3
,2013-11-14,22.8,34.3,31.8,8.6,10.2,NE,54,23:38,28.2,70,7,ENE,19,1010.3,32.7,57,7,N,11,1007.2
,2013-11-15,23.2,31.1,17.2,6.8,1.4,NE,44,00:01,25.9,89,7,S,13,1011.3,30.7,71,7,E,7,1008.1
,2013-11-16,25.9,33.3,0,3.4,8.1,E,59,17:52,30.4,70,4,SSW,7,1008.8,32.7,65,3,WNW,24,1005.0
,2013-11-17,22.8,33.4,10.2,6.2,10.9,ENE,50,21:08,31.2,70,4,WSW,13,1008.0,32.8,58,2,WNW,28,1004.3
,2013-11-18,23.9,33.3,9.8,7.8,10.1,S,39,14:26,30.9,70,3,W,15,1007.4,29.2,68,7,SW,19,1004.9
,2013-11-19,24.0,29.4,26.4,6.4,0.0,,,,24.2,94,8,N,15,1008.9,28.3,73,7,N,20,1006.1
,2013-11-20,23.5,31.8,3.2,2.2,5.3,SSW,41,16:17,28.7,79,7,ENE,6,1008.7,31.7,62,7,WSW,17,1005.8
,2013-11-21,24.4,31.6,4.0,3.4,3.3,WNW,31,12:53,28.4,81,6,S,2,1007.9,30.0,73,7,NW,17,1005.3
,2013-11-22,25.4,31.3,0,4.0,2.6,SSW,37,13:11,29.9,72,7,WSW,6,1008.1,28.5,85,7,SSW,11,1005.3
,2013-11-23,25.3,31.1,2.6,4.0,1.6,SSE,46,12:21,30.3,74,7,WSW,11,1007.2,24.2,98,8,ENE,9,1004.9
,2013-11-24,23.6,30.6,58.2,4.4,1.9,WSW,61,20:44,24.8,90,7,SW,17,1007.9,24.1,91,7,S,11,1004.6
,2013-11-25,23.8,31.7,14.8,4.4,3.5,W,41,17:20,26.2,86,7,NW,6,1006.8,30.5,66,7,W,28,1003.3
,2013-11-26,26.2,32.5,0,5.2,10.2,W,48,14:41,29.5,72,6,W,20,1006.2,31.6,64,4,W,31,1003.7
,2013-11-27,26.5,32.4,0,7.2,6.5,WNW,46,14:00,30.0,67,6,WNW,24,1007.2,30.6,67,7,WNW,33,1004.5
,2013-11-28,24.6,32.8,2.0,5.6,10.9,WNW,48,14:25,30.0,70,4,W,20,1007.8,32.1,58,4,W,28,1005.1
,2013-11-29,26.0,32.7,0,8.6,5.5,,,,26.5,81,7,SW,13,1008.3,32.3,58,5,WNW,28,1005.8
,2013-11-30,26.4,32.5,0,7.2,7.5,WNW,37,16:50,29.6,71,7,W,13,1008.5,31.9,61,6,WNW,26,1005.2
