"Daily Weather Observations for Darwin, Northern Territory for February 2014"
"Prepared at 13:09 UTC on Wednesday 20 August 2014   IDCJDW8014.201402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-02-1,23.5,30.3,61.8,7.0,1.6,W,65,08:17,27.1,87,7,WNW,37,1002.2,29.1,73,8,W,46,1000.9
,2014-02-2,25.3,31.2,3.8,5.6,1.2,NNW,57,13:27,26.8,91,7,NNW,15,1005.7,28.7,83,7,NNW,20,1001.8
,2014-02-3,23.8,29.8,22.4,6.4,3.4,W,81,03:26,28.1,79,7,WNW,39,1003.6,29.8,72,7,WNW,44,1001.3
,2014-02-4,24.9,30.1,8.0,7.2,2.7,WSW,65,17:05,28.1,82,7,WNW,31,1003.5,29.5,81,8,WNW,37,1001.3
,2014-02-5,23.4,30.5,14.4,5.8,1.9,WNW,56,14:08,28.3,82,7,W,28,1005.0,28.4,82,7,W,28,1002.2
,2014-02-6,24.5,29.4,14.8,4.2,1.1,W,69,12:28,28.2,84,7,WNW,30,1004.8,27.1,88,8,WNW,19,1002.8
,2014-02-7,24.6,31.3,6.8,4.6,4.9,WNW,52,13:06,29.0,79,7,WNW,33,1003.2,30.2,72,7,NW,35,1001.1
,2014-02-8,25.4,32.0,2.8,4.4,6.1,NNW,46,06:31,27.9,87,8,N,24,1004.3,31.1,64,5,N,28,1001.9
,2014-02-9,27.1,33.4,0,5.0,6.6,NNW,50,16:32,28.2,85,7,N,20,1006.7,31.9,65,6,NNW,17,1004.0
,2014-02-10,25.1,32.4,8.8,6.0,7.7,N,48,15:22,28.5,82,6,N,15,1007.4,31.6,61,3,NW,22,1004.9
,2014-02-11,27.1,32.5,0,6.6,5.3,NW,33,14:44,28.5,84,7,NNW,15,1006.7,32.3,64,7,NW,22,1004.3
,2014-02-12,26.2,31.8,0,7.6,1.5,WSW,48,16:59,27.1,85,8,SSE,9,1008.0,31.2,56,8,NNW,19,1006.1
,2014-02-13,24.4,31.9,30.8,3.8,8.5,,,,27.1,84,7, ,Calm,1009.3,31.3,59,7,NW,17,1006.8
,2014-02-14,25.7,31.9,0,6.2,9.4,NW,39,15:48,28.8,74,7,WNW,9,1008.0,31.0,65,7,WNW,28,1004.9
,2014-02-15,26.8,31.9,0.6,7.0,10.0,WNW,39,15:26,28.7,76,7,W,15,1008.0,31.3,66,7,WNW,28,1004.8
,2014-02-16,26.7,30.3,2.0,8.2,2.7,WNW,57,12:15,28.8,79,7,WNW,24,1008.9,29.4,74,7,W,26,1006.6
,2014-02-17,26.5,29.5,2.2,4.0,1.2,,,,29.4,76,7,W,24,1008.0,24.6,96,7,WNW,24,1004.9
,2014-02-18,21.6,27.3,106.4,6.4,0.0,WNW,48,12:35,25.3,91,7,W,9,1006.7,26.5,87,7,W,26,1004.6
,2014-02-19,23.6,30.6,49.0,4.4,5.2,WNW,46,02:42,24.2,93,8,NW,15,1008.1,29.6,68,6,SW,15,1004.8
,2014-02-20,24.2,31.9,0.2,4.4,9.3,SSE,52,16:54,28.4,80,1,W,20,1009.2,31.1,64,4,W,31,1006.2
,2014-02-21,23.3,31.3,9.6,7.6,10.3,WNW,37,16:29,27.8,77,6,E,7,1010.4,30.6,70,7,WNW,24,1007.0
,2014-02-22,26.2,33.7,0,6.0,8.7,WNW,46,14:42,28.2,84,7,S,19,1009.4,31.8,50,7,WNW,26,1006.5
,2014-02-23,25.6,32.4,0,5.6,9.4,S,44,20:05,28.8,76,5,W,13,1009.0,31.5,65,6,WNW,31,1005.9
,2014-02-24,25.3,32.1,1.2,7.0,11.2,NW,39,13:43,29.1,71,6,WNW,20,1010.0,30.9,62,6,WNW,30,1007.0
,2014-02-25,26.2,31.8,0,7.4,10.2,WNW,41,13:27,29.0,72,5,WNW,17,1010.3,30.8,61,3,WNW,28,1006.8
,2014-02-26,26.2,31.6,1.0,8.0,7.1,NW,44,10:01,29.5,71,3,WNW,22,1010.1,31.0,67,7,WNW,31,1006.7
,2014-02-27,25.8,30.9,9.2,7.6,4.9,WNW,43,13:15,27.8,78,3,WSW,17,1009.8,28.3,82,7,W,24,1007.3
,2014-02-28,26.2,31.4,13.2,7.6,10.0,WNW,44,14:46,28.6,76,6,WNW,17,1010.1,30.8,63,5,WNW,31,1007.4
