"Daily Weather Observations for Darwin, Northern Territory for July 2014"
"Prepared at 13:10 UTC on Thursday 21 August 2014   IDCJDW8014.201407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-07-1,15.4,28.2,0,8.2,10.5,ESE,44,10:27,19.0,30,2,SE,24,1018.9,26.8,22,5,E,15,1015.0
,2014-07-2,17.6,28.4,0,5.6,10.5,ESE,37,10:13,20.2,41,8,ESE,17,1017.6,27.3,28,7,E,15,1013.0
,2014-07-3,17.4,29.4,0,7.4,10.0,NE,33,15:45,20.5,51,8,SE,15,1015.3,28.5,41,4,ENE,15,1011.0
,2014-07-4,18.3,30.2,0,4.0,9.7,E,37,10:37,23.1,62,3,ENE,22,1015.1,29.0,38,1,W,15,1011.5
,2014-07-5,19.2,31.2,0,4.6,10.5,SE,50,12:26,24.1,72,4,E,13,1015.9,30.3,29,4,E,19,1011.8
,2014-07-6,18.6,31.1,0,5.6,11.0,E,44,11:36,22.2,61,1,SE,17,1015.9,30.3,22,2,ENE,19,1012.2
,2014-07-7,17.6,30.5,0,6.4,10.8,E,35,13:33,21.4,42,5,SE,15,1014.8,30.4,19,1,WNW,22,1010.8
,2014-07-8,16.5,28.9,0,6.8,10.6,NNW,28,14:14,24.2,62,3,SE,6,1013.7,27.5,55,2,NNW,22,1010.3
,2014-07-9,17.5,30.7,0,5.0,10.4,ESE,30,13:45,22.3,68,6,SSE,15,1013.7,29.6,39,6,NNW,20,1010.4
,2014-07-10,18.4,30.2,0,3.6,10.6,NNE,43,14:59,22.5,81,3,E,13,1014.5,29.3,48,3,NNE,22,1011.2
,2014-07-11,19.4,30.1,0,5.4,10.7,E,37,10:08,22.9,62,7,E,22,1015.6,29.2,38,1,NE,22,1011.6
,2014-07-12,18.8,31.1,0,7.0,10.9,E,43,13:39,22.5,68,1,E,28,1016.2,30.4,17,0,E,24,1011.7
,2014-07-13,21.4,30.5,0,6.8,10.1,N,37,15:31,22.9,74,3,SE,19,1014.3,29.3,48,4,N,24,1010.4
,2014-07-14,20.9,30.3,0,4.4,10.8,E,37,09:38,24.3,69,1,E,22,1014.9,29.6,46,1,NE,24,1010.9
,2014-07-15,20.3,32.1,0,6.0,10.9,NE,33,17:38,24.3,79,1,NE,17,1014.0,31.6,42,3,NNW,13,1010.4
,2014-07-16,20.1,31.7,0,5.0,9.5,ENE,31,09:43,24.6,80,5,E,15,1015.6,31.1,39,5,NW,19,1011.7
,2014-07-17,19.9,32.8,0,5.8,10.9,ENE,54,15:50,24.3,64,2,E,22,1015.6,32.0,27,1,E,28,1011.3
,2014-07-18,20.6,32.2,0,9.2,9.3,ESE,52,10:09,25.1,35,6,ESE,31,1016.1,31.1,30,1,ENE,28,1011.3
,2014-07-19,19.0,31.0,0,7.4,11.1,ESE,44,10:06,23.2,22,2,ESE,28,1016.8,30.1,24,1,ESE,20,1011.8
,2014-07-20,18.1,31.5,0,7.0,11.1,E,33,11:10,23.3,50,0,E,17,1016.9,29.2,39,0,NW,17,1012.8
,2014-07-21,18.3,31.9,0,6.4,10.9,SE,33,11:04,23.7,73,1,E,15,1016.5,29.7,39,5,NW,20,1012.3
,2014-07-22,17.7,31.6,0,5.4,10.7,ESE,41,12:07,22.9,73,4,E,17,1016.9,31.3,20,5,ESE,19,1011.6
,2014-07-23,18.7,30.6,0,7.4,11.0,E,35,11:14,22.6,77,1,ESE,15,1015.8,30.2,28,1,NW,17,1010.9
,2014-07-24,17.3,29.6,0,6.0,11.0,E,28,08:47,22.7,72,1,E,20,1015.4,27.9,57,1,NNW,19,1011.5
,2014-07-25,19.2,30.3,0,5.8,9.0,NE,33,12:17,23.9,78,1,E,13,1016.9,28.4,60,3,NNW,24,1013.6
,2014-07-26,20.0,32.2,0,4.8,10.7,ESE,48,13:03,24.7,78,1,ENE,15,1017.6,32.0,26,1,SSE,15,1013.7
,2014-07-27,19.0,32.7,0,5.0,10.8,E,43,11:33,24.6,73,3,SE,13,1017.5,32.3,32,4,ENE,20,1012.7
,2014-07-28,19.4,33.1,0,7.6,10.7,,,,25.9,67,5,ESE,11,1016.8,32.2,24,3,E,15,1012.4
,2014-07-29,19.8,33.6,0,7.0,11.0,ESE,54,12:13,25.5,70,1,E,15,1016.7,33.1,22,1,ENE,30,1012.3
,2014-07-30,19.8,33.5,0,7.2,10.9,E,46,13:09,24.8,73,2,SE,13,1016.4,32.5,21,2,ESE,26,1011.9
,2014-07-31,21.0,33.0,0,7.0,11.0,ENE,35,12:39,25.9,76,3,ENE,11,1015.8,30.6,50,2,NW,24,1011.5
