"Daily Weather Observations for Darwin, Northern Territory for August 2014"
"Prepared at 13:11 UTC on Wednesday 12 August 2015   IDCJDW8014.201408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-08-1,20.8,32.4,0,7.2,10.3,N,37,13:08,25.5,78,5,E,9,1015.2,31.2,49,2,N,26,1010.6
,2014-08-2,21.3,33.4,0,5.8,10.5,ESE,50,12:31,25.8,75,7,ENE,17,1015.6,32.3,37,6,NNE,28,1011.0
,2014-08-3,21.1,32.6,0,7.4,11.0,ESE,44,10:26,25.0,43,3,E,30,1017.4,32.0,29,7,ENE,24,1012.8
,2014-08-4,20.8,32.6,0,7.8,11.2,ESE,54,13:40,23.5,30,1,SE,26,1018.5,32.1,18,3,ESE,30,1013.5
,2014-08-5,19.4,30.5,0,12.4,11.0,ESE,46,09:21,21.6,11,1,SE,30,1019.2,29.9,7,0,SE,19,1014.2
,2014-08-6,17.8,31.4,0,11.6,11.1,ESE,39,10:33,21.5,13,1,SE,26,1017.3,29.5,28,0,NW,22,1012.8
,2014-08-7,18.2,33.0,0,9.0,10.5,E,39,12:42,24.4,48,0,SE,9,1017.0,31.7,37,4,NE,19,1012.2
,2014-08-8,20.7,33.8,0,5.8,10.7,ESE,52,10:10,26.5,53,1,ESE,19,1016.7,33.2,23,1,NNE,20,1012.3
,2014-08-9,18.7,33.7,0,8.0,10.8,ESE,48,12:23,24.8,57,1,SE,22,1017.3,32.8,18,0,SE,13,1013.5
,2014-08-10,18.9,32.2,0,7.4,10.8,ENE,43,11:05,23.7,69,1,ESE,15,1017.0,31.4,19,1,ESE,17,1012.8
,2014-08-11,18.1,32.7,0,8.0,10.9,E,48,11:37,24.0,67,1,SE,13,1016.4,31.4,18,1,SE,24,1012.2
,2014-08-12,18.4,33.2,0,7.0,10.9,ESE,50,12:12,23.7,73,2,SSE,13,1016.2,31.9,20,4,ESE,22,1011.8
,2014-08-13,18.7,31.4,0,10.4,11.2,ESE,48,12:15,22.8,32,2,SE,26,1016.9,30.9,13,3,SE,24,1013.5
,2014-08-14,18.0,30.9,0,11.4,11.1,SE,39,09:36,21.0,20,2,SE,26,1018.6,30.2,17,1,ENE,9,1014.9
,2014-08-15,19.0,30.8,0,7.8,11.2,SE,56,09:08,21.5,16,1,SE,30,1018.3,29.3,11,3,S,19,1013.8
,2014-08-16,17.7,30.3,0,9.4,11.2,SE,52,09:15,21.3,14,1,SE,30,1016.4,29.8,18,1,ENE,15,1012.2
,2014-08-17,16.8,30.6,0,8.0,11.3,ESE,44,09:52,20.9,17,1,SE,22,1016.5,29.5,8,1,SE,11,1012.6
,2014-08-18,15.3,30.2,0,8.4,11.3,ESE,44,10:17,22.4,21,1,ESE,20,1017.6,28.8,23,0,NNW,19,1013.5
,2014-08-19,15.0,30.5,0,7.6,11.2,E,39,12:27,20.7,33,0,SE,22,1017.5,28.6,34,1,NNW,22,1013.4
,2014-08-20,16.2,30.7,0,6.0,11.1,NE,37,12:18,21.8,34,0,E,24,1016.3,28.6,45,0,N,24,1012.6
,2014-08-21,18.2,32.1,0,5.8,11.2,E,50,11:51,22.3,30,0,ESE,22,1015.7,31.2,10,0,S,20,1012.0
,2014-08-22,15.6,30.8,0,10.6,11.3,E,52,11:02,22.1,33,0,ESE,19,1017.1,30.1,7,0,SSE,19,1011.9
,2014-08-23,13.0,30.7,0,6.0,11.1,E,37,12:06,20.4,62,0,SSE,9,1016.7,29.0,28,0,WNW,20,1012.7
,2014-08-24,15.6,31.7,0,5.6,10.9,NW,41,14:32,23.8,48,2,NNE,9,1015.7,30.9,33,7,N,28,1012.0
,2014-08-25,17.3,33.8,0,6.8,10.6,ESE,44,11:10,23.6,66,1,SSE,17,1016.0,32.8,17,0,SSE,20,1011.7
,2014-08-26,18.9,32.7,0,7.6,11.4,E,57,11:11,25.2,29,1,ESE,17,1015.9,32.2,12,1,E,13,1011.4
,2014-08-27,16.2,32.9,0,9.6,11.1,E,52,11:27,24.3,48,0,ENE,13,1015.0,32.2,13,1,E,22,1010.9
,2014-08-28,15.4,32.7,0,7.6,11.3,ESE,50,10:43,24.5,47,1,ESE,17,1015.4,29.6,26,0,N,26,1011.6
,2014-08-29,16.3,32.3,0,7.2,11.3,E,39,11:17,24.2,56,0,SSE,7,1015.8,30.1,26,0,NNW,24,1012.3
,2014-08-30,16.8,32.0,0,8.0,11.2,N,31,15:08,25.2,66,0,N,6,1015.7,29.9,36,0,NNW,20,1011.0
,2014-08-31,17.9,31.3,0,8.2,10.8,ESE,30,11:26,25.3,68,0,NE,13,1015.1,29.2,36,2,N,22,1010.4
