"Daily Weather Observations for Darwin, Northern Territory for November 2014"
"Prepared at 13:10 UTC on Sunday  9 August 2015   IDCJDW8014.201411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-11-1,23.2,35.0,0,10.6,11.8,N,37,17:10,29.4,64,1,NNE,9,1012.4,34.1,35,1,N,22,1007.3
,2014-11-2,22.8,35.7,0,8.6,11.5,NW,39,13:38,29.2,61,2,SE,11,1013.1,32.7,47,1,NW,30,1009.1
,2014-11-3,26.0,35.6,0,7.6,10.2,NNW,37,12:05,30.3,58,3,NNE,20,1013.1,33.5,52,6,N,24,1009.5
,2014-11-4,25.8,34.4,0,7.8,10.0,NW,33,12:52,29.8,69,8,NE,13,1013.5,34.2,46,7,NNW,17,1009.1
,2014-11-5,23.5,33.6,5.6,7.6,8.3,SE,63,03:38,25.2,85,7,N,11,1014.0,32.7,56,6,NW,17,1010.1
,2014-11-6,21.5,33.5,20.0,7.0,10.5,ENE,63,00:46,27.3,71,7,SE,20,1014.1,32.6,46,7,NNW,22,1008.5
,2014-11-7,24.0,34.2,0,6.6,9.4,N,41,17:36,29.7,71,6,NNE,15,1012.8,32.1,56,3,NNW,15,1009.9
,2014-11-8,25.2,33.8,0,5.0,11.3,NW,35,20:46,29.9,63,4,SE,9,1013.9,32.3,61,1,NNW,24,1009.5
,2014-11-9,24.9,33.7,0,6.8,11.4,NNW,33,12:31,30.8,59,2,NE,11,1013.5,33.4,51,1,NW,19,1009.0
,2014-11-10,26.5,33.9,0,7.8,11.7,NNW,35,14:38,30.6,56,1,NE,11,1012.7,33.1,50,1,N,28,1008.6
,2014-11-11,26.1,34.8,1.4,7.8,9.4,NW,35,14:14,30.2,66,1,N,15,1011.5,33.5,44,2,NNW,28,1007.1
,2014-11-12,25.3,33.4,0,8.4,9.6,WNW,37,16:24,30.4,60,1,NNE,13,1011.5,32.9,56,2,NW,28,1007.4
,2014-11-13,26.0,34.6,2.4,8.8,11.1,NW,33,15:15,29.6,64,2,N,20,1011.4,33.9,35,1,NNW,24,1007.4
,2014-11-14,26.7,35.7,0,7.2,11.8,N,37,17:09,30.0,60,2,NNW,13,1012.2,33.6,44,1,NNW,24,1008.0
,2014-11-15,26.7,34.5,0,8.0,7.9,SSW,52,12:13,29.9,67,3,NNE,9,1012.9,33.8,44,3,N,22,1007.9
,2014-11-16,25.2,34.1,4.8,8.2,8.6,SE,43,15:23,29.5,71,7,NE,7,1012.4,32.2,53,6,NNW,24,1007.6
,2014-11-17,24.8,34.4,7.4,5.2,11.7,NNE,33,17:00,29.9,63,3,WSW,11,1011.3,33.9,42,3,NNW,20,1007.3
,2014-11-18,23.9,35.5,0,8.6,11.9,NW,31,18:00,30.1,57,1,N,7,1012.3,33.6,39,2,WNW,20,1009.1
,2014-11-19,25.0,34.9,0,8.4,11.3,N,37,16:51,30.1,70,5,ENE,13,1013.7,33.1,50,2,NNW,20,1009.2
,2014-11-20,26.3,34.6,0,7.8,11.0,N,31,12:38,30.9,65,6,NW,13,1012.1,33.7,42,2,NNW,20,1008.1
,2014-11-21,26.5,35.4,0,8.4,10.6,N,33,15:57,31.0,62,4,N,9,1011.9,34.2,50,2,NNW,19,1007.9
,2014-11-22,26.0,35.0,0,6.8,9.9,ENE,44,15:57,30.4,66,6,ENE,9,1012.0,34.3,47,2,NNW,24,1007.9
,2014-11-23,25.8,35.4,0.2,7.0,11.5,NNW,35,16:33,31.0,59,6,NNE,17,1011.8,33.3,59,1,N,28,1007.9
,2014-11-24,25.5,34.7,0,7.6,10.7,S,37,18:55,30.1,61,3,NW,9,1011.0,32.7,54,3,NNW,22,1006.7
,2014-11-25,25.8,34.9,0,8.6,4.9,NE,48,16:21,29.6,69,7,SSE,9,1009.4,34.2,47,7,W,20,1006.0
,2014-11-26,24.1,33.4,13.8,6.6,5.9,N,61,13:29,28.0,78,7,E,15,1009.1,28.6,72,7,NNE,7,1005.8
,2014-11-27,24.4,34.0,4.6,4.4,8.6,NW,37,22:13,30.6,63,7,ENE,11,1009.9,32.1,61,7,W,20,1006.3
,2014-11-28,23.7,30.4,104.8,6.2,1.3,SSW,30,13:51,25.0,96,8,ESE,13,1010.7,28.9,68,7,S,15,1006.9
,2014-11-29,24.9,32.8,0.6,2.0,3.8,NE,28,12:09,30.3,67,6,NNW,13,1009.5,30.5,56,7,NW,9,1005.3
,2014-11-30,26.5,34.0,0.2,3.4,7.0,WNW,31,13:51,30.3,69,7,NNW,13,1008.3,33.2,49,7,NNW,15,1005.0
