"Daily Weather Observations for Darwin, Northern Territory for March 2015"
"Prepared at 13:10 UTC on Wednesday 19 August 2015   IDCJDW8014.201503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-03-1,26.6,32.5,0,5.2,4.2,SW,50,15:03,29.5,80,7,W,15,1007.5,26.8,80,7,SW,28,1004.7
,2015-03-2,25.5,30.0,6.0,4.2,1.2,WSW,33,12:57,28.5,91,7,SW,9,1006.6,26.1,93,8,WNW,15,1003.7
,2015-03-3,24.0,30.8,34.8,3.0,5.1,NNE,37,16:22,26.5,88,8,E,19,1006.1,28.7,82,7,E,19,1004.4
,2015-03-4,25.3,32.2,6.8,3.6,9.1,SE,41,19:11,28.9,83,5,NNE,9,1008.3,31.0,71,5,WNW,15,1005.8
,2015-03-5,24.4,32.8,5.8,5.0,11.0,NW,30,15:35,28.9,83,1,WSW,6,1009.0,32.2,67,5,NW,19,1005.7
,2015-03-6,24.7,32.7,0,5.0,5.6,NW,37,14:04,29.3,77,7,W,9,1007.8,31.2,71,7,W,24,1005.1
,2015-03-7,24.5,31.7,3.0,5.6,4.7,WNW,31,15:20,27.4,81,7,NNW,6,1007.7,30.5,75,7,NW,20,1005.9
,2015-03-8,27.4,33.5,0,3.2,8.7,WNW,39,13:11,29.7,80,7,WNW,11,1010.3,32.3,66,7,WNW,28,1007.2
,2015-03-9,28.2,33.6,0,6.8,8.0,W,41,14:45,30.6,73,5,WSW,19,1010.1,32.8,60,4,W,26,1006.7
,2015-03-10,27.7,33.6,3.6,5.6,10.3,WNW,39,15:49,30.1,77,2,WSW,15,1009.7,32.2,69,6,WNW,30,1006.9
,2015-03-11,28.5,33.9,0,6.6,8.7,WSW,63,15:56,30.5,73,3,WSW,22,1010.4,32.7,66,6,WNW,33,1006.9
,2015-03-12,28.1,34.7,0,5.8,9.8,E,56,18:13,30.5,75,5,SW,22,1010.0,34.4,62,5,W,24,1006.3
,2015-03-13,22.4,34.2,22.2,7.8,9.3,W,41,11:09,30.4,77,3,WSW,22,1008.8,33.8,64,3,W,24,1005.5
,2015-03-14,28.6,33.5,0.8,6.8,8.5,WNW,41,14:39,30.2,80,7,W,15,1009.8,32.5,70,7,WNW,30,1006.5
,2015-03-15,29.1,30.9,0,7.0,3.0,W,52,10:32,30.0,77,7,SW,15,1011.3,29.5,59,7,NW,24,1009.0
,2015-03-16,22.6,32.7,17.0,4.4,8.6,S,41,16:48,30.3,76,3,W,22,1011.3,32.1,69,2,WNW,30,1007.8
,2015-03-17,25.2,33.3,2.0,6.0,8.1,NW,35,12:24,29.5,77,3,SW,9,1010.3,32.5,67,2,WNW,28,1007.1
,2015-03-18,27.4,33.6,0,6.8,11.3,WNW,37,15:15,30.2,73,3,W,17,1010.2,32.7,60,2,WNW,28,1007.3
,2015-03-19,24.7,33.3,0,6.6,9.1,NNW,30,13:53,30.4,77,3,SSW,2,1011.8,29.6,72,4,WNW,11,1009.3
,2015-03-20,25.2,33.4,15.2,4.8,11.0,NW,28,14:36,29.4,76,3,SW,11,1013.1,33.1,63,2,NW,20,1009.4
,2015-03-21,26.4,33.6,0,6.2,9.2,SSE,59,17:52,30.0,75,2,W,13,1011.8,32.7,66,2,WNW,31,1007.9
,2015-03-22,24.9,32.5,0.6,4.6,2.8,ESE,57,21:10,27.0,89,7, ,Calm,1011.0,29.2,86,8,W,30,1007.8
,2015-03-23,25.1,33.2,6.2,5.4,3.0,SSW,31,10:11,29.7,80,7, ,Calm,1009.6,32.3,43,7,S,17,1005.7
,2015-03-24,24.0,31.7,0,4.8,4.9,SSE,50,13:35,28.6,54,6,SSE,17,1010.0,28.3,59,8,ESE,13,1007.8
,2015-03-25,24.1,30.3,0.8,5.8,6.8,S,37,00:03,25.5,82,7,SW,13,1010.0,29.6,65,4,NW,22,1007.4
,2015-03-26,24.7,32.9,1.6,5.4,7.3,NNE,46,15:59,28.6,80,3,NE,19,1011.8,29.9,67,7,NNE,28,1009.4
,2015-03-27,22.8,29.4,102.2,,0.9,E,41,03:21,23.6,96,8,N,11,1015.5,27.8,79,7,NNE,13,1011.4
,2015-03-28,23.3,31.9,2.2,3.6,7.6,WNW,26,13:20,28.0,77,3,ENE,9,1012.9,29.2,80,6,NNW,13,1010.3
,2015-03-29,24.7,33.5,0,3.8,10.5,S,39,01:04,28.7,75,7,E,11,1013.1,33.1,48,7,E,17,1010.0
,2015-03-30,24.5,33.5,0,6.8,11.5,E,35,15:36,28.9,74,1,E,15,1013.1,33.0,46,1,ENE,17,1010.2
,2015-03-31,25.2,34.0,0,6.4,11.1,ENE,33,16:24,29.0,73,6,ESE,13,1013.3,33.6,44,1,NNE,13,1009.3
