"Daily Weather Observations for Darwin, Northern Territory for April 2015"
"Prepared at 13:10 UTC on Tuesday 18 August 2015   IDCJDW8014.201504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-04-1,25.2,33.2,0,8.0,10.5,ESE,44,18:42,29.9,73,2,WNW,7,1012.4,32.7,60,3,WNW,20,1008.4
,2015-04-2,23.7,32.5,8.4,4.6,10.9,SSE,31,21:28,29.8,75,2,WNW,2,1010.2,31.2,68,2,NNW,15,1006.6
,2015-04-3,25.0,33.8,0,6.2,9.4,,,,29.9,73,1,ENE,11,1009.7,31.7,67,4,NNW,26,1006.8
,2015-04-4,25.9,33.5,0,4.8,9.9,ESE,41,19:24,29.9,73,7,SSW,11,1010.2,32.4,64,7,NNW,22,1006.8
,2015-04-5,25.6,33.0,0,6.6,10.1,WNW,28,13:22,29.9,71,7,N,11,1010.3,31.0,64,6,NNW,13,1007.2
,2015-04-6,25.9,33.6,0.4,5.8,9.6,WNW,33,14:20,30.5,74,7,W,11,1009.8,33.1,62,6,WNW,28,1006.3
,2015-04-7,26.6,31.2,0,6.6,2.3,E,46,20:21,30.5,74,7,WSW,17,1009.9,24.9,93,8,SSE,22,1008.4
,2015-04-8,23.7,32.8,7.4,3.4,9.2,ENE,39,12:57,26.4,86,7,ESE,19,1012.0,32.6,51,3,ENE,20,1009.4
,2015-04-9,23.3,33.2,0,7.4,11.3,E,37,10:38,26.8,45,2,SE,22,1012.2,32.6,36,1,ESE,22,1008.7
,2015-04-10,24.0,34.5,0,9.2,11.1,SE,31,14:24,27.7,58,3,ESE,13,1012.2,33.9,31,2,E,13,1008.8
,2015-04-11,23.0,33.9,0,6.8,11.3,NW,33,14:52,28.0,56,3,SE,15,1011.8,32.4,56,3,NNW,17,1008.7
,2015-04-12,24.2,33.8,0,5.4,10.8,WNW,28,12:58,30.0,71,1,E,9,1012.8,32.4,55,3,WNW,17,1009.0
,2015-04-13,25.2,33.0,0,6.4,8.6,NE,52,14:19,30.4,70,1,ENE,7,1012.7,30.3,65,4,NNW,11,1008.8
,2015-04-14,24.8,33.3,1.6,4.0,8.4,N,30,17:26,25.3,93,7,NE,15,1013.0,32.4,58,5,NNW,15,1009.6
,2015-04-15,25.2,33.0,0,5.2,9.8,E,31,12:15,28.6,76,7,E,17,1014.2,31.6,64,7,ESE,17,1010.7
,2015-04-16,25.1,33.6,0.2,5.6,10.6,,,,28.6,64,3,E,24,1014.8,33.0,43,3,E,24,1010.8
,2015-04-17,25.3,34.0,0,6.8,9.6,NNE,37,17:46,28.7,66,7,E,19,1013.2,33.5,45,1,ENE,20,1008.7
,2015-04-18,25.7,34.0,0,6.8,10.0,WSW,41,14:17,28.7,75,5,ESE,17,1012.2,31.5,65,6,WNW,24,1008.4
,2015-04-19,25.1,34.5,3.2,5.4,11.3,E,37,14:45,29.1,76,2,E,13,1012.4,33.2,39,3,ENE,24,1008.8
,2015-04-20,25.5,33.4,0,6.2,9.9,ESE,52,10:09,27.4,66,7,SE,28,1012.3,33.0,44,6,E,30,1008.9
,2015-04-21,24.8,32.3,0,10.2,8.5,ESE,44,12:14,26.9,45,7,SE,26,1012.3,31.3,39,6,E,22,1009.3
,2015-04-22,23.6,32.1,0,8.6,8.2,ESE,33,12:17,25.9,50,8,SE,22,1012.0,31.5,48,7,ENE,22,1009.3
,2015-04-23,24.1,33.5,0,5.6,10.9,NE,30,00:39,27.5,74,6,E,13,1011.4,32.8,48,4,NNE,19,1007.7
,2015-04-24,24.7,33.9,0,8.0,10.9,NW,26,13:06,28.8,69,7,SSE,13,1010.9,32.1,51,2,NW,17,1007.8
,2015-04-25,23.8,33.9,0,6.4,10.8,W,31,14:14,28.3,67,6,E,13,1010.9,31.2,59,3,NNW,15,1008.3
,2015-04-26,22.6,32.3,0,6.2,10.5,ESE,39,12:43,25.6,41,5,SE,22,1013.0,31.2,29,7,ESE,19,1010.6
,2015-04-27,20.7,31.8,0,8.6,10.1,ESE,43,10:05,24.8,38,7,SE,24,1014.3,30.5,27,7,ESE,13,1010.8
,2015-04-28,21.8,32.5,0,7.0,8.5,E,41,11:24,23.9,42,7,ESE,17,1013.5,31.9,27,7,E,26,1010.6
,2015-04-29,21.9,33.2,0,7.0,10.9,E,46,12:05,25.4,39,7,SE,22,1014.6,32.8,21,6,ESE,20,1010.8
,2015-04-30,20.4,33.0,0,7.4,11.1,ESE,48,13:50,24.4,46,3,SE,19,1013.8,32.3,22,6,ESE,24,1010.6
