"Daily Weather Observations for Darwin, Northern Territory for May 2015"
"Prepared at 13:11 UTC on Monday 17 August 2015   IDCJDW8014.201505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-05-1,19.6,33.3,0,11.4,11.1,E,35,09:48,25.2,40,1,SE,19,1014.0,32.7,23,6,E,13,1009.8
,2015-05-2,19.8,33.0,0,6.6,11.1,ENE,31,11:47,26.1,42,3,E,20,1013.7,32.4,26,4,ENE,15,1009.8
,2015-05-3,19.5,32.7,0,6.8,10.8,NW,24,14:11,25.1,72,6,S,11,1014.1,31.6,35,6,WNW,15,1010.3
,2015-05-4,19.2,32.0,0,6.0,10.1,WNW,28,14:11,25.4,69,6,SSE,6,1013.2,31.0,37,6,WNW,19,1010.3
,2015-05-5,18.6,33.1,0,4.6,10.1,NNW,28,14:01,26.0,68,6,NE,4,1012.2,31.4,34,7,NNW,17,1008.7
,2015-05-6,21.2,31.9,0,5.0,10.7,N,28,15:53,27.6,71,2,SW,9,1012.4,31.3,55,1,NNW,17,1009.4
,2015-05-7,23.1,34.6,0,4.6,11.0,S,44,11:36,27.8,76,1,WSW,13,1014.8,34.1,23,1,E,24,1010.7
,2015-05-8,20.9,33.2,0,9.4,11.1,,52,11:03,25.2,36,0,ESE,22,1014.6,32.7,22,1,E,28,1010.3
,2015-05-9,20.1,32.5,0,8.0,11.0,NNE,35,11:11,24.3,35,1,SE,20,1013.8,31.4,25,0,E,19,1010.8
,2015-05-10,20.0,32.9,0,7.5,10.8,,31,12:08,26.7,44,4,E,9,1014.1,31.2,49,5,W,24,1011.2
,2015-05-11,22.5,33.4,0,6.2,11.2,NNE,46,12:58,26.5,55,1,E,19,1015.3,32.8,28,0,E,26,1011.7
,2015-05-12,21.7,33.6,0,7.6,11.2,E,37,12:28,27.3,58,0,ENE,19,1015.4,32.9,23,0,E,22,1011.8
,2015-05-13,17.4,33.4,0,6.8,10.5,E,39,15:04,24.4,43,1,SE,17,1015.9,32.1,18,1,ESE,20,1012.0
,2015-05-14,17.6,30.9,0,,10.9,ESE,50,10:21,22.3,38,0,SE,28,1017.2,30.3,19,1,ESE,24,1013.5
,2015-05-15,18.1,29.2,0,10.6,11.1,SE,50,09:29,20.2,18,0,SE,31,1018.0,27.9,16,0,SSE,24,1013.6
,2015-05-16,17.1,30.3,0,9.4,10.8,ESE,41,10:56,19.6,26,1,SE,22,1015.7,29.6,28,0,ENE,19,1011.7
,2015-05-17,19.5,32.0,0,6.2,11.0,E,37,10:35,23.5,45,1,ESE,17,1014.9,31.5,45,1,NE,26,1011.3
,2015-05-18,22.6,34.1,0,4.0,10.6,NNE,37,15:27,26.8,66,3,E,20,1014.5,33.6,37,1,ESE,19,1011.2
,2015-05-19,22.9,33.1,0,7.4,10.9,ENE,37,09:58,27.6,76,1,E,19,1015.1,32.5,43,1,NNE,22,1011.0
,2015-05-20,22.8,32.1,0,6.4,10.7,NW,28,13:16,28.4,68,1,E,11,1015.6,30.9,60,1,NNW,17,1012.2
,2015-05-21,22.9,32.3,0,4.0,10.9,NNW,31,14:01,28.1,77,1,NE,9,1016.2,30.5,64,3,NNW,17,1012.9
,2015-05-22,22.6,33.3,0,4.6,10.1,ESE,37,12:13,27.5,78,1,E,11,1015.8,32.8,38,2,E,24,1012.8
,2015-05-23,21.5,33.2,0,6.6,11.2,ESE,43,09:59,24.5,50,0,SE,24,1016.7,32.5,29,0,ESE,19,1012.3
,2015-05-24,19.8,32.3,0,6.8,11.2,E,41,11:28,22.8,41,0,SE,20,1015.9,31.5,20,1,ENE,17,1012.3
,2015-05-25,19.7,32.9,0,8.0,10.5,E,35,11:10,25.6,44,3,ENE,17,1016.9,32.2,35,1,E,15,1013.2
,2015-05-26,22.2,34.9,0,5.6,10.8,E,39,10:44,27.3,58,1,E,20,1016.3,32.6,46,2,N,20,1012.0
,2015-05-27,22.6,34.2,0,5.2,11.0,E,44,12:37,27.6,73,6,E,13,1014.6,33.7,29,5,ENE,22,1010.4
,2015-05-28,23.1,33.6,0,7.4,10.8,E,35,14:19,27.0,72,7,E,15,1014.1,32.5,34,7,ESE,19,1010.7
,2015-05-29,22.2,33.6,0,5.4,6.4,E,44,12:01,26.6,69,2,ESE,15,1014.6,32.3,44,7,ENE,30,1011.2
,2015-05-30,25.8,30.0,0,6.8,0.0,E,57,19:05,27.0,65,7,SE,15,1013.8,29.1,62,7,E,17,1010.5
,2015-05-31,22.9,28.8,13.8,3.4,1.4,E,39,11:42,24.9,85,7,ESE,20,1013.2,27.4,76,7,E,15,1010.3
