"Daily Weather Observations for Darwin, Northern Territory for July 2015"
"Prepared at 13:11 UTC on Friday 21 August 2015   IDCJDW8014.201507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-07-1,19.3,32.7,0,6.2,10.7,ESE,39,13:13,24.7,66,2,SE,11,1018.3,32.1,31,5,E,17,1013.5
,2015-07-2,22.6,32.5,0,7.4,7.8,E,56,11:30,25.8,55,6,ESE,24,1017.6,32.2,30,1,ENE,31,1012.8
,2015-07-3,21.6,32.1,0,6.4,11.1,E,41,13:37,25.4,52,6,ESE,19,1016.7,31.4,28,2,ESE,17,1012.3
,2015-07-4,17.9,31.4,0,7.2,11.0,ENE,37,10:31,23.1,40,0,E,20,1015.8,30.6,27,0,NW,20,1010.7
,2015-07-5,16.2,29.9,0,6.0,10.6,NW,28,12:55,22.3,48,1,SSE,19,1015.3,28.8,41,2,NNW,20,1012.2
,2015-07-6,19.6,32.0,0,6.0,10.1,E,50,10:11,24.5,63,3,E,31,1013.9,31.7,38,1,ENE,24,1009.8
,2015-07-7,22.0,31.7,0,7.0,8.4,E,44,11:05,24.9,64,6,ENE,28,1013.9,31.4,29,7,N,20,1010.3
,2015-07-8,21.2,31.1,0,7.0,10.8,ENE,46,11:30,24.3,68,7,ENE,24,1014.2,30.2,39,7,NNE,22,1010.4
,2015-07-9,20.5,31.3,0,5.8,10.9,E,39,11:08,24.1,59,3,ENE,24,1015.0,30.9,33,1,NNE,24,1011.9
,2015-07-10,20.0,32.2,0,6.0,10.8,E,31,10:37,23.9,84,1,E,15,1016.8,31.4,33,1,N,17,1013.0
,2015-07-11,19.2,32.8,0,6.8,11.0,E,33,10:29,25.1,77,0,E,11,1017.3,30.8,47,0,WNW,20,1013.8
,2015-07-12,18.6,33.6,0,5.6,10.9,E,46,11:37,24.4,75,0,ESE,13,1017.8,33.0,16,0,E,24,1013.5
,2015-07-13,18.4,29.0,0,7.6,11.1,ESE,52,09:40,22.0,41,0,SE,22,1019.0,28.2,12,0,ESE,24,1014.3
,2015-07-14,14.8,27.5,0,9.4,11.1,ESE,46,10:49,18.4,27,5,SE,26,1017.6,26.3,23,2,E,15,1013.4
,2015-07-15,16.4,29.0,0,6.8,10.8,ESE,41,10:47,20.2,31,0,ESE,19,1017.1,28.0,19,0,ESE,9,1013.4
,2015-07-16,16.9,30.0,0,6.2,11.0,E,46,11:15,20.3,27,1,SE,22,1017.5,28.8,23,0,SE,13,1013.0
,2015-07-17,17.1,29.2,0,8.6,11.1,ESE,50,10:31,19.8,33,0,SE,22,1018.0,28.3,23,0,S,19,1014.4
,2015-07-18,15.9,28.6,0,6.2,11.2,ESE,44,11:03,19.1,32,1,ESE,20,1018.1,27.6,14,1,ESE,15,1014.3
,2015-07-19,15.6,29.7,0,6.8,11.2,ESE,43,10:51,19.4,32,1,ESE,15,1017.1,28.9,17,0,SE,19,1013.6
,2015-07-20,18.4,30.4,0,8.0,11.0,E,39,10:43,22.1,41,1,E,24,1017.1,29.2,38,1,NW,19,1013.2
,2015-07-21,18.5,31.7,0,5.0,9.7,ENE,37,11:50,24.1,43,0,ENE,17,1017.5,31.5,25,1,SE,13,1013.9
,2015-07-22,16.6,30.5,0,6.6,11.0,NNW,28,16:52,23.4,56,0,ESE,9,1018.0,29.4,43,1,NW,17,1014.2
,2015-07-23,16.2,31.7,0,5.2,11.0,NNW,33,13:49,23.6,71,0,NNE,7,1017.5,30.5,46,1,NNW,20,1013.7
,2015-07-24,18.4,30.7,0,8.4,11.0,NNW,31,15:08,23.4,80,2,ESE,9,1017.7,29.3,56,1,NNW,20,1013.9
,2015-07-25,19.9,31.5,0,3.8,10.9,NW,30,14:32,26.4,71,1,E,11,1017.4,30.0,54,1,NNW,19,1012.9
,2015-07-26,21.1,33.5,0,5.8,10.6,NNW,31,15:41,25.9,76,1,S,6,1017.5,30.7,47,2,NNW,24,1013.8
,2015-07-27,23.9,34.4,0,5.8,8.4,ESE,57,12:45,25.8,72,7,S,15,1018.1,30.2,58,3,N,28,1013.6
,2015-07-28,20.6,32.1,0,8.0,11.0,ESE,48,10:17,23.8,32,0,SE,22,1018.4,31.3,20,0,ESE,24,1014.7
,2015-07-29,20.3,32.4,0,8.2,11.1,ESE,46,10:44,23.3,44,1,SE,24,1018.2,31.7,28,0,E,26,1014.0
,2015-07-30,20.2,33.0,0,8.0,11.0,ESE,50,10:33,25.5,50,0,ESE,20,1016.8,31.2,45,1,NNE,26,1012.9
,2015-07-31,18.8,32.4,0,5.6,11.1,E,50,13:44,25.0,46,1,ENE,19,1016.1,31.8,22,1,NE,28,1011.5
