"Daily Weather Observations for Darwin, Northern Territory for August 2015"
"Prepared at 13:10 GMT on Friday 12 August 2016   IDCJDW8014.201508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-08-1,20.9,31.8,0,8.0,11.1,ENE,35,09:49,25.1,69,0,E,15,1016.1,29.5,37,1,NNW,24,1012.5
,2015-08-2,17.9,32.2,0,6.6,11.0,ENE,37,10:30,25.6,69,1,ENE,17,1017.2,30.9,36,1,N,20,1013.3
,2015-08-3,19.9,31.5,0,6.4,11.0,ESE,39,12:23,26.1,65,0,ENE,11,1016.9,29.1,51,1,NNW,24,1012.6
,2015-08-4,19.7,32.5,0,5.8,10.7,E,48,12:54,23.8,76,3,SSE,17,1017.2,32.0,18,1,E,24,1012.4
,2015-08-5,17.3,31.0,0,9.0,11.2,SE,43,10:16,21.6,28,3,SE,28,1016.5,29.7,11,2,ESE,24,1011.9
,2015-08-6,17.1,30.9,0,8.4,11.1,NE,43,14:46,20.3,23,3,SE,20,1016.8,29.8,19,7,ESE,20,1012.1
,2015-08-7,17.5,31.7,0,7.4,10.2,E,37,10:45,23.7,36,3,ESE,19,1016.7,28.5,41,2,NNW,22,1012.5
,2015-08-8,21.1,32.9,0,8.0,11.0,ESE,39,10:29,25.8,38,1,E,24,1016.4,31.9,20,0,SE,17,1011.4
,2015-08-9,19.8,31.3,0,7.0,11.1,E,46,09:31,24.1,64,1,ENE,28,1015.9,29.3,44,1,N,30,1011.5
,2015-08-10,19.3,32.4,0,6.4,11.0,ENE,41,09:49,24.1,65,3,ENE,26,1017.0,30.2,39,1,N,26,1012.9
,2015-08-11,19.5,30.9,0,6.0,10.9,NE,33,10:43,24.3,73,5,SSE,17,1018.1,30.1,48,1,NW,26,1013.5
,2015-08-12,18.9,31.7,0,5.6,10.9,ENE,37,13:28,24.7,74,3,ENE,20,1016.8,30.0,53,1,N,24,1012.2
,2015-08-13,20.4,31.8,0,5.6,10.6,NNW,37,12:56,25.2,73,1,NE,13,1017.3,29.5,49,2,NNW,22,1013.7
,2015-08-14,20.1,33.6,0,7.2,11.0,E,44,11:05,24.8,70,1,E,19,1017.8,32.8,14,0,ENE,24,1013.6
,2015-08-15,17.9,33.5,0,5.6,11.0,ESE,44,11:55,24.6,48,0,SE,17,1018.9,32.2,7,0,E,22,1014.7
,2015-08-16,17.4,32.8,0,9.2,11.0,ESE,44,13:05,25.5,64,5,E,11,1018.2,31.7,8,2,SE,20,1013.8
,2015-08-17,16.1,32.3,0,7.0,11.1,ESE,35,11:40,22.8,66,1,SSE,11,1017.6,29.7,28,1,NNW,24,1013.0
,2015-08-18,16.3,30.7,0,8.2,11.0,SSW,35,13:29,24.8,65,1,NE,13,1016.9,29.0,33,1,NW,22,1012.7
,2015-08-19,16.2,30.3,0,6.2,11.0,ENE,37,12:07,24.0,58,0,E,13,1017.1,28.5,26,0,NNW,22,1013.5
,2015-08-20,17.2,30.8,0,7.4,9.2,N,39,16:27,24.4,61,1,E,22,1016.7,30.3,37,2,NNW,24,1012.1
,2015-08-21,20.4,31.3,0,6.0,9.3,N,37,14:28,24.3,77,6,SE,17,1016.7,29.5,42,3,N,30,1012.1
,2015-08-22,20.6,30.5,0,6.0,9.9,N,33,15:44,24.7,77,3,E,15,1017.8,29.8,54,1,NNW,24,1012.6
,2015-08-23,20.7,30.3,0,4.6,10.1,N,30,14:45,25.3,78,3,SE,7,1016.9,29.6,55,2,N,20,1013.2
,2015-08-24,21.6,30.9,0,4.2,10.6,NW,30,13:38,26.1,75,5,ENE,9,1016.9,29.7,54,3,NNW,17,1013.2
,2015-08-25,23.8,33.2,0,5.8,9.5,NE,43,13:52,26.2,79,5,SSE,11,1016.9,32.1,41,1,NNE,28,1012.3
,2015-08-26,23.1,32.8,0.2,6.0,10.5,NNE,41,15:49,26.6,75,7,SE,13,1016.8,30.8,48,7,N,30,1012.1
,2015-08-27,20.6,31.7,0,7.2,9.7,N,35,17:10,26.1,67,7,SE,9,1016.2,29.6,52,2,NNW,24,1012.5
,2015-08-28,21.9,33.9,0,4.6,11.1,E,37,11:04,26.6,67,1,E,15,1016.7,31.5,38,1,N,26,1012.1
,2015-08-29,21.7,32.7,0,7.4,11.0,NW,35,12:19,26.7,76,1,SW,9,1016.9,29.8,57,1,N,22,1013.1
,2015-08-30,22.0,31.0,0,6.4,11.1,NNW,35,15:19,26.9,73,1,NE,13,1016.5,29.9,60,3,NNW,22,1012.5
,2015-08-31,22.6,31.9,0,5.8,10.9,NW,33,15:23,27.7,73,3,N,19,1015.6,29.9,58,1,NW,24,1012.8
