"Daily Weather Observations for Darwin, Northern Territory for September 2015"
"Prepared at 13:11 GMT on Thursday 11 August 2016   IDCJDW8014.201509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-09-1,22.5,32.1,0,5.6,10.7,WNW,31,13:06,27.3,75,2,NW,7,1015.5,31.5,36,1,NW,19,1011.8
,2015-09-2,21.3,32.0,0,7.0,11.0,NW,41,13:33,27.4,68,1,WSW,6,1016.4,31.3,43,1,NW,31,1012.0
,2015-09-3,21.7,32.2,0,8.0,10.8,NW,31,15:39,28.0,65,0,NNE,6,1016.7,31.5,45,1,WNW,20,1013.2
,2015-09-4,22.1,33.0,0,7.4,11.0,NW,37,21:18,27.5,64,1,NE,15,1017.3,30.9,55,1,NNW,26,1013.2
,2015-09-5,22.1,33.5,0,5.4,10.8,N,33,14:08,27.7,70,1,S,13,1017.3,31.1,45,2,NNW,24,1012.8
,2015-09-6,21.6,31.5,0,7.4,10.9,N,37,14:27,27.4,71,1,NNE,6,1017.3,30.4,51,2,NNW,26,1012.3
,2015-09-7,22.4,31.4,0,6.2,10.6,N,39,14:50,27.7,62,2,N,15,1016.3,30.5,48,2,N,20,1012.2
,2015-09-8,21.4,31.3,0,5.0,11.0,N,39,14:35,26.8,61,1,NE,11,1016.7,30.0,51,1,N,28,1011.8
,2015-09-9,21.3,35.7,0,7.2,11.2,ESE,57,11:57,26.4,61,0,ESE,20,1017.7,34.5,12,0,E,26,1013.1
,2015-09-10,20.7,35.4,0,7.4,11.2,ESE,52,10:08,26.0,28,5,SE,28,1019.1,34.5,7,0,SE,22,1014.2
,2015-09-11,18.7,35.0,0,11.6,10.8,E,52,12:30,26.2,65,0,SSE,9,1017.7,33.9,5,0,ESE,13,1012.8
,2015-09-12,19.3,34.5,0,10.2,11.1,N,50,14:30,27.0,58,1,ENE,19,1017.0,33.6,23,1,NNE,33,1012.3
,2015-09-13,22.2,33.9,0,8.6,10.8,E,39,12:11,27.6,61,3,E,19,1016.7,31.8,29,1,NNW,26,1011.9
,2015-09-14,22.3,32.3,0,8.6,8.6,ENE,35,11:04,27.8,64,3,S,9,1016.0,31.4,45,2,N,20,1011.5
,2015-09-15,23.2,32.5,0,6.0,10.2,N,35,14:31,28.7,65,1,NNE,13,1014.4,31.7,50,2,N,22,1010.1
,2015-09-16,24.8,32.7,0,6.0,9.9,NNW,35,14:32,28.0,66,6,NE,11,1015.0,31.3,51,1,N,28,1010.7
,2015-09-17,23.0,33.5,0,7.8,10.1,NNE,41,17:25,27.6,67,4,SE,9,1015.6,30.5,46,3,NNW,24,1011.9
,2015-09-18,23.0,34.1,0,8.0,11.0,NNW,37,14:23,27.4,72,1,S,13,1016.6,31.2,49,3,NNW,24,1011.9
,2015-09-19,22.4,32.8,0,7.4,11.0,NNW,30,13:51,28.8,58,1,N,13,1015.9,32.2,46,1,NNW,22,1009.9
,2015-09-20,23.4,33.4,0,7.0,10.6,NNW,35,13:20,29.7,37,1,NW,7,1014.9,32.9,34,1,N,26,1010.4
,2015-09-21,22.0,34.0,0,8.0,11.3,ESE,37,11:29,28.9,51,1,NE,15,1014.9,31.9,46,1,NNW,24,1010.1
,2015-09-22,21.2,36.3,0,8.0,10.7,ESE,46,11:26,28.3,51,4,NE,13,1015.2,35.1,6,6,NNW,19,1010.2
,2015-09-23,22.4,34.4,0,10.0,11.0,NNW,33,14:22,27.3,68,1,S,9,1015.3,31.8,38,2,NNW,22,1010.3
,2015-09-24,21.1,32.7,1.6,6.0,10.2,NE,39,03:54,28.3,66,2,N,11,1014.5,31.3,48,2,N,20,1009.6
,2015-09-25,21.1,33.0,1.8,8.0,3.4,NW,41,00:24,24.6,78,7,SE,11,1015.5,32.1,36,4,N,11,1010.5
,2015-09-26,23.1,32.3,0,3.8,5.5,NW,31,14:49,26.9,72,7,N,11,1015.6,32.2,42,2,NNW,22,1010.7
,2015-09-27,24.1,32.3,0,5.6,4.4,NW,26,03:55,27.5,59,6,ENE,9,1014.6,30.6,49,5,NNW,15,1010.9
,2015-09-28,22.4,31.9,0,6.4,10.7,N,30,11:45,28.3,55,2,NE,17,1014.9,31.0,43,1,WNW,19,1010.7
,2015-09-29,23.3,33.2,0,7.6,10.9,N,35,11:53,27.9,65,2,NE,20,1015.6,31.1,52,2,NNW,24,1012.2
,2015-09-30,24.2,33.0,0,7.8,9.2,N,41,15:51,28.7,63,1,NNE,15,1017.1,32.2,45,1,N,24,1013.0
