"Daily Weather Observations for Darwin, Northern Territory for October 2015"
"Prepared at 13:11 GMT on Wednesday 10 August 2016   IDCJDW8014.201510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-10-1,24.7,35.6,0,6.6,9.2,E,50,13:22,27.9,70,2,S,11,1018.8,31.5,46,4,NNW,28,1013.9
,2015-10-2,23.1,35.1,0,7.0,10.7,ESE,56,11:11,27.7,60,0,ESE,17,1019.1,31.6,41,2,N,28,1014.1
,2015-10-3,22.6,33.5,0,10.6,11.0,NE,50,10:57,27.9,48,1,E,24,1019.0,32.9,34,1,NNE,33,1015.0
,2015-10-4,22.6,33.9,0,10.6,11.4,N,39,15:53,28.5,56,1,NE,13,1018.7,32.3,31,1,N,28,1013.2
,2015-10-5,24.0,33.9,0,6.4,11.1,S,56,20:22,28.3,62,1,NE,19,1017.3,31.5,44,1,N,31,1011.6
,2015-10-6,22.0,30.9,42.6,,3.6,SSW,37,19:26,24.1,83,8,ENE,19,1016.9,29.8,57,2,NNE,15,1011.7
,2015-10-7,23.4,31.2,0,4.0,8.7,N,39,15:25,27.3,71,1,NE,15,1016.1,31.0,52,3,N,24,1011.5
,2015-10-8,23.7,34.0,0,5.8,10.9,NNE,44,16:21,28.4,61,2,E,22,1016.5,32.2,43,1,NNE,31,1011.5
,2015-10-9,24.5,34.0,0,7.4,11.4,NNE,50,17:49,29.1,57,1,E,22,1017.5,32.3,41,1,NNE,31,1012.3
,2015-10-10,24.2,34.9,0,8.0,10.9,ENE,39,11:17,28.4,59,1,E,20,1017.2,31.6,44,3,NNE,30,1012.5
,2015-10-11,23.3,32.8,0,8.4,10.5,N,35,15:29,29.0,62,3,ESE,13,1017.2,30.8,53,3,NNW,24,1012.4
,2015-10-12,24.3,32.3,0,8.0,9.1,N,35,14:41,28.8,65,2,N,11,1017.4,31.4,47,2,NNW,24,1012.5
,2015-10-13,23.8,32.9,0,5.6,10.9,NW,33,13:59,29.1,62,1,NE,2,1015.8,31.5,45,1,NNW,24,1011.9
,2015-10-14,23.3,33.2,0,7.6,10.7,NNW,33,15:11,28.6,60,2,NNE,4,1015.9,32.2,41,1,NW,20,1011.5
,2015-10-15,23.8,32.5,0,9.0,9.8,N,41,16:11,28.0,65,4,NW,13,1014.6,30.9,58,1,NNW,24,1010.5
,2015-10-16,23.5,34.9,0,7.0,11.4,,50,14:06,28.9,64,2,ENE,15,1014.4,32.4,39,1,NNE,31,1010.0
,2015-10-17,23.8,32.8,0,8.6,10.5,,37,14:57,28.9,60,4,ESE,13,1015.3,31.8,39,1,N,28,1010.9
,2015-10-18,23.9,33.9,0,7.0,11.3,N,41,14:38,28.9,60,2,E,15,1016.2,30.5,48,3,N,30,1011.9
,2015-10-19,23.6,34.1,0,7.2,11.4,ENE,37,12:05,28.9,61,1,ENE,20,1016.6,33.6,29,2,NNW,26,1010.9
,2015-10-20,23.6,33.4,0,9.0,11.5,N,41,15:10,28.7,61,2,ENE,13,1015.8,31.5,49,1,NNW,26,1010.5
,2015-10-21,22.9,34.4,0,8.0,11.5,N,39,15:51,29.0,55,1,NNE,15,1015.4,33.5,33,1,NNW,28,1010.4
,2015-10-22,24.4,34.5,0,8.4,11.5,NNW,41,14:58,29.6,58,1,NNE,11,1015.0,33.4,38,1,N,33,1010.8
,2015-10-23,24.8,33.7,0,9.0,10.9,WNW,30,12:24,29.4,64,3,WNW,11,1015.3,33.1,44,1,NNW,17,1011.0
,2015-10-24,25.2,34.8,0,6.8,11.5,NNW,33,14:59,30.6,56,1,W,6,1014.8,33.6,41,1,NNW,22,1010.1
,2015-10-25,23.8,34.9,0,9.2,11.5,NW,30,13:21,30.0,55,1,NW,11,1015.2,33.7,35,1,NW,20,1010.7
,2015-10-26,24.9,34.3,0,10.4,11.3,N,39,16:30,29.6,62,2,NNE,13,1015.1,32.9,49,2,N,24,1010.4
,2015-10-27,26.1,34.5,0,6.8,9.5,N,44,15:33,30.1,64,5,NE,17,1014.9,33.6,40,2,N,28,1010.5
,2015-10-28,25.6,34.0,0,8.0,9.9,N,39,14:23,30.1,60,4,E,15,1015.7,33.3,43,1,N,28,1010.8
,2015-10-29,24.8,34.6,0,7.6,10.9,N,41,15:53,30.2,60,1,NNE,13,1014.5,33.6,41,1,NNW,24,1010.2
,2015-10-30,25.8,33.6,0,7.0,10.1,WNW,39,18:51,30.0,64,2,W,11,1014.0,32.8,54,1,NW,26,1009.6
,2015-10-31,26.4,33.4,0,7.4,10.2,WNW,33,11:53,29.4,72,7,S,13,1014.1,31.9,61,7,NNW,17,1009.2
