"Daily Weather Observations for Darwin, Northern Territory for January 2016"
"Prepared at 16:12 GMT on Sunday  7 August 2016   IDCJDW8014.201601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-01-1,27.4,32.7,0,7.0,11.2,WNW,46,13:56,29.8,71,2,WNW,33,1010.6,31.6,62,3,W,31,1009.0
,2016-01-2,27.5,32.1,0,8.2,11.0,WNW,48,13:20,29.7,75,3,WNW,28,1010.6,31.1,71,5,WNW,35,1008.0
,2016-01-3,27.3,32.9,0,7.6,10.3,NW,43,14:31,30.1,73,3,W,19,1011.3,31.9,67,2,WNW,35,1008.6
,2016-01-4,27.6,33.3,0,6.2,12.1,WNW,37,15:28,29.7,76,3,WNW,20,1012.6,32.6,62,3,WNW,28,1010.2
,2016-01-5,27.4,33.2,0,7.6,11.9,WNW,39,11:26,30.0,72,2,WNW,26,1013.1,32.5,66,2,WNW,30,1010.1
,2016-01-6,27.2,33.3,0,7.0,11.6,WNW,35,15:48,30.3,69,4,WNW,19,1012.2,32.8,55,2,WNW,24,1010.6
,2016-01-7,28.2,33.3,0,8.2,9.8,WNW,35,14:00,30.2,73,4,WNW,17,1012.3,32.5,62,4,WNW,26,1010.2
,2016-01-8,26.4,31.9,0,8.0,6.7,N,33,15:50,28.4,88,,SW,11,1013.0,31.7,62,6,W,7,1010.9
,2016-01-9,24.6,32.9,20.0,3.2,8.8,SSW,35,15:32,29.4,81,5,NE,7,1013.6,31.1,64,7,NW,17,1011.2
,2016-01-10,26.4,32.6,0,5.4,5.4,NE,50,11:57,30.9,74,5,SE,4,1014.1,31.6,65,6,NNW,11,1011.3
,2016-01-11,24.0,33.9,20.0,2.8,12.0,WNW,28,14:11,29.8,70,1,SW,9,1013.2,33.4,45,2,WNW,19,1010.5
,2016-01-12,27.3,34.1,0,8.0,8.5,NW,33,13:35,30.2,75,4,W,13,1013.3,33.0,58,2,WNW,24,1010.4
,2016-01-13,25.2,35.5,0,8.0,7.8,S,39,19:56,27.4,76,6,SE,15,1013.8,34.6,50,1,WNW,20,1010.0
,2016-01-14,25.3,34.3,0,7.0,6.3,ENE,50,14:20,29.5,71,3,E,9,1012.5,26.9,91,8,ESE,6,1008.9
,2016-01-15,25.5,33.1,7.2,4.4,10.0,N,30,15:48,29.1,80,3,E,11,1011.3,31.8,63,3,NW,17,1007.6
,2016-01-16,26.3,33.6,0,5.4,8.6,NE,69,15:09,30.6,68,3,NNE,7,1010.5,29.1,74,8,NW,20,1008.3
,2016-01-17,24.3,34.3,4.8,4.8,8.8,NNW,28,13:06,30.3,70,5,NNW,9,1011.5,33.1,57,3,N,15,1007.7
,2016-01-18,26.1,33.7,0,3.2,10.6,WNW,30,14:55,30.5,68,2,NNE,6,1011.0,32.5,58,1,NW,17,1008.0
,2016-01-19,26.3,34.1,0,6.4,10.8,NNW,30,00:31,30.5,66,2,ENE,9,1012.0,32.8,57,3,NW,17,1008.0
,2016-01-20,26.4,33.3,1.0,7.0,5.3,ESE,33,14:58,30.7,70,5,SE,7,1013.1,27.1,85,7,ESE,26,1009.8
,2016-01-21,26.6,29.5,4.2,1.8,0.7,WNW,41,10:43,28.9,84,7,SSE,11,1011.9,27.4,80,7,WSW,11,1009.6
,2016-01-22,24.2,34.1,10.0,4.8,10.5,NW,30,15:56,26.9,81,6,SE,15,1011.4,33.0,57,7,SSW,15,1008.5
,2016-01-23,26.3,34.1,0,3.6,9.2,NNW,30,13:52,30.5,73,4,W,7,1011.7,32.6,60,4,NW,17,1007.8
,2016-01-24,22.3,33.0,20.8,8.0,8.8,SE,78,05:44,25.2,86,7,WSW,7,1011.3,31.8,67,5,NW,20,1007.8
,2016-01-25,25.2,32.5,16.4,7.0,5.8,W,37,12:40,29.6,79,7,W,9,1010.4,30.8,73,7,WSW,24,1007.9
,2016-01-26,25.9,33.3,21.8,7.4,8.1,WNW,37,15:41,29.5,81,6,S,6,1010.9,32.6,64,7,WNW,24,1007.9
,2016-01-27,28.3,33.1,0,4.0,6.6,W,35,12:12,30.1,75,7,NW,15,1011.3,32.9,64,6,WNW,20,1007.8
,2016-01-28,27.4,32.9,0.2,7.8,6.0,WNW,44,16:37,28.3,82,7,WNW,13,1011.4,32.6,62,7,W,22,1007.9
,2016-01-29,24.8,33.4,3.8,6.8,5.1,WSW,41,18:16,28.0,81,8,SW,17,1009.5,32.9,63,6,W,15,1006.7
,2016-01-30,26.3,28.7,0.2,4.8,0.0,W,52,10:09,28.7,77,7,W,15,1008.6,27.1,87,8,W,24,1006.8
,2016-01-31,23.8,29.6,39.4,1.6,1.1,SSW,50,08:01,24.4,96,8,SW,11,1009.4,29.0,72,7,WSW,26,1006.4
