"Daily Weather Observations for Darwin, Northern Territory for May 2016"
"Prepared at 13:10 GMT on Wednesday 17 August 2016   IDCJDW8014.201605"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-05-1,23.9,34.4,5.0,5.8,7.1,ESE,59,02:14,28.0,83,7,SE,11,1012.0,34.1,51,6,N,19,1008.6
,2016-05-2,25.8,31.4,0,7.4,2.5,E,35,09:35,28.5,75,8,ESE,20,1011.8,30.0,72,7,NE,19,1009.2
,2016-05-3,24.8,32.9,0,4.2,4.1,E,61,14:15,28.7,73,7,E,17,1012.0,24.4,96,8,N,13,1010.5
,2016-05-4,24.2,32.1,49.0,7.8,5.6,NE,35,12:37,28.4,80,5,E,17,1012.9,27.0,89,8,SE,22,1009.5
,2016-05-5,25.0,33.5,4.6,4.0,10.5,ENE,39,13:23,28.6,75,2,E,17,1012.0,31.7,57,3,NNE,20,1008.7
,2016-05-6,25.8,33.3,0,4.0,10.9,NE,37,15:49,29.0,72,4,E,26,1011.0,32.6,50,1,NE,24,1007.6
,2016-05-7,25.8,32.9,0,4.8,6.2,N,37,16:40,29.7,74,8,NE,11,1009.9,31.1,66,7,NNE,19,1008.2
,2016-05-8,25.6,33.2,3.0,4.2,8.1,ENE,30,10:55,29.4,82,2,NNE,15,1011.3,32.4,55,6,NE,17,1007.8
,2016-05-9,25.8,32.7,0,5.2,8.4,SSE,35,20:52,29.7,77,3,ENE,9,1011.4,31.2,74,6,NNW,9,1008.2
,2016-05-10,24.5,32.9,0.6,4.8,10.1,ESE,52,12:04,27.6,81,6,SE,20,1012.2,32.2,55,6,E,24,1008.8
,2016-05-11,25.8,31.8,0,6.8,8.5,SE,43,12:00,27.8,72,7,SE,28,1013.4,30.9,41,5,SE,30,1009.8
,2016-05-12,21.8,31.7,0,8.8,11.1,SE,44,09:54,24.5,44,1,SE,28,1012.3,30.9,40,2,ESE,22,1009.1
,2016-05-13,23.1,33.7,0,8.2,11.1,E,52,10:33,26.9,54,1,SE,24,1012.9,33.1,40,1,ENE,24,1009.3
,2016-05-14,25.0,34.3,0,7.8,10.9,ESE,41,09:42,28.7,55,1,E,28,1013.2,33.9,37,1,E,20,1009.4
,2016-05-15,25.0,34.1,0,9.2,11.1,E,44,12:14,28.0,46,1,ESE,24,1012.7,33.1,39,2,ENE,19,1008.9
,2016-05-16,24.1,35.0,0,6.4,11.2,ESE,44,10:57,28.3,61,0,E,20,1011.9,34.2,33,1,ENE,28,1007.9
,2016-05-17,24.8,35.1,0,6.6,10.9,ENE,39,12:04,29.1,58,2,ESE,15,1012.0,34.4,42,3,E,19,1008.3
,2016-05-18,25.0,35.2,0,3.8,11.0,ESE,33,13:29,28.8,75,1,SSE,9,1012.3,34.5,36,2,NNW,15,1008.9
,2016-05-19,24.8,34.1,0,6.8,10.5,E,35,13:53,29.1,73,2,ESE,11,1011.5,32.7,42,4,ESE,15,1007.7
,2016-05-20,24.3,34.8,0,6.6,11.0,E,33,11:26,28.8,60,1,ENE,15,1011.2,34.2,27,1,ENE,13,1008.0
,2016-05-21,22.5,34.7,0,5.8,10.9,NE,37,12:00,28.1,70,0,ENE,17,1011.9,33.4,39,3,WNW,20,1008.8
,2016-05-22,24.9,33.5,1.6,5.8,9.5,NNW,33,14:47,27.4,76,6,E,13,1013.9,31.9,56,3,NNW,19,1010.5
,2016-05-23,25.9,35.1,0,4.8,11.1,S,37,12:32,29.1,75,0,SSW,15,1013.3,34.0,41,2,NNW,9,1008.8
,2016-05-24,24.1,33.3,0,7.4,10.4,N,30,01:19,28.5,63,5,NE,9,1013.7,32.8,48,2,WNW,17,1010.1
,2016-05-25,24.6,33.1,0,5.0,9.8,NW,28,15:22,28.8,78,2,E,7,1013.2,32.1,58,2,NW,20,1009.8
,2016-05-26,25.1,33.7,0,0.6,10.6,WNW,28,15:26,28.3,78,1,S,9,1014.1,32.6,53,2,WNW,15,1011.0
,2016-05-27,24.1,33.0,0,6.0,10.9,W,37,14:58,29.0,79,1,SSW,7,1014.5,31.6,60,4,W,28,1011.2
,2016-05-28,24.8,33.2,0,8.0,9.9,WNW,31,13:58,29.9,68,1,W,11,1014.0,32.0,55,2,WNW,28,1010.4
,2016-05-29,24.6,32.2,0,5.2,6.1,NE,33,12:42,26.9,79,5,NE,13,1013.8,30.4,62,7,NNE,15,1011.1
,2016-05-30,24.5,33.9,0,4.8,10.7,ENE,33,13:01,27.6,78,2,ESE,17,1014.0,32.8,48,2,ENE,19,1010.0
,2016-05-31,24.8,34.4,0,6.2,11.2,E,31,09:44,28.4,70,1,E,19,1014.5,33.8,33,1,SE,15,1010.8
