"Daily Weather Observations for Darwin, Northern Territory for June 2018"
"Prepared at 16:03 UTC on Thursday 16 August 2018   IDCJDW8014.201806"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-06-1,23.4,32.3,0,9.2,9.6,E,43,10:40,25.3,54,7,ESE,22,1014.1,31.6,33,0,NE,13,1010.1
,2018-06-2,21.3,31.6,0,6.0,10.7,ENE,37,11:12,24.3,63,0,E,20,1014.4,30.9,38,1,ESE,15,1009.9
,2018-06-3,20.3,31.9,0,6.2,11.0,E,39,11:00,23.6,40,1,ESE,15,1014.3,30.9,17,0,SSE,17,1010.2
,2018-06-4,18.7,30.7,0,7.2,9.8,E,35,11:06,21.6,42,1,SE,20,1015.2,29.7,15,7,SE,13,1010.9
,2018-06-5,17.5,29.5,0,5.6,10.8,E,39,10:59,21.3,28,2,ESE,17,1016.4,28.9,14,1,SE,17,1012.5
,2018-06-6,17.1,29.6,0,5.2,10.9,ENE,33,11:14,22.0,52,0,ENE,20,1015.3,28.8,26,0,E,17,1011.9
,2018-06-7,16.7,30.4,0,6.4,10.2,ENE,28,09:39,23.1,56,1,E,17,1016.3,29.8,39,1,NE,13,1012.1
,2018-06-8,19.9,31.0,0,6.2,10.2,E,33,10:29,23.8,66,0,E,20,1015.8,29.5,46,2,NNE,15,1011.7
,2018-06-9,20.0,31.4,0,3.8,9.7,E,31,09:29,24.7,73,0,E,20,1015.9,29.6,55,4,W,17,1012.2
,2018-06-10,21.2,32.1,0,4.6,10.8,NNW,31,14:50,25.2,77,0,SE,9,1017.4,29.2,53,0,NNW,20,1013.1
,2018-06-11,19.8,31.3,0,6.6,10.8,NNW,30,15:19,25.1,77,0,ENE,13,1016.3,29.7,54,1,NNW,19,1012.5
,2018-06-12,20.2,31.7,0,5.4,10.7,N,41,15:42,25.9,72,1,E,9,1014.7,30.2,54,1,N,24,1010.8
,2018-06-13,21.7,30.8,0,4.6,10.6,N,30,17:30,25.1,80,2,SE,6,1014.2,28.3,66,1,NNW,17,1010.6
,2018-06-14,21.0,31.9,0,4.4,10.1,NNW,26,13:56,25.9,79,1,ENE,6,1014.7,29.7,60,4,NNW,15,1011.5
,2018-06-15,22.8,31.8,0,3.0,9.6,E,39,13:23,25.6,76,7,E,13,1016.8,31.3,33,3,E,22,1012.9
,2018-06-16,22.5,32.1,0,7.2,10.8,E,50,12:06,24.6,60,4,ESE,15,1016.6,30.9,33,1,E,28,1013.1
,2018-06-17,21.7,31.7,0,7.8,11.1,SE,41,09:25,24.6,44,1,SE,26,1016.6,30.9,18,0,SE,20,1012.9
,2018-06-18,19.5,31.8,0,10.0,10.8,SE,35,09:40,22.9,25,1,SE,24,1015.7,31.2,30,1,E,13,1012.1
,2018-06-19,21.7,32.1,0,10.0,7.1,ESE,30,10:26,23.9,36,7,ESE,17,1017.0,31.2,34,1,ESE,11,1012.9
,2018-06-20,20.7,33.4,0,5.0,10.9,ESE,35,10:42,26.3,26,1,ESE,13,1016.4,32.9,31,1,NNW,15,1012.8
,2018-06-21,19.2,32.0,0,7.2,10.8,E,37,11:33,23.6,39,1,SE,13,1016.7,31.0,13,0,E,13,1012.8
,2018-06-22,17.8,31.6,0,8.0,10.8,E,43,11:29,21.7,30,0,ESE,17,1016.7,30.5,17,0,ENE,15,1012.8
,2018-06-23,17.4,31.0,0,2.8,10.7,ESE,39,11:26,20.4,29,0,SE,19,1016.3,30.6,15,0,E,15,1012.6
,2018-06-24,18.1,31.0,0,6.6,10.9,ENE,33,12:19,21.5,34,0,SE,13,1016.0,30.2,34,1,NE,17,1012.5
,2018-06-25,18.5,31.6,0,5.2,11.0,ENE,39,14:16,24.8,61,1,E,13,1015.6,30.8,36,1,SE,13,1011.7
,2018-06-26,21.4,32.4,0,5.4,10.4,ESE,41,12:51,24.9,64,1,SE,17,1015.4,31.6,35,1,E,22,1011.6
,2018-06-27,21.7,32.0,0,6.4,11.0,E,52,10:56,24.8,56,0,ESE,28,1015.5,31.1,29,0,ENE,28,1011.8
,2018-06-28,21.0,31.1,0,8.0,11.0,E,46,11:16,24.4,45,0,ESE,19,1015.2,30.7,29,0,ESE,13,1011.0
,2018-06-29,19.3,32.0,0,10.0,11.2,E,31,09:50,25.3,53,1,E,20,1014.6,30.6,46,6,NW,17,1010.3
,2018-06-30,21.3,33.4,0,5.4,10.7,ENE,37,15:16,26.0,69,3,SE,9,1013.7,32.5,34,4,ESE,17,1010.8
