"Daily Weather Observations for Darwin, Northern Territory for August 2018"
"Prepared at 13:04 UTC on Monday 12 August 2019   IDCJDW8014.201808"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-08-1,20.0,32.3,0,8.2,10.4,E,33,11:23,25.6,66,3,ENE,13,1015.2,30.6,33,3,N,20,1011.4
,2018-08-2,20.0,30.8,0,5.2,9.9,WNW,26,15:48,25.0,77,7,E,4,1015.2,29.8,39,2,NW,17,1011.8
,2018-08-3,21.3,31.2,0,5.2,10.2,WNW,33,14:40,25.6,79,1,SSW,11,1014.4,29.3,57,2,NW,24,1011.0
,2018-08-4,22.1,32.6,0,6.2,10.9,SE,28,08:57,24.7,33,3,SE,19,1014.2,31.8,31,4,NW,15,1010.6
,2018-08-5,20.9,31.8,0,5.8,10.9,NNW,28,12:45,27.1,63,5,E,4,1014.6,30.6,48,2,NNW,15,1011.5
,2018-08-6,21.4,33.8,0,5.4,9.3,SSE,35,12:00,25.7,75,3,SSW,15,1014.7,33.7,15,1,SSW,15,1010.2
,2018-08-7,21.2,34.0,0,10.4,11.0,ESE,43,10:36,25.1,21,1,SE,20,1014.4,33.8,18,1,E,11,1010.2
,2018-08-8,20.4,33.5,0,7.4,11.1,E,39,11:41,25.7,29,3,ESE,17,1014.6,32.3,14,0,SE,15,1011.1
,2018-08-9,19.9,32.8,0,8.2,11.2,E,44,10:16,25.2,23,1,ESE,19,1015.6,31.2,24,0,NW,17,1011.9
,2018-08-10,17.7,31.8,0,8.4,11.1,NNW,31,13:17,24.5,37,0,ENE,9,1015.5,29.9,46,1,NNW,19,1011.8
,2018-08-11,19.6,32.2,0,6.2,10.8,WNW,24,14:54,25.7,70,0,SE,4,1014.8,31.2,37,1,WNW,19,1011.4
,2018-08-12,17.5,32.2,0,7.2,10.3,SE,37,09:25,23.4,21,1,SE,20,1015.3,30.5,40,2,ENE,7,1011.5
,2018-08-13,21.4,30.9,0,9.6,11.1,ESE,44,08:57,22.9,19,0,ESE,31,1017.6,29.9,13,1,SE,17,1014.0
,2018-08-14,19.3,32.1,0,9.0,11.2,E,52,09:42,22.9,23,1,ESE,24,1018.0,31.5,17,0,SE,15,1012.9
,2018-08-15,17.2,30.8,0,7.4,10.3,E,39,12:10,24.8,41,1,E,20,1016.0,29.4,42,2,SW,15,1012.1
,2018-08-16,19.9,32.2,0,5.6,11.0,E,31,09:52,25.6,56,1,ENE,15,1014.1,30.6,37,1,NNW,19,1009.2
,2018-08-17,20.9,30.8,0,6.4,11.2,W,30,13:06,25.5,65,1,ENE,17,1013.3,29.6,50,1,NNW,19,1009.5
,2018-08-18,20.1,31.4,0,5.4,11.2,W,26,13:00,25.9,72,1,NE,13,1015.4,30.3,48,1,NW,15,1010.9
,2018-08-19,20.6,33.5,0,5.4,11.1,ENE,37,11:04,26.6,64,1,NE,15,1015.6,32.1,27,3,ENE,17,1011.6
,2018-08-20,22.4,33.1,0,8.6,10.8,E,54,10:13,25.0,22,1,SE,26,1016.2,32.0,12,0,ENE,20,1011.9
,2018-08-21,19.4,31.4,0,9.8,11.1,ENE,33,10:07,24.4,32,1,E,20,1015.8,31.0,32,6,NW,19,1010.7
,2018-08-22,18.7,30.0,0,6.8,11.0,WNW,26,13:26,24.5,76,6,NE,11,1015.1,29.1,53,1,NNW,15,1011.1
,2018-08-23,19.4,30.3,0,5.2,11.1,WNW,28,14:24,25.4,68,0,NE,6,1014.0,29.2,53,2,NW,17,1010.7
,2018-08-24,18.9,30.9,0,6.2,10.6,WNW,30,14:55,25.4,76,2,SSW,9,1014.0,30.4,41,2,WNW,24,1010.5
,2018-08-25,18.4,33.7,0,4.8,11.0,NNW,28,15:19,26.7,37,5,SSE,11,1012.5,30.5,30,2,N,19,1009.2
,2018-08-26,20.0,31.9,0,6.8,11.0,NE,26,10:04,25.3,65,4,NE,9,1014.3,31.0,42,1,NW,15,1010.8
,2018-08-27,21.5,33.1,0,5.6,9.5,NNE,33,16:10,28.1,68,2,NNE,11,1015.5,32.5,41,3,NNW,20,1011.3
,2018-08-28,21.4,32.6,0,7.4,10.9,NNW,31,12:19,27.2,63,1,ENE,11,1015.5,31.2,34,1,NNW,17,1011.2
,2018-08-29,20.0,32.3,0,5.4,11.1,ESE,30,11:03,26.7,63,1,NE,6,1014.3,30.6,41,1,NNW,17,1010.7
,2018-08-30,20.3,31.0,0,8.0,11.1,NNW,30,14:37,26.8,64,1,N,6,1014.0,30.0,38,2,NW,19,1011.4
,2018-08-31,20.6,31.8,0,6.4,10.6,NW,30,16:09,27.4,62,1,N,2,1015.1,30.1,53,1,WNW,22,1011.4
