"Daily Weather Observations for Darwin, Northern Territory for October 2018"
"Prepared at 13:03 UTC on Saturday 10 August 2019   IDCJDW8014.201810"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-10-1,22.0,32.6,0,8.8,11.2,NNE,43,14:16,26.4,54,1,E,26,1015.2,31.6,32,1,NE,26,1010.9
,2018-10-2,23.2,33.2,0,8.0,11.2,NE,46,11:12,28.1,53,1,ENE,22,1015.4,32.3,34,1,NNE,26,1011.2
,2018-10-3,23.9,34.2,0,9.2,11.0,NNE,39,16:31,27.7,72,2,ESE,6,1015.4,33.3,34,1,NNW,22,1010.4
,2018-10-4,23.8,32.7,0,8.0,10.9,WNW,30,12:20,27.9,70,1,WNW,9,1014.7,31.5,51,1,NNW,17,1010.6
,2018-10-5,24.7,33.1,0,8.0,11.1,N,30,15:53,28.8,66,2,NNE,11,1015.1,32.1,53,1,NNW,19,1010.5
,2018-10-6,24.2,33.6,0,6.6,10.8,WNW,39,15:50,28.7,69,5,ESE,2,1014.6,31.0,61,1,NW,19,1009.6
,2018-10-7,24.1,33.4,0,7.0,11.1,N,30,23:19,29.7,58,1,NE,7,1014.0,32.2,52,1,NNW,20,1009.4
,2018-10-8,23.3,35.6,0,7.8,11.4,NNW,31,13:25,28.6,60,1,N,15,1013.6,34.9,18,1,WNW,24,1009.0
,2018-10-9,23.1,35.1,0,8.4,11.2,NNW,28,14:07,29.3,64,1,NNE,6,1012.7,34.0,36,1,NNW,19,1008.9
,2018-10-10,23.8,35.1,0,6.0,11.3,NNE,43,16:44,29.3,64,2,E,7,1013.3,34.3,29,1,NNE,26,1008.8
,2018-10-11,24.1,35.2,0,8.6,11.4,WNW,37,14:59,29.3,62,1,SW,13,1014.0,32.2,53,1,NW,26,1009.6
,2018-10-12,23.6,34.8,0,8.0,11.3,WNW,31,11:52,30.4,68,2,NNE,11,1013.1,33.6,51,1,N,20,1008.6
,2018-10-13,26.3,33.1,0,8.0,9.0,NW,39,14:51,29.4,69,2,NNW,7,1013.1,31.0,62,1,NW,28,1008.9
,2018-10-14,26.6,33.8,0,7.6,11.0,NW,37,13:41,29.8,70,1,WNW,11,1012.1,32.9,58,1,WNW,30,1008.1
,2018-10-15,27.4,34.2,0,7.2,9.6,WNW,35,16:25,30.1,70,7,NW,13,1012.4,31.6,62,7,WSW,17,1008.8
,2018-10-16,26.8,32.4,0,6.4,2.7,N,28,15:41,29.8,72,7,NNW,15,1011.9,30.2,70,7,NNE,6,1008.6
,2018-10-17,25.3,34.2,0,4.2,8.0,SE,37,17:53,28.8,69,7,NE,15,1012.0,33.2,49,3,N,24,1008.3
,2018-10-18,25.4,33.8,0,6.8,7.8,NW,33,13:41,29.0,68,7,NNE,9,1012.9,31.9,49,5,N,17,1009.0
,2018-10-19,26.1,34.0,0,7.2,9.3,WNW,35,16:01,30.6,62,3,S,6,1013.6,30.6,70,2,NW,22,1009.1
,2018-10-20,26.5,34.7,1.8,7.0,9.0,WNW,37,14:33,30.2,67,2,WNW,11,1013.7,33.5,54,2,WNW,28,1008.8
,2018-10-21,26.8,34.6,1.4,7.0,10.5,WNW,33,13:07,30.8,64,5,WNW,11,1014.0,34.0,45,3,WNW,24,1009.0
,2018-10-22,25.9,34.9,0,7.8,10.1,WNW,41,16:15,31.3,62,7,W,9,1012.5,34.2,48,3,WNW,31,1008.0
,2018-10-23,27.7,34.8,0,8.2,4.3,ESE,30,08:08,28.6,65,7,ENE,9,1011.7,33.9,48,7,NW,17,1007.9
,2018-10-24,27.9,35.4,0,7.4,9.2,WNW,41,15:31,30.9,66,2,WNW,11,1011.4,33.7,50,3,WNW,31,1008.3
,2018-10-25,26.2,34.9,0,6.4,9.3,WNW,37,16:05,30.5,65,1,N,9,1013.2,33.3,53,1,W,22,1009.6
,2018-10-26,22.6,33.1,26.8,10.8,10.4,NE,56,01:31,29.6,71,1,NE,6,1014.7,31.4,59,5,NW,13,1010.2
,2018-10-27,26.0,34.1,0,5.4,11.0,NW,37,15:04,30.2,67,4,SW,11,1012.3,33.5,54,5,NW,26,1007.1
,2018-10-28,26.7,33.9,0,6.8,9.2,NNW,30,16:33,30.6,69,4,NNW,9,1009.6,33.3,50,6,NNW,13,1005.7
,2018-10-29,25.8,35.5,0,7.2,11.7,N,30,13:01,29.6,58,3,NNE,11,1010.6,32.9,39,1,NNW,13,1007.1
,2018-10-30,25.9,35.1,0,8.0,11.5,NW,28,11:09,29.8,65,3,N,7,1011.6,33.8,45,1,NW,15,1008.2
,2018-10-31,26.0,36.2,0,8.0,11.3,NNW,37,14:50,31.0,58,1,NNE,4,1011.7,34.2,41,1,NNW,20,1008.1
