"Daily Weather Observations for Darwin, Northern Territory for January 2019"
"Prepared at 16:03 UTC on Wednesday  7 August 2019   IDCJDW8014.201901"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-01-1,26.5,33.1,0.2,5.2,4.1,WNW,48,06:26,30.7,67,7,WSW,17,1008.3,29.7,67,7,WSW,24,1006.2
,2019-01-2,23.6,32.3,23.6,7.2,5.6,W,44,13:37,30.5,70,7,W,24,1008.0,30.8,78,7,W,20,1006.0
,2019-01-3,25.6,33.5,3.2,5.8,11.5,W,43,14:15,30.6,75,6,W,22,1010.1,32.6,63,3,WNW,31,1007.7
,2019-01-4,28.9,34.2,0.2,8.4,5.5,W,39,02:23,30.2,73,7,WSW,19,1010.8,32.5,60,7,NW,20,1005.4
,2019-01-5,28.2,33.7,1.4,32.3,9.6,WNW,43,13:33,30.4,73,7,WSW,15,1011.0,32.8,64,2,WNW,31,1006.4
,2019-01-6,21.6,31.7,7.8,6.4,0.8,SSE,72,05:21,24.0,93,7,ENE,6,1008.4,30.3,66,7,SSW,13,1006.7
,2019-01-7,23.9,33.6,0,4.4,11.3,WNW,33,13:53,29.5,76,7,SSW,15,1010.1,32.6,67,2,WNW,24,1006.0
,2019-01-8,28.5,34.1,0,5.4,10.2,WNW,33,15:47,30.0,76,5,W,17,1009.6,33.4,52,2,WNW,22,1006.5
,2019-01-9,28.4,33.6,0,7.2,3.7,SSW,37,14:22,30.1,77,7,W,17,1008.8,27.1,86,7,SSW,13,1007.7
,2019-01-10,26.4,34.0,0.4,4.6,9.5,WNW,37,11:00,29.5,84,7,WNW,19,1009.3,33.0,63,7,W,22,1006.2
,2019-01-11,26.6,34.5,0,8.0,11.0,WNW,37,12:26,29.8,76,7,W,20,1008.2,33.4,57,3,W,20,1006.0
,2019-01-12,28.9,34.5,0,7.0,8.9,SSE,74,21:08,30.9,70,4,WSW,17,1009.3,33.8,56,4,WNW,28,1005.6
,2019-01-13,22.3,33.3,7.0,8.2,6.1,N,28,15:22,26.1,85,7,SSE,11,1008.3,31.2,71,7,WNW,7,1004.2
,2019-01-14,25.4,34.4,0,4.2,7.3,NE,46,15:17,29.2,76,2,NNE,15,1006.2,31.1,64,7,NNW,13,1004.3
,2019-01-15,24.3,33.8,0.4,5.2,5.5,SSE,28,14:39,27.0,82,6,NE,11,1008.0,27.2,87,7,E,9,1006.1
,2019-01-16,22.3,33.2,31.4,7.8,6.6,E,46,01:31,27.2,78,7,N,2,1008.0,33.2,51,6,WNW,11,1005.6
,2019-01-17,23.0,33.1,5.0,5.0,3.2,SE,48,02:41,25.0,93,7,SE,9,1007.7,32.6,57,7,SSW,11,1004.7
,2019-01-18,24.1,32.3,41.8,9.4,3.0,S,31,00:57,27.2,79,7,S,6,1006.7,31.4,56,7,SW,11,1005.1
,2019-01-19,25.4,32.4,0,5.6,3.3,NW,20,13:31,28.1,78,7,NE,9,1008.7,28.3,88,7,NNW,11,1006.1
,2019-01-20,25.6,34.0,4.0,1.8,7.1,ESE,44,16:11,28.5,80,7,SSE,9,1008.0,33.5,57,7,E,13,1004.3
,2019-01-21,24.3,33.6,15.6,6.4,8.4,NE,39,15:29,28.3,83,7,ESE,13,1006.4,33.4,52,5,NE,22,1003.8
,2019-01-22,25.7,32.6,0.6,5.6,2.4,NNE,59,12:19,28.9,81,7,ENE,11,1006.7,27.5,90,7,NE,13,1005.0
,2019-01-23,24.2,31.0,27.2,2.8,0.3,WNW,35,14:00,29.0,82,7,N,13,1007.4,24.3,99,8,N,6,1006.1
,2019-01-24,23.5,30.7,52.0,3.6,1.5,WNW,39,05:37,26.8,89,8,W,15,1007.7,30.3,71,8,W,22,1005.2
,2019-01-25,26.8,31.5,0.4,4.8,1.8,WNW,39,10:21,28.9,83,8,NNW,9,1008.4,30.8,68,8,WSW,20,1006.3
,2019-01-26,25.0,31.0,21.2,5.2,0.9,W,46,15:02,26.2,96,8,SSW,7,1008.5,29.8,77,8,W,24,1005.6
,2019-01-27,24.2,30.4,54.6,7.6,5.0,SW,43,12:36,26.8,84,8,WSW,15,1007.4,26.5,77,7,SW,22,1004.9
,2019-01-28,23.8,31.9,14.6,5.0,4.3,SW,63,01:01,27.2,84,7,WSW,7,1006.1,31.1,70,7,WSW,20,1004.4
,2019-01-29,27.2,31.0,0,4.4,1.5,WSW,39,06:03,29.5,79,7,SW,24,1006.2,30.7,74,7,W,22,1003.9
,2019-01-30,27.2,30.1,0,3.6,0.0,E,44,23:42,29.0,84,8,W,15,1006.6,29.7,80,8,W,22,1003.7
,2019-01-31,21.8,29.8,49.4,13.8,0.5,SE,87,01:31,24.0,93,8,WSW,19,1008.0,28.4,78,8,WNW,15,1005.4
