"Daily Weather Observations for Darwin, Northern Territory for February 2019"
"Prepared at 13:03 UTC on Tuesday 20 August 2019   IDCJDW8014.201902"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-02-1,24.0,31.8,3.0,3.6,2.1,WNW,41,08:52,29.7,76,7,WNW,28,1006.0,30.0,72,7,WNW,24,1005.9
,2019-02-2,27.5,32.5,0,5.0,9.8,W,46,12:29,29.9,76,7,WNW,28,1007.4,31.7,69,7,WNW,33,1005.0
,2019-02-3,24.4,31.2,6.4,7.8,4.6,WSW,59,02:42,28.2,79,7,W,20,1005.8,29.4,76,7,WNW,31,1005.6
,2019-02-4,23.0,29.7,6.2,5.8,0.5,SSW,63,05:37,25.3,77,8,W,17,1007.1,24.0,93,8,SW,7,1005.8
,2019-02-5,23.6,31.1,53.8,,2.6,WNW,50,11:06,29.1,80,4,WSW,20,1007.4,27.5,86,7,W,30,1004.9
,2019-02-6,27.1,32.4,0.8,4.2,9.6,W,43,03:52,29.6,78,7,W,24,1007.4,31.5,60,7,WSW,31,1005.7
,2019-02-7,28.1,32.7,0,6.2,9.6,WSW,41,13:04,29.9,74,7,W,22,1008.9,31.8,69,6,WNW,28,1006.9
,2019-02-8,27.7,32.6,0,5.8,10.2,WSW,39,13:25,30.1,73,5,W,24,1008.8,32.0,65,4,W,30,1006.7
,2019-02-9,25.2,33.2,0,6.8,11.8,NW,41,17:35,30.2,72,1,W,17,1007.5,33.2,58,3,WNW,20,1006.8
,2019-02-10,27.6,32.3,0,8.0,11.0,WNW,39,14:14,29.8,74,2,WSW,13,1011.2,31.6,65,2,WNW,30,1008.7
,2019-02-11,28.0,33.5,0,7.4,11.7,WSW,37,09:29,30.0,69,6,W,19,1012.7,32.4,54,6,WNW,24,1008.9
,2019-02-12,28.0,33.6,0,8.0,11.1,W,37,12:46,30.4,72,4,W,22,1012.1,32.1,66,3,WNW,30,1009.6
,2019-02-13,28.2,33.5,0,8.2,8.9,WNW,39,12:43,30.3,70,4,W,17,1012.0,33.1,61,6,W,28,1009.5
,2019-02-14,28.3,33.4,0,8.0,10.1,WNW,35,15:25,30.1,74,6,W,20,1011.1,32.9,64,2,NW,24,1008.1
,2019-02-15,25.0,33.7,0.2,7.4,6.3,ESE,54,00:55,29.5,81,7,W,11,1012.2,33.1,62,7,WNW,22,1010.0
,2019-02-16,25.8,33.8,0,6.0,9.4,S,44,18:19,31.1,74,3,SSW,2,1012.2,30.5,81,3,WNW,22,1008.9
,2019-02-17,24.6,33.7,2.4,5.0,8.9,S,35,16:28,29.6,76,2,WNW,7,1012.1,33.1,58,3,WNW,24,1008.2
,2019-02-18,26.7,33.9,0,6.4,9.4,WNW,37,15:45,29.9,74,6,W,9,1011.2,32.7,59,1,WNW,26,1008.6
,2019-02-19,28.4,33.9,0,8.6,11.6,WNW,37,13:10,30.9,68,5,W,19,1011.9,33.4,60,4,WNW,28,1010.0
,2019-02-20,23.6,33.8,13.4,9.8,8.9,WNW,35,13:44,27.8,81,7,W,15,1013.2,33.3,59,4,W,22,1009.7
,2019-02-21,27.4,33.9,0,7.8,10.8,WNW,41,14:46,30.9,70,3,W,17,1012.1,33.2,59,2,WNW,30,1009.1
,2019-02-22,28.3,34.6,0,9.8,10.8,WNW,39,16:53,30.2,74,3,WSW,17,1010.7,33.6,62,2,WNW,26,1007.5
,2019-02-23,26.3,33.7,0,8.0,10.8,SSW,44,18:10,30.0,73,6,WNW,24,1009.8,32.6,69,3,WNW,26,1006.7
,2019-02-24,26.0,34.4,0.6,6.6,7.2,ENE,48,15:47,30.6,77,3,W,13,1009.5,33.9,61,3,WNW,24,1005.9
,2019-02-25,23.5,33.2,3.0,5.4,5.7,NNW,54,12:44,29.8,79,6,E,2,1012.2,28.4,76,6,WNW,17,1009.7
,2019-02-26,23.6,33.6,47.0,9.2,10.2,E,54,17:49,28.8,79,1,ESE,6,1012.2,32.4,58,4,WNW,11,1008.5
,2019-02-27,24.7,33.8,3.4,6.2,8.2,ESE,70,17:33,28.4,78,1,E,7,1010.9,32.8,62,5,NW,9,1006.8
,2019-02-28,23.0,32.7,37.2,9.6,9.0,NE,46,04:46,25.0,89,7,SE,7,1011.3,32.0,66,5,WNW,11,1007.2
