"Daily Weather Observations for Darwin, Northern Territory for July 2019"
"Prepared at 13:03 UTC on Wednesday 21 August 2019   IDCJDW8014.201907"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-07-1,21.9,32.9,0,5.2,11.0,SE,54,12:50,26.0,65,1,E,20,1015.7,32.1,31,0,ESE,13,1011.2
,2019-07-2,19.1,31.9,0,6.4,10.7,ENE,31,12:24,24.8,67,0,E,11,1015.4,31.0,22,0,SSE,11,1011.6
,2019-07-3,17.8,30.7,0,5.6,10.5,E,31,12:30,23.9,67,0,E,13,1016.9,30.3,21,0,ENE,7,1012.7
,2019-07-4,16.7,30.8,0,6.8,11.0,ESE,33,12:04,22.6,73,0,SE,7,1017.4,29.8,19,0,SSE,13,1013.2
,2019-07-5,14.4,29.2,0,5.4,10.5,NNW,30,15:10,20.8,49,0,ESE,17,1016.5,28.2,42,1,NNW,17,1012.4
,2019-07-6,15.9,29.7,0,4.4,10.7,WNW,31,13:42,23.3,63,0,E,4,1016.2,28.2,48,1,NNW,19,1012.8
,2019-07-7,17.7,31.2,0,4.8,11.0,E,44,13:17,23.3,62,0,E,13,1017.5,30.2,20,0,ESE,17,1014.0
,2019-07-8,16.8,32.1,0,6.4,10.5,E,30,12:17,23.5,53,0,E,13,1018.4,31.1,17,0,E,11,1014.0
,2019-07-9,18.4,32.3,0,6.2,10.6,E,39,14:14,24.9,71,0,NE,9,1016.0,30.5,40,1,NW,17,1012.0
,2019-07-10,18.7,30.5,0,5.4,10.5,NNW,28,15:13,25.3,70,1,NNE,2,1016.4,29.2,50,1,NNW,17,1013.0
,2019-07-11,18.5,30.3,0,4.8,10.5,SE,30,11:58,25.2,65,1,E,4,1018.2,29.1,49,1,WNW,15,1014.1
,2019-07-12,19.1,32.1,0,5.2,10.3,NNW,35,14:11,25.5,63,1,ENE,4,1018.4,29.4,45,1,NW,17,1012.6
,2019-07-13,20.2,32.0,0,5.8,10.9,ESE,41,13:23,24.8,50,6,SE,15,1017.2,31.4,21,3,ESE,19,1012.6
,2019-07-14,18.2,30.3,0,9.0,11.1,ESE,52,10:21,22.2,35,1,SE,20,1017.3,29.6,18,1,SE,15,1012.6
,2019-07-15,20.1,29.8,0,9.0,9.1,SE,41,10:34,21.4,31,6,SE,22,1017.1,28.9,15,0,SE,17,1012.0
,2019-07-16,21.2,30.6,0,9.2,10.8,ESE,43,10:07,22.7,26,1,SE,20,1016.9,29.7,21,1,SSE,13,1012.1
,2019-07-17,19.0,30.6,0,7.8,10.9,E,41,10:50,22.7,26,1,SE,17,1016.0,30.2,16,0,E,11,1010.9
,2019-07-18,17.4,31.5,0,6.0,10.8,E,35,10:20,22.3,43,1,E,24,1015.3,30.7,12,2,NE,13,1011.6
,2019-07-19,18.1,32.1,0,8.4,10.7,NE,43,13:56,22.1,71,1,SE,11,1015.2,29.8,31,0,NNE,22,1011.0
,2019-07-20,18.3,32.5,0,7.0,10.8,SE,30,13:08,23.4,78,1,SE,7,1015.7,28.6,51,0,NNW,19,1011.4
,2019-07-21,17.9,30.3,0,5.0,11.1,ENE,28,09:56,23.7,77,1,ENE,13,1014.5,27.9,50,0,NNW,19,1010.5
,2019-07-22,17.5,29.9,0,4.0,10.6,N,33,15:04,24.0,70,0,ENE,6,1014.4,27.3,56,1,NNW,17,1010.7
,2019-07-23,16.8,33.3,0,5.0,10.3,ESE,46,13:32,23.4,74,0,ESE,4,1015.5,32.7,12,0,E,26,1011.1
,2019-07-24,17.2,32.8,0,7.0,10.7,E,46,11:01,22.9,46,1,ESE,17,1016.0,32.0,14,1,SE,13,1012.5
,2019-07-25,19.6,32.6,0,8.0,10.1,E,31,12:21,25.1,52,7,SSE,9,1016.9,30.0,40,5,NW,15,1012.7
,2019-07-26,21.1,31.7,0,6.4,10.8,NE,33,11:51,24.7,74,1,ENE,17,1015.0,29.9,37,2,N,20,1010.7
,2019-07-27,19.5,31.3,0,6.0,10.7,ENE,35,13:24,24.8,72,2,E,13,1016.8,29.0,48,1,NNW,19,1011.9
,2019-07-28,19.5,31.6,0,6.0,10.9,SE,35,13:27,24.6,65,1,ENE,15,1017.0,29.3,44,1,NNW,19,1012.7
,2019-07-29,19.1,31.2,0,6.2,10.5,WNW,28,12:58,24.3,75,0,ENE,11,1015.8,28.8,49,1,NNW,20,1011.5
,2019-07-30,18.9,30.3,0,4.8,10.4,WNW,26,12:45,24.6,74,1,NE,4,1015.6,29.3,47,2,NNW,17,1011.4
,2019-07-31,18.9,32.6,0,5.8,11.1,ENE,37,13:39,25.0,65,0,ESE,6,1016.4,29.9,46,0,NNW,17,1011.8
