"Daily Weather Observations for Darwin, Northern Territory for September 2019"
"Prepared at 13:03 UTC on Tuesday 11 August 2020   IDCJDW8014.201909"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-09-1,18.0,32.0,0,6.8,10.9,NNW,30,13:29,25.1,63,0,ENE,9,1016.1,29.9,39,0,NNW,19,1012.0
,2019-09-2,19.1,32.9,0,6.4,11.3,WNW,33,14:10,25.5,62,0,ENE,7,1016.3,31.2,35,1,NNW,20,1011.9
,2019-09-3,19.9,31.9,0,7.0,11.1,N,33,14:18,26.3,61,1,NE,7,1015.8,29.8,41,1,N,22,1011.4
,2019-09-4,20.5,32.7,0,7.2,11.0,N,37,15:43,25.7,65,1,E,9,1016.4,30.1,40,1,N,22,1011.3
,2019-09-5,20.2,30.2,0,7.8,11.2,NW,30,12:16,26.0,58,1,SE,4,1015.9,29.3,47,1,N,20,1011.4
,2019-09-6,20.6,30.9,0,9.0,10.9,NNW,31,14:47,26.3,61,2,NE,9,1015.7,29.6,52,1,N,20,1011.6
,2019-09-7,22.0,31.1,0,6.4,10.4,NNW,37,15:05,26.2,66,2,NE,11,1017.1,29.0,57,1,NNW,22,1012.7
,2019-09-8,20.2,34.2,0,6.6,11.3,ESE,37,11:54,26.0,66,0,NE,11,1017.6,30.6,49,0,NNW,20,1012.8
,2019-09-9,21.4,36.3,0,6.8,11.1,S,43,13:35,26.5,63,1,SSE,11,1016.8,35.4,7,0,ESE,19,1011.2
,2019-09-10,20.4,33.4,0,7.6,11.4,ESE,54,10:38,24.2,26,0,ESE,22,1017.3,32.4,6,1,SE,17,1012.1
,2019-09-11,18.3,33.5,0,10.4,11.1,E,50,10:25,24.7,29,1,ESE,24,1018.2,32.6,5,0,NNE,17,1013.6
,2019-09-12,18.6,33.3,0,9.0,11.1,ESE,57,10:55,24.9,35,0,ESE,15,1018.9,32.3,22,0,NNW,9,1013.7
,2019-09-13,19.3,32.5,0,8.4,11.2,ESE,54,11:13,25.4,45,0,E,22,1018.5,32.0,16,0,N,20,1013.9
,2019-09-14,19.0,32.9,0,10.4,11.2,E,63,09:58,26.2,35,1,E,26,1018.1,32.8,22,0,ENE,26,1012.7
,2019-09-15,19.5,32.3,0,8.6,11.2,E,52,10:43,26.5,38,1,ESE,17,1016.9,31.6,27,0,NE,20,1012.1
,2019-09-16,21.2,32.7,0,9.8,9.8,N,35,16:56,25.4,68,7,E,11,1016.4,29.7,45,7,N,20,1012.2
,2019-09-17,20.5,32.6,0,7.0,10.9,N,35,16:50,26.3,67,3,NE,7,1016.9,30.2,43,3,N,22,1012.5
,2019-09-18,22.0,31.9,0,7.4,11.0,N,35,14:56,27.0,64,1,WSW,4,1017.7,31.1,42,5,N,24,1012.8
,2019-09-19,20.1,32.8,0,7.4,10.7,NNE,39,17:26,27.2,52,6,N,4,1016.3,31.2,32,3,N,24,1011.4
,2019-09-20,20.4,30.9,0,8.8,11.3,WNW,31,13:33,26.1,68,1,SSW,9,1015.9,29.9,48,1,NW,22,1011.9
,2019-09-21,21.5,33.1,0,7.4,10.3,N,44,15:22,26.4,68,5,ENE,13,1015.8,31.9,44,2,N,28,1011.9
,2019-09-22,23.5,33.1,0,6.2,10.0,E,41,13:27,27.1,70,6,ENE,9,1016.9,31.2,49,4,N,24,1012.8
,2019-09-23,24.0,34.4,0,6.2,10.5,N,44,15:06,28.4,66,3,ENE,11,1017.1,33.3,39,3,NNE,31,1013.0
,2019-09-24,24.8,32.2,0,7.2,9.3,N,33,15:50,28.2,64,3,SE,6,1017.0,31.2,53,2,N,22,1012.7
,2019-09-25,24.8,32.4,0,7.0,10.3,N,33,15:00,27.9,71,6,ENE,9,1016.9,31.0,58,1,N,22,1011.5
,2019-09-26,22.7,35.3,0,6.0,11.0,NNE,46,15:22,27.3,69,1,ENE,9,1016.2,32.9,38,1,NNE,33,1011.6
,2019-09-27,23.4,32.1,0,10.6,11.0,NNW,37,14:16,27.9,63,1,N,4,1016.1,31.5,51,1,NNW,20,1012.7
,2019-09-28,23.4,32.0,0,6.4,11.2,NW,30,15:01,28.1,69,2,SW,7,1016.0,30.7,56,1,NNW,15,1012.4
,2019-09-29,23.0,33.0,0,7.4,10.8,N,30,15:24,28.2,67,3,NNE,7,1016.0,32.1,44,1,NNW,19,1011.7
,2019-09-30,23.1,32.9,0,6.2,10.2,NW,35,13:52,28.9,66,6,WNW,7,1015.7,30.4,58,1,NW,24,1011.7
