"Daily Weather Observations for Darwin, Northern Territory for December 2019"
"Prepared at 13:04 UTC on Saturday  8 August 2020   IDCJDW8014.201912"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-12-1,29.7,34.0,0,8.0,5.4,SE,46,20:54,31.9,60,3,WNW,11,1009.2,31.1,59,7,SE,7,1006.6
,2019-12-2,23.7,34.5,11.6,7.2,8.3,N,35,14:08,30.1,67,1,SE,7,1008.1,31.7,66,7,NNW,22,1005.2
,2019-12-3,26.3,35.1,0,5.8,9.4,NNW,33,14:33,31.2,62,7,N,11,1009.2,34.7,51,4,NNW,20,1006.5
,2019-12-4,26.0,35.1,1.4,7.0,5.7,WNW,26,14:15,28.9,76,6,ESE,11,1011.7,28.9,84,7,NW,7,1009.0
,2019-12-5,26.4,36.0,3.8,5.6,11.9,WNW,35,16:41,31.0,71,2,S,6,1012.1,35.0,44,1,WNW,22,1008.4
,2019-12-6,26.9,36.5,0,9.6,12.0,NW,33,13:45,32.1,64,1,WSW,9,1011.1,35.3,38,1,WNW,26,1007.4
,2019-12-7,26.7,36.3,0,9.0,12.1,WNW,35,15:14,31.4,70,2,SSW,11,1010.9,34.8,44,1,NW,26,1006.8
,2019-12-8,25.5,35.9,0,9.0,11.9,ENE,43,05:39,32.3,46,1,N,13,1010.5,34.6,49,1,WNW,26,1007.5
,2019-12-9,27.1,37.1,0,9.6,7.7,NW,30,14:30,32.5,65,5,N,11,1010.9,34.0,52,3,WNW,20,1007.6
,2019-12-10,28.0,35.8,0,7.6,9.1,S,48,17:06,31.6,53,2,NNE,13,1010.6,34.7,45,5,NW,20,1006.4
,2019-12-11,25.3,35.6,0,7.8,8.1,NE,41,15:11,31.4,65,1,NW,13,1009.6,34.0,49,6,NW,26,1007.0
,2019-12-12,26.9,35.4,1.6,7.2,11.3,ENE,44,15:48,30.9,69,4,WNW,11,1008.7,34.1,57,2,WNW,24,1005.9
,2019-12-13,26.6,35.9,0.2,7.2,10.4,WNW,43,16:50,32.5,63,2,NW,19,1009.6,34.4,55,2,NW,28,1007.0
,2019-12-14,26.1,34.6,0,9.2,4.7,NE,57,12:27,31.2,71,6,W,13,1010.4,26.7,88,8,W,9,1007.7
,2019-12-15,21.7,34.4,20.0,5.0,6.7,SE,28,14:32,31.3,68,5,WSW,11,1009.6,30.4,64,6,W,4,1006.5
,2019-12-16,26.9,34.6,0,4.6,10.2,WNW,35,15:35,31.6,69,4,WSW,7,1009.0,33.4,60,4,NW,24,1006.0
,2019-12-17,27.2,35.4,0,8.0,10.2,S,50,21:42,31.3,68,6,WNW,6,1009.2,35.1,43,7,WNW,24,1005.5
,2019-12-18,24.6,35.9,0,8.2,11.8,NW,30,15:02,30.5,54,5,NE,2,1009.7,34.2,58,3,WNW,20,1005.9
,2019-12-19,26.6,35.6,0,9.0,5.6,ENE,76,14:46,27.2,64,7,NNW,15,1010.1,28.0,65,7,ENE,33,1006.9
,2019-12-20,27.2,35.1,0,5.0,9.1,NNW,26,23:00,31.6,59,1,ENE,7,1010.4,32.7,57,4,NNW,17,1006.3
,2019-12-21,27.2,34.8,5.4,7.0,9.3,SE,44,21:13,31.3,68,1,NE,2,1010.0,33.6,51,6,NW,15,1006.4
,2019-12-22,25.3,36.0,0,7.0,10.1,NNW,26,17:01,31.3,63,1,SE,2,1009.2,34.7,48,3,W,19,1005.5
,2019-12-23,27.4,35.5,0,6.6,9.7,WNW,26,15:36,29.6,56,5,S,13,1010.4,33.6,45,6,WNW,15,1007.6
,2019-12-24,27.2,36.1,0,7.4,8.8,SE,56,16:28,31.7,59,1,NNE,4,1010.1,35.4,45,2,NW,19,1006.2
,2019-12-25,22.6,35.4,9.6,7.8,11.2,NNW,28,11:51,31.1,70,2,NW,11,1010.4,34.4,49,2,NW,13,1007.0
,2019-12-26,26.7,35.3,0,7.4,11.8,NW,35,13:20,31.9,65,2,SSW,9,1010.7,34.8,48,1,WNW,22,1007.2
,2019-12-27,30.2,34.2,0,11.0,2.9,NE,67,15:56,31.8,66,7,WNW,24,1008.0,31.4,67,8,NNW,19,1006.6
,2019-12-28,23.6,33.8,0.6,3.8,4.2,SSW,39,13:54,29.8,77,3,WNW,15,1009.0,29.4,72,7,WSW,2,1006.4
,2019-12-29,27.0,34.2,0.6,1.8,8.0,NW,31,11:25,31.0,75,8,NNW,11,1010.3,33.3,62,8,WNW,17,1007.3
,2019-12-30,25.3,33.9,3.6,7.0,3.4,N,39,07:50,26.1,89,8,SSW,9,1011.4,32.1,59,7,WSW,11,1008.1
,2019-12-31,25.7,35.1,0.2,4.2,8.6,SE,43,19:29,31.5,71,7,W,11,1010.6,33.4,61,7,WNW,24,1006.7
