"Daily Weather Observations for Darwin, Northern Territory for January 2020"
"Prepared at 16:04 UTC on Friday  7 August 2020   IDCJDW8014.202001"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-01-1,23.6,34.4,5.8,6.8,3.0,WSW,41,14:19,26.9,85,8,ENE,4,1011.0,30.1,66,7,WSW,17,1008.3
,2020-01-2,25.9,34.5,3.2,4.4,7.8,NNW,31,16:39,30.8,76,7,E,4,1012.0,33.7,58,7,NNW,15,1007.2
,2020-01-3,26.3,34.7,0,7.0,7.2,NNW,26,18:33,29.8,76,7,SE,4,1010.0,33.4,58,5,NW,9,1005.5
,2020-01-4,26.6,35.0,0,5.8,10.7,NW,37,17:25,31.2,62,5,ENE,6,1008.4,34.5,49,7,NNW,17,1004.8
,2020-01-5,26.7,34.6,0,7.2,2.0,N,39,17:20,28.8,75,7,SSE,4,1008.6,33.7,55,7,N,19,1004.7
,2020-01-6,26.3,34.6,0,3.8,5.0,WNW,46,14:43,29.2,75,7,ENE,13,1007.7,30.0,74,8,WNW,35,1005.5
,2020-01-7,25.3,34.1,4.8,5.4,3.2,NW,22,15:25,28.2,79,7,ESE,13,1008.0,32.7,53,7,NNW,15,1004.9
,2020-01-8,27.4,32.4,4.8,5.6,1.5,SW,37,11:37,30.6,73,8,SSW,13,1007.9,31.8,55,8,W,15,1004.9
,2020-01-9,26.8,31.2,2.6,5.6,0.2,W,41,20:49,29.8,75,8,SW,19,1006.3,28.0,79,8,WNW,20,1003.3
,2020-01-10,25.1,27.2,36.4,6.6,0.0,N,50,17:09,26.6,90,8,WNW,26,1004.4,25.5,96,8,N,20,1002.5
,2020-01-11,24.6,30.1,61.0,0.2,0.6,N,41,01:43,26.0,92,8,N,13,1006.0,28.8,75,7,NNE,17,1004.4
,2020-01-12,25.3,33.9,0,3.0,7.3,S,35,14:33,29.7,79,4,NE,11,1006.5,27.1,87,7,SSE,15,1004.1
,2020-01-13,25.3,33.6,0.4,4.2,5.7,WNW,37,16:02,29.4,76,7,E,6,1007.6,33.1,59,4,NW,19,1005.2
,2020-01-14,25.2,33.6,4.4,3.6,9.9,WNW,37,14:45,29.8,77,6,WSW,6,1009.1,31.8,67,6,W,19,1006.3
,2020-01-15,26.3,34.8,1.4,5.6,11.0,WNW,35,18:22,30.3,77,1,W,2,1009.1,33.9,49,1,WNW,17,1006.3
,2020-01-16,28.7,34.2,0,8.4,11.1,WNW,33,11:23,31.2,71,6,WNW,15,1009.4,33.6,56,1,WNW,24,1006.8
,2020-01-17,26.2,31.4,0,9.4,1.4,W,33,11:19,30.5,75,7,W,13,1009.1,26.6,89,7, ,Calm,1006.6
,2020-01-18,23.9,34.1,20.4,4.4,9.1,WNW,33,15:20,31.0,73,6,WSW,15,1009.0,33.1,58,2,WNW,26,1006.3
,2020-01-19,28.7,31.3,0.2,7.0,3.8,W,52,13:19,30.6,73,5,W,13,1009.0,29.3,75,7,WSW,17,1006.5
,2020-01-20,24.8,30.2,26.0,5.2,0.3,W,61,20:20,26.5,93,8,NW,13,1009.6,29.5,78,7,NW,24,1007.0
,2020-01-21,22.7,29.9,74.4,,1.0,W,76,23:56,26.9,85,8,NNW,19,1011.3,27.8,82,7,W,30,1008.6
,2020-01-22,23.2,28.4,87.8,27.8,0.0,W,70,00:01,24.6,96,8,NNE,9,1010.4,24.1,98,8,E,4,1008.8
,2020-01-23,22.7,32.8,54.8,6.0,9.2,WNW,39,14:29,28.3,79,7,SW,11,1008.8,32.0,69,7,WNW,30,1005.7
,2020-01-24,27.1,33.2,0,6.4,6.8,WNW,41,14:14,29.9,77,7,WNW,22,1008.7,32.7,63,7,WNW,31,1006.4
,2020-01-25,28.5,33.2,0,6.8,5.5,WNW,35,14:12,29.8,75,7,W,15,1009.5,32.3,64,7,WNW,22,1006.9
,2020-01-26,28.0,33.8,0,6.4,11.2,WNW,35,13:11,30.4,72,5,WNW,17,1009.4,32.9,57,2,WNW,26,1006.6
,2020-01-27,28.5,33.9,0,7.8,9.8,WNW,43,16:22,30.2,73,7,W,17,1008.9,32.3,67,7,WNW,28,1006.3
,2020-01-28,29.0,34.0,0,7.2,9.6,WNW,41,13:33,31.1,73,3,W,24,1007.6,32.2,69,5,WNW,28,1004.5
,2020-01-29,26.4,32.1,1.6,8.6,3.7,SSW,56,09:29,26.8,86,7,NW,9,1007.4,31.0,70,7,WNW,28,1004.6
,2020-01-30,22.5,33.3,6.2,2.6,8.8,WNW,46,12:55,30.2,74,4,WNW,22,1006.9,28.3,87,6,W,19,1005.0
,2020-01-31,27.5,33.4,6.2,8.4,11.7,WNW,35,14:47,30.8,68,4,WNW,22,1009.0,32.4,62,2,WNW,26,1006.0
