"Daily Weather Observations for Darwin, Northern Territory for February 2020"
"Prepared at 13:03 UTC on Thursday 20 August 2020   IDCJDW8014.202002"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-02-1,28.5,33.5,0,8.0,10.2,WNW,37,15:13,30.9,68,6,W,17,1010.2,32.6,63,7,WNW,26,1006.5
,2020-02-2,29.2,33.3,0,8.0,7.8,W,46,11:11,30.9,70,7,WNW,22,1008.8,32.6,63,7,WNW,31,1006.5
,2020-02-3,27.8,32.7,0.2,7.6,4.7,NW,37,05:02,30.1,73,6,WNW,22,1008.8,31.4,60,7,W,24,1006.4
,2020-02-4,25.7,32.2,1.2,5.8,4.9,NW,41,01:47,29.9,74,7,WNW,11,1007.8,30.9,68,7,NW,19,1005.6
,2020-02-5,26.2,33.0,3.6,5.4,9.2,WNW,31,16:38,26.8,89,7,W,7,1009.5,31.7,62,6,WNW,22,1006.6
,2020-02-6,26.6,34.4,0.2,6.0,10.4,WNW,28,16:19,30.3,67,5,W,6,1009.8,33.1,53,7,WNW,15,1007.1
,2020-02-7,28.3,34.2,0,6.4,10.7,WNW,37,15:07,30.2,72,6,SW,11,1010.7,33.1,59,4,WNW,28,1007.0
,2020-02-8,26.8,34.5,1.6,8.0,8.6,W,39,14:51,29.2,77,7,SW,7,1009.5,33.7,54,7,W,28,1007.2
,2020-02-9,29.0,34.1,0,8.0,2.8,WNW,43,13:32,31.1,75,8,W,19,1008.1,28.2,94,7,WNW,13,1005.3
,2020-02-10,26.4,34.3,7.6,3.8,10.2,ENE,44,22:13,30.6,73,4,WSW,22,1007.9,32.9,63,7,W,24,1006.0
,2020-02-11,24.0,30.6,23.0,9.6,1.7,WNW,48,08:06,28.7,81,7,W,17,1010.7,30.0,74,7,WNW,17,1008.0
,2020-02-12,27.3,34.2,0,4.0,8.4,SSW,31,15:03,29.5,77,7,SW,13,1011.0,32.8,56,5,SSW,17,1007.7
,2020-02-13,28.9,34.8,0,6.2,10.9,W,41,15:45,31.0,74,7,W,19,1009.3,33.3,61,7,W,26,1007.0
,2020-02-14,28.7,34.2,0,6.6,10.9,W,37,12:58,30.7,74,7,W,20,1009.8,33.1,60,6,W,22,1007.2
,2020-02-15,28.8,34.6,0,6.4,11.8,WNW,41,14:13,31.2,72,2,WNW,20,1010.6,33.6,63,2,WNW,28,1007.2
,2020-02-16,24.8,33.1,0,8.4,5.7,SSE,46,04:23,28.9,76,7,W,17,1009.7,32.3,70,8,WNW,26,1006.8
,2020-02-17,28.5,34.5,0,5.8,8.6,SW,63,16:41,30.8,78,7,SSW,9,1010.2,33.8,64,7,WNW,28,1006.2
,2020-02-18,26.6,34.3,0,6.6,7.2,ESE,63,15:08,30.8,73,3,W,20,1008.1,27.9,72,7,SSE,31,1006.9
,2020-02-19,23.8,34.3,1.4,5.2,10.5,WNW,35,15:03,30.2,63,6,WSW,13,1007.4,32.4,67,7,WNW,28,1004.8
,2020-02-20,21.9,32.1,40.4,11.8,5.1,ESE,69,02:07,27.9,72,7,WSW,4,1007.6,30.7,74,7,WSW,22,1005.7
,2020-02-21,23.5,32.6,38.2,4.8,6.5,WNW,48,17:13,27.8,79,5,SW,11,1008.8,32.0,57,8,WNW,6,1006.7
,2020-02-22,24.5,34.1,38.6,4.4,10.0,WSW,39,09:12,30.9,74,3,WSW,22,1008.6,32.9,68,7,W,24,1006.0
,2020-02-23,29.0,33.7,0,6.2,10.5,WNW,41,15:02,30.7,75,8,W,22,1008.1,32.1,70,4,WNW,30,1006.0
,2020-02-24,28.7,33.8,0,6.8,10.8,W,44,14:52,30.6,71,6,W,24,1008.7,33.2,61,4,W,30,1006.7
,2020-02-25,28.6,33.7,0,7.6,10.8,W,46,14:23,30.4,73,6,W,24,1007.2,33.1,58,6,W,33,1004.4
,2020-02-26,29.7,32.9,0,8.8,5.4,WNW,50,14:28,30.3,78,7,WNW,26,1005.7,31.7,71,7,WNW,37,1002.3
,2020-02-27,24.3,31.0,25.4,10.4,0.2,W,65,07:01,24.7,98,8,SSE,19,1004.7,30.2,76,8,NW,31,1001.9
,2020-02-28,24.0,30.7,34.4,6.0,2.2,NW,48,00:33,27.9,87,8,N,20,1005.9,29.3,80,7,NNW,19,1004.0
,2020-02-29,26.2,32.4,1.0,3.0,3.1,S,26,16:09,28.3,84,8,NE,11,1008.7,29.3,77,8,N,9,1006.2
