"Daily Weather Observations for Darwin, Northern Territory for August 2020"
"Prepared at 07:00 UTC on Sunday 23 August 2020   IDCJDW8014.202008"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-08-1,17.3,32.3,0,6.8,10.8,E,43,11:00,23.0,69,6,E,17,1015.1,31.5,16,2,NE,11,1011.0
,2020-08-2,17.7,30.7,0,7.8,10.8,E,35,11:34,24.2,64,0,E,13,1014.8,28.6,40,0,NNW,20,1010.3
,2020-08-3,17.9,30.1,0,7.0,10.5,NW,30,14:01,24.7,56,2,SE,7,1013.9,28.8,47,2,NNW,19,1010.1
,2020-08-4,20.5,30.9,0,4.6,10.1,N,33,14:40,25.1,68,2,SE,11,1013.0,29.3,50,3,N,24,1009.4
,2020-08-5,20.6,30.2,0,5.8,9.3,NW,24,12:48,25.6,77,1,ENE,7,1012.4,29.1,53,1,NNW,17,1008.8
,2020-08-6,22.3,30.6,0,5.0,10.3,WNW,39,13:54,24.5,85,3,SSW,6,1012.5,29.5,53,1,WNW,26,1009.7
,2020-08-7,19.6,32.1,0,5.2,10.4,S,35,10:38,24.7,78,3,SSW,17,1013.6,30.7,23,1,SW,13,1009.8
,2020-08-8,19.6,34.3,0,8.0,10.8,ESE,35,09:32,25.1,23,7,SE,20,1014.2,33.3,14,4,NW,20,1010.4
,2020-08-9,18.4,31.6,0,6.8,10.7,NNW,30,14:15,26.6,45,3,E,6,1015.1,30.9,51,4,N,20,1011.2
,2020-08-10,21.4,31.8,0,5.2,11.2,N,30,11:53,26.1,67,2,NE,13,1015.0,30.8,45,1,NNW,19,1011.4
,2020-08-11,22.1,30.5,0,6.8,11.2,NNW,24,14:05,26.3,72,2,NE,9,1015.8,29.4,56,1,NNW,17,1012.3
,2020-08-12,22.9,31.3,0,5.2,9.5,WNW,26,15:23,25.1,85,7,ENE,6,1015.5,29.6,60,2,NW,17,1011.7
,2020-08-13,22.8,31.4,0,6.0,9.2,WNW,28,13:16,25.3,87,4,NNE,6,1014.6,30.9,48,1,NW,19,1010.7
,2020-08-14,22.1,31.7,0,5.6,8.6,NNW,28,15:17,25.8,84,3,NE,7,1013.6,29.8,59,1,NNW,13,1009.7
,2020-08-15,23.3,31.3,0,4.4,10.0,NNW,30,12:53,27.1,76,2,N,2,1013.8,29.6,59,2,NW,19,1010.6
,2020-08-16,23.4,33.1,0,6.0,10.9,N,43,16:24,27.6,71,1,ENE,7,1014.9,32.0,47,1,NNW,19,1010.3
,2020-08-17,23.8,32.6,0,6.4,10.6,NNW,31,12:17,27.2,68,4,NE,9,1014.6,31.2,44,2,NNW,24,1010.2
,2020-08-18,21.7,31.0,0,5.8,10.7,NW,33,15:38,26.9,71,1,N,11,1012.7,30.0,53,2,NW,20,1008.7
,2020-08-19,22.3,30.8,0,6.8,10.8,WNW,39,15:40,27.3,71,3,NNE,7,1011.8,29.7,57,1,WNW,28,1008.8
,2020-08-20,22.6,32.6,0,6.0,11.0,WNW,33,16:22,27.0,78,3,SE,6,1013.6,31.1,54,2,WNW,22,1010.0
,2020-08-21,23.1,32.5,0,6.8,11.1,NNW,26,13:41,27.6,75,1,SSW,4,1015.3,31.0,56,1,NNW,15,1012.0
,2020-08-22,22.4,32.2,0,6.2,11.2,WNW,28,13:11,27.9,53,1,NE,9,1016.5,31.4,46,1,NNW,19,1013.2
,2020-08-23,21.3,,0,6.6,,,,,27.3,65,1,ENE,9,1015.4,31.6,39,1,NNW,20,1011.3
