"Daily Weather Observations for Darwin, Northern Territory for November 2020"
"Prepared at 13:04 UTC on Friday 12 November 2021   IDCJDW8014.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,25.5,36.3,0,8.0,12.0,WNW,35,15:24,30.7,59,1,ENE,11,1012.3,35.8,34,1,NW,20,1008.0
,2020-11-2,26.1,36.0,0,10.0,10.4,NNW,39,14:17,30.9,62,2,ESE,4,1013.0,33.9,54,1,NW,20,1009.2
,2020-11-3,25.7,34.9,0,6.8,9.8,NW,35,15:00,30.8,66,6,WNW,6,1013.9,33.2,53,3,NW,28,1009.9
,2020-11-4,26.3,34.2,0,8.0,8.5,WNW,28,15:37,30.8,64,7,WSW,9,1013.8,33.3,45,8,NW,17,1010.4
,2020-11-5,27.2,34.0,0,6.4,6.2,NW,28,14:25,30.8,60,7,N,11,1012.8,32.2,57,7,WNW,22,1009.6
,2020-11-6,24.6,35.9,3.0,6.4,11.7,E,35,20:55,30.9,56,2,NNW,11,1012.7,34.4,41,1,NW,19,1008.9
,2020-11-7,24.4,36.2,2.4,8.4,11.2,SSW,35,11:53,29.4,61,3,S,7,1012.7,35.4,39,2,SSW,15,1007.8
,2020-11-8,26.5,36.6,0,8.6,9.8,NE,37,15:05,31.5,62,2,NE,15,1010.7,35.9,43,3,NNE,24,1007.2
,2020-11-9,27.1,35.6,0,10.0,10.4,NNE,37,16:51,30.9,67,4,E,9,1011.6,34.6,42,1,NE,22,1007.7
,2020-11-10,27.1,36.4,0,8.0,11.6,NE,33,14:45,31.4,65,4,E,11,1012.1,34.7,47,1,NNE,17,1008.3
,2020-11-11,27.2,36.0,0,7.2,10.4,N,31,12:42,31.5,63,6,E,13,1013.4,35.4,38,1,NNW,17,1009.3
,2020-11-12,28.5,34.2,0,8.0,8.0,WNW,39,13:44,30.4,70,3,N,15,1012.1,32.4,62,4,WNW,26,1008.5
,2020-11-13,24.6,34.9,0,7.0,8.8,E,61,01:31,30.3,70,7,NW,13,1010.6,33.8,51,2,NW,20,1006.8
,2020-11-14,28.0,35.2,0,7.4,10.7,WNW,35,17:41,30.5,68,5,N,15,1010.3,33.8,46,1,WNW,20,1007.6
,2020-11-15,26.5,36.1,0,9.6,9.3,SSE,37,07:41,30.0,53,6,ENE,13,1013.0,35.1,43,3,WNW,13,1008.5
,2020-11-16,26.9,35.7,0,8.0,11.5,N,35,14:12,31.6,60,1,SE,7,1011.6,35.2,46,1,NNW,20,1007.4
,2020-11-17,27.6,37.0,0,8.0,11.0,NNE,48,16:26,31.4,63,4,E,13,1010.7,35.8,34,1,NNE,31,1006.7
,2020-11-18,26.6,35.5,0,9.4,10.3,NW,31,14:16,30.8,65,5,SSE,7,1010.6,33.3,56,2,NNW,24,1005.5
,2020-11-19,26.9,34.8,0,7.6,9.2,E,74,15:37,32.3,60,4,NNE,4,1010.7,34.5,53,5,NNW,19,1005.8
,2020-11-20,26.0,34.1,14.4,8.6,10.4,N,31,15:23,31.3,61,2,ENE,6,1009.9,32.9,58,5,N,20,1005.9
,2020-11-21,24.0,35.6,3.6,7.0,9.5,NNE,43,14:38,28.3,77,3,S,9,1010.7,30.9,63,5,NNE,22,1006.9
,2020-11-22,23.4,33.8,1.6,6.0,6.2,SE,67,16:28,29.8,67,3,ENE,6,1010.9,31.2,63,6,WSW,11,1006.4
,2020-11-23,24.0,33.8,16.0,6.6,7.7,N,22,16:01,25.9,88,7,SSE,9,1010.8,33.3,55,2,N,13,1006.2
,2020-11-24,25.8,31.9,0,6.2,1.7,W,24,16:11,30.8,67,4,NW,9,1008.5,29.2,75,7,W,11,1005.0
,2020-11-25,25.9,33.9,0,2.8,8.8,SE,57,20:43,30.2,70,7,WSW,11,1007.0,32.7,62,7,WNW,24,1003.8
,2020-11-26,23.6,33.7,22.0,12.2,6.9,ENE,89,14:25,31.1,75,2,W,13,1007.4,25.8,80,7,N,24,1004.9
,2020-11-27,20.6,33.4,25.6,5.2,5.3,ENE,94,01:11,26.2,77,7,ESE,22,1008.6,32.2,55,7,SE,4,1006.1
,2020-11-28,26.2,34.1,0,4.8,8.7,ESE,63,15:45,30.6,73,5,NNW,11,1009.3,33.2,58,4,WNW,26,1004.5
,2020-11-29,23.9,35.3,0,6.2,9.6,E,35,16:36,29.8,74,6,NE,7,1008.1,33.6,54,2,NW,20,1004.1
,2020-11-30,26.6,34.6,0.4,5.6,8.0,WNW,31,16:08,30.6,70,4,N,13,1008.3,32.2,64,7,NW,17,1005.0
