"Daily Weather Observations for Darwin, Northern Territory for January 2021"
"Prepared at 13:04 UTC on Wednesday 10 November 2021   IDCJDW8014.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,26.1,33.7,0.4,5.6,7.8,WNW,33,13:59,29.9,77,5,W,9,1007.2,33.0,64,6,W,24,1003.5
,2021-01-2,27.3,33.7,0,6.0,10.5,WNW,37,14:02,30.5,76,6,WNW,20,1006.2,32.7,66,4,WNW,28,1003.2
,2021-01-3,29.0,33.3,0,7.0,7.4,WNW,39,14:35,30.7,76,8,W,19,1005.6,32.3,68,7,WNW,28,1003.5
,2021-01-4,29.3,33.5,0,8.0,10.6,WNW,39,11:01,31.1,72,6,WNW,28,1005.4,32.6,65,6,WNW,28,1003.4
,2021-01-5,24.6,33.9,1.4,8.4,8.5,ENE,35,03:15,28.9,80,7,WNW,4,1006.8,32.9,59,6,NW,19,1003.4
,2021-01-6,28.0,34.7,0.4,6.0,9.3,SE,48,18:23,30.8,73,5,W,13,1006.9,33.7,61,6,WNW,26,1002.2
,2021-01-7,23.8,33.9,20.8,9.4,4.5,E,48,19:06,27.2,79,7,SE,6,1007.7,32.5,61,7,WNW,9,1003.1
,2021-01-8,24.3,33.2,11.0,4.2,5.6,SSW,35,14:26,29.9,77,7,NE,4,1007.5,28.7,70,7,SSE,13,1005.0
,2021-01-9,25.3,32.9,4.4,3.8,7.7,S,37,18:47,28.4,79,7,ENE,11,1007.7,32.1,64,7,NNW,13,1004.0
,2021-01-10,24.9,32.5,0.2,4.8,2.0,S,37,16:52,27.8,81,7,E,4,1008.3,30.5,74,7,W,13,1005.5
,2021-01-11,25.1,32.9,21.2,4.0,6.7,WSW,35,14:47,29.8,74,2,SE,4,1008.0,27.0,84,7,SW,20,1006.1
,2021-01-12,24.5,34.0,6.0,4.6,10.1,ESE,56,22:09,28.8,80,3,S,6,1007.8,33.5,67,3,WNW,22,1003.9
,2021-01-13,23.7,33.9,26.6,6.6,8.8,WNW,30,14:15,28.7,75,2,SSE,2,1007.3,33.0,60,5,NW,15,1004.7
,2021-01-14,26.1,32.3,0.2,5.2,2.9,NNE,41,22:37,29.8,81,5, ,Calm,1007.9,31.1,71,7,NNW,9,1004.4
,2021-01-15,24.4,32.2,51.4,9.6,1.8,ENE,43,19:51,26.9,93,7,NW,4,1006.2,31.0,65,7,WNW,9,1003.4
,2021-01-16,24.3,32.2,5.8,3.2,6.2,NW,22,14:27,28.5,79,7,ESE,6,1005.2,31.2,68,7,NW,13,1002.9
,2021-01-17,25.5,33.0,0,5.8,7.8,N,52,15:31,29.3,76,7,NW,7,1006.0,31.4,67,7,W,17,1003.1
,2021-01-18,23.6,30.1,39.4,6.0,4.7,ENE,44,21:12,28.5,74,4,SSE,19,1005.9,27.8,82,7,ESE,20,1003.6
,2021-01-19,24.4,29.0,13.4,5.4,0.0,E,31,10:32,25.6,94,8,E,17,1006.8,27.0,92,8,E,15,1005.9
,2021-01-20,25.2,31.9,6.4,2.0,7.1,NE,31,10:33,29.0,79,4,ENE,17,1010.0,31.0,68,7,NE,17,1007.1
,2021-01-21,26.4,33.5,0.4,3.4,5.9,NNW,24,18:38,29.8,75,7,N,9,1010.3,31.4,61,7,WNW,9,1006.9
,2021-01-22,28.1,31.9,0,5.0,1.9,W,31,14:43,29.9,76,7,NW,13,1008.6,25.0,94,7,WSW,17,1007.2
,2021-01-23,24.5,31.7,10.2,3.0,3.0,SSW,61,15:38,27.7,90,8,N,6,1008.4,31.3,70,7,WNW,17,1005.2
,2021-01-24,23.4,30.7,36.4,5.2,1.8,W,56,15:09,26.8,86,8,W,13,1009.2,28.8,79,8,WNW,28,1005.1
,2021-01-25,23.2,28.0,53.2,,0.0,W,52,20:23,24.2,91,8,WNW,28,1006.7,26.0,94,8,NNW,20,1003.3
,2021-01-26,24.1,30.0,63.4,,1.3,SW,43,12:32,26.3,87,7,SSW,17,1003.5,29.2,67,7,W,15,1001.5
,2021-01-27,24.3,31.0,66.6,,3.3,WNW,56,16:52,26.5,90,8,NW,24,1003.0,29.6,81,7,NW,26,1000.7
,2021-01-28,24.9,27.1,40.0,8.0,0.0,NW,59,09:06,26.5,90,8,NNW,17,1004.8,25.4,95,8,W,19,1003.8
,2021-01-29,23.7,28.3,77.4,3.0,1.1,NW,50,08:14,25.3,91,8,NW,15,1005.7,25.9,93,8,NW,13,1003.8
,2021-01-30,23.0,28.3,79.4,,0.0,WNW,56,04:52,25.1,94,8,W,13,1007.3,27.3,87,8,W,17,1004.1
,2021-01-31,24.2,28.1,11.6,1.8,0.0,WNW,54,10:40,26.5,85,7,WNW,19,1008.4,26.9,84,7,W,20,1006.1
