"Daily Weather Observations for Darwin, Northern Territory for February 2021"
"Prepared at 13:03 UTC on Tuesday  9 November 2021   IDCJDW8014.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,24.6,30.9,10.4,1.2,5.1,WNW,57,04:06,27.0,86,7,W,7,1007.2,30.4,70,6,NW,19,1004.5
,2021-02-2,24.7,29.7,11.0,5.6,2.3,SW,37,13:43,27.0,84,7,WSW,13,1006.6,26.2,94,8,WNW,28,1004.2
,2021-02-3,25.3,29.8,4.4,3.4,1.9,WNW,35,10:37,27.9,85,7,WSW,9,1005.5,26.5,88,7,W,11,1002.9
,2021-02-4,26.4,31.6,3.4,1.8,2.3,W,41,13:08,28.8,80,7,W,15,1005.6,30.9,73,7,W,20,1001.8
,2021-02-5,21.6,29.2,83.8,,0.0,SE,67,03:54,22.6,95,8,ENE,2,1006.6,25.1,88,7,W,20,1003.4
,2021-02-6,22.4,31.1,8.0,0.8,3.4,WSW,39,12:55,29.1,83,7,W,15,1005.2,29.8,77,7,W,24,1002.1
,2021-02-7,24.5,30.5,4.6,3.8,1.1,SW,48,04:54,27.2,85,8,W,11,1004.9,23.6,98,8,SSW,24,1002.8
,2021-02-8,22.8,30.6,64.0,9.4,5.2,WSW,48,04:31,27.0,82,8,WSW,17,1004.1,29.8,74,7,W,26,1001.4
,2021-02-9,23.7,30.5,14.0,6.4,5.7,SSW,28,00:08,26.0,83,7,SW,9,1005.2,29.7,71,7,NW,17,1003.0
,2021-02-10,25.7,31.4,0,4.4,6.2,NNW,31,10:24,29.1,79,4,NW,17,1006.9,29.5,74,7,WNW,20,1004.8
,2021-02-11,26.6,31.5,3.6,4.6,4.1,WNW,31,11:14,28.9,80,7,WNW,15,1008.3,30.6,72,8,WNW,22,1005.8
,2021-02-12,27.3,32.0,0,4.4,4.6,WNW,41,13:22,29.2,76,7,WNW,17,1008.4,29.3,77,7,W,22,1006.4
,2021-02-13,27.2,31.5,0,5.0,2.4,W,56,14:10,29.4,78,3,W,13,1008.3,26.7,88,7,W,31,1005.0
,2021-02-14,23.9,30.2,17.0,4.2,4.4,W,35,14:52,27.7,82,7,WSW,11,1007.2,27.1,85,8,WSW,24,1004.7
,2021-02-15,25.7,32.0,7.6,4.0,2.5,NW,39,17:23,27.8,87,7, ,Calm,1006.6,30.4,75,7,NW,24,1003.4
,2021-02-16,26.8,32.0,0.6,3.4,5.8,SW,48,14:47,29.4,76,7,W,19,1006.5,27.5,79,8,SW,33,1004.1
,2021-02-17,26.5,32.0,0.2,3.6,4.8,W,33,13:20,29.4,79,6,W,13,1006.2,27.9,90,8,NW,4,1003.6
,2021-02-18,26.6,33.0,3.2,2.4,4.7,S,41,16:07,28.8,80,7,SW,17,1005.2,25.8,87,7,ESE,11,1002.5
,2021-02-19,24.5,30.9,4.6,3.8,0.9,WNW,30,17:56,27.5,90,7,WSW,9,1005.1,29.9,77,7,W,17,1002.1
,2021-02-20,22.9,31.5,21.2,4.4,4.7,SSE,41,00:13,26.1,91,7,SW,11,1004.1,29.6,75,7,WNW,20,1001.3
,2021-02-21,25.3,30.7,0.2,4.2,3.9,NNW,26,13:00,27.0,87,8,W,6,1004.8,29.3,76,7,WNW,17,1002.1
,2021-02-22,25.7,32.5,4.0,4.0,8.5,NW,33,14:57,28.4,82,6,N,15,1005.7,28.9,80,7,NW,24,1003.6
,2021-02-23,26.3,32.2,0,5.6,5.4,S,28,16:25,28.7,80,7,N,13,1007.5,27.0,91,8,NE,9,1005.5
,2021-02-24,24.2,32.1,0.6,3.2,5.7,N,41,14:39,27.3,86,7,NNE,11,1006.9,29.0,70,7,NNW,30,1005.0
,2021-02-25,23.5,31.2,36.0,3.6,4.8,SE,20,05:51,24.2,89,7,E,9,1007.8,30.3,62,8,ENE,7,1004.4
,2021-02-26,24.2,32.6,0,4.6,7.8,SE,28,03:11,26.0,75,7,E,2,1005.9,32.2,55,3,NW,13,1002.9
,2021-02-27,25.1,32.7,0,5.6,9.7,WNW,28,16:17,28.5,76,5, ,Calm,1006.7,28.4,74,7,NW,13,1004.1
,2021-02-28,26.1,32.6,2.8,5.4,7.0,S,35,17:55,29.8,80,7,N,2,1008.6,31.9,66,7,NW,19,1005.6
