"Daily Weather Observations for Darwin, Northern Territory for March 2021"
"Prepared at 13:04 UTC on Thursday  9 December 2021   IDCJDW8014.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,25.6,32.6,0,6.0,5.1,SW,33,15:09,29.2,81,7,WNW,6,1009.6,29.8,64,6,SW,15,1007.4
,2021-03-2,25.2,31.5,1.2,4.0,2.0,WNW,30,14:32,28.8,80,7,WNW,13,1009.9,30.8,68,7,WNW,22,1007.5
,2021-03-3,26.8,33.1,0,4.0,8.5,WNW,33,13:41,28.9,81,7,W,11,1009.9,32.1,59,6,W,22,1006.7
,2021-03-4,27.9,33.4,0,8.6,7.4,SE,63,21:26,29.6,77,3,W,20,1010.2,31.7,62,7,W,20,1006.9
,2021-03-5,22.9,32.9,4.8,5.2,9.4,NW,33,15:49,28.5,74,7,W,7,1009.4,32.0,65,1,WNW,24,1007.0
,2021-03-6,27.4,32.7,0,6.2,10.4,WNW,37,12:52,30.8,74,7,W,20,1009.2,31.9,67,3,WNW,28,1006.9
,2021-03-7,28.2,33.3,0,6.0,6.1,S,44,19:15,30.6,70,3,W,19,1009.0,31.1,68,7,W,19,1005.5
,2021-03-8,25.3,28.1,0,5.8,0.3,N,31,09:54,27.7,88,7,ESE,9,1008.8,27.7,70,7,WNW,17,1006.3
,2021-03-9,24.4,32.5,0,1.8,5.6,N,30,13:32,27.2,79,7,SE,6,1009.9,30.9,63,7,NNW,15,1006.6
,2021-03-10,24.6,33.7,0,5.2,10.0,N,35,19:44,28.1,79,3,ENE,9,1011.0,33.2,52,6,ENE,19,1007.1
,2021-03-11,24.5,32.0,0.8,8.4,4.3,ENE,26,11:16,25.5,91,7,E,11,1012.4,27.8,84,7,N,9,1009.8
,2021-03-12,25.2,33.7,0.8,3.6,11.4,NNE,31,14:01,29.0,71,7,E,13,1013.0,32.7,50,5,NNE,17,1009.9
,2021-03-13,25.6,32.6,0,4.6,2.5,WSW,37,16:33,27.5,90,7,SE,7,1012.8,28.5,79,7,NW,17,1008.4
,2021-03-14,24.7,30.7,8.8,2.8,4.7,N,30,11:48,29.2,81,3, ,Calm,1010.6,27.8,78,7,NNW,9,1007.5
,2021-03-15,25.1,31.1,1.2,4.6,2.7,S,31,16:16,29.3,76,6,SSW,6,1011.3,29.6,71,7,WSW,17,1008.2
,2021-03-16,23.8,32.1,6.0,5.0,4.6,SE,37,07:45,24.2,94,8,SE,11,1012.0,30.7,61,7,SW,13,1007.6
,2021-03-17,24.1,32.6,0.4,2.6,6.6,ESE,35,22:37,26.9,88,5,SE,13,1009.6,28.5,85,7,WSW,9,1005.9
,2021-03-18,22.1,31.2,42.8,8.6,8.8,SE,33,03:47,25.1,88,7,E,11,1009.2,30.1,71,5,WNW,20,1006.2
,2021-03-19,24.9,31.0,0,3.8,4.2,E,31,14:43,25.4,90,6,ESE,15,1008.5,25.7,89,6,SE,17,1005.0
,2021-03-20,24.3,31.3,13.6,7.2,6.6,NW,20,03:16,26.9,87,7,SSE,4,1006.9,30.2,70,6,SE,7,1003.8
,2021-03-21,25.0,33.0,8.8,5.2,10.4,N,30,13:27,29.6,71,2,NNW,17,1007.9,32.2,58,7,NW,13,1005.2
,2021-03-22,26.4,32.5,0,4.8,6.0,ESE,26,19:48,29.2,81,7,NW,11,1008.8,31.1,63,7,WNW,15,1006.6
,2021-03-23,25.8,32.5,3.8,4.8,6.2,NNE,28,10:28,29.7,80,3,NE,2,1010.2,29.3,76,7,W,13,1006.8
,2021-03-24,26.2,32.8,0.2,4.0,6.4,WNW,33,15:27,29.2,81,7,WNW,9,1009.7,32.3,62,7,W,22,1005.3
,2021-03-25,24.5,29.1,0,4.4,1.9,S,31,07:32,24.6,88,8,SSW,6,1010.3,28.4,75,8,W,9,1006.6
,2021-03-26,24.6,33.7,0,2.2,8.1,ESE,52,22:56,27.7,76,3,SE,13,1008.8,32.3,58,1,ESE,15,1004.9
,2021-03-27,23.8,32.9,40.0,11.6,,NNE,43,16:11,27.8,81,4,E,15,1008.4,27.0,87,7,SSE,22,1005.9
,2021-03-28,24.1,33.1,12.0,4.6,6.2,E,44,12:24,28.5,76,6,SSE,13,1008.1,32.5,58,7,E,24,1005.3
,2021-03-29,25.0,33.5,0,5.8,6.8,E,76,15:44,27.8,73,7,SE,11,1009.3,33.2,55,7,E,26,1005.3
,2021-03-30,23.4,33.4,13.0,6.2,8.2,E,50,12:36,27.4,72,4,SE,13,1007.4,32.3,48,7,ESE,26,1004.7
,2021-03-31,25.3,33.3,0,7.0,6.8,ESE,67,21:50,28.8,70,7,E,15,1007.3,32.5,48,6,ENE,31,1004.6
